Case,Date,Sales Person,Activity
5000,1/1/2010,Bob,Lead
5000,1/4/2010,Bob,Contact
5000,1/7/2010,Bob,Contact
5000,1/11/2010,Bob,Contact
5000,1/13/2010,Bob,No Quote
5000,1/14/2010,Bob,Lose
5001,1/15/2010,Mary,Lead
5001,1/20/2010,Mary,Contact
5001,1/21/2010,Mary,Contact
5001,1/26/2010,Mary,Contact
5001,1/27/2010,Mary,No Quote
5001,1/28/2010,Mary,Lose
5002,1/29/2010,Bill,Lead
5002,2/1/2010,Bill,Contact
5002,2/3/2010,Bill,Contact
5002,2/5/2010,Bill,Contact
5002,2/10/2010,Bill,No Quote
5002,2/11/2010,Bill,Lose
5003,2/12/2010,Jane,Lead
5003,2/15/2010,Jane,Contact
5003,2/16/2010,Jane,Contact
5003,2/18/2010,Jane,Contact
5003,2/19/2010,Jane,Contact
5003,2/22/2010,Jane,Contact
5003,2/24/2010,Jane,No Quote
5003,2/25/2010,Jane,Lose
5004,2/26/2010,Bob,Lead
5004,3/1/2010,Bob,Contact
5004,3/5/2010,Bob,Contact
5004,3/8/2010,Bob,Contact
5004,3/9/2010,Bob,Contact
5004,3/10/2010,Bob,No Quote
5004,3/11/2010,Bob,Lose
5005,3/12/2010,Mary,Lead
5005,3/15/2010,Mary,Contact
5005,3/18/2010,Mary,Contact
5005,3/22/2010,Mary,Contact
5005,3/23/2010,Mary,Contact
5005,3/24/2010,Mary,No Quote
5005,3/25/2010,Mary,Lose
5006,3/26/2010,Bill,Lead
5006,3/29/2010,Bill,Contact
5006,4/5/2010,Bill,Contact
5006,4/7/2010,Bill,No Quote
5006,4/8/2010,Bill,Lose
5007,4/9/2010,Jane,Lead
5007,4/14/2010,Jane,Contact
5007,4/16/2010,Jane,Contact
5007,4/19/2010,Jane,Contact
5007,4/20/2010,Jane,Contact
5007,4/21/2010,Jane,No Quote
5007,4/22/2010,Jane,Lose
5008,4/23/2010,Bob,Lead
5008,4/28/2010,Bob,Contact
5008,5/3/2010,Bob,Contact
5008,5/4/2010,Bob,Contact
5008,5/5/2010,Bob,No Quote
5008,5/6/2010,Bob,Lose
5009,5/7/2010,Mary,Lead
5009,5/10/2010,Mary,Contact
5009,5/14/2010,Mary,Contact
5009,5/17/2010,Mary,Contact
5009,5/18/2010,Mary,Contact
5009,5/19/2010,Mary,Quote
5009,5/20/2010,Mary,Win
5010,5/21/2010,Bill,Lead
5010,5/24/2010,Bill,Contact
5010,5/25/2010,Bill,Contact
5010,5/26/2010,Bill,Contact
5010,5/28/2010,Bill,Contact
5010,5/31/2010,Bill,Contact
5010,6/2/2010,Bill,No Quote
5010,6/3/2010,Bill,Lose
5011,6/4/2010,Jane,Lead
5011,6/7/2010,Jane,Contact
5011,6/8/2010,Jane,Contact
5011,6/16/2010,Jane,No Quote
5011,6/17/2010,Jane,Lose
5012,6/18/2010,Bob,Lead
5012,6/22/2010,Bob,Contact
5012,6/28/2010,Bob,Contact
5012,6/30/2010,Bob,No Quote
5012,7/1/2010,Bob,Lose
5013,7/2/2010,Mary,Lead
5013,7/5/2010,Mary,Contact
5013,7/8/2010,Mary,Contact
5013,7/9/2010,Mary,Contact
5013,7/12/2010,Mary,Contact
5013,7/14/2010,Mary,No Quote
5013,7/15/2010,Mary,Lose
5014,7/16/2010,Bill,Lead
5014,7/19/2010,Bill,Contact
5014,7/26/2010,Bill,Contact
5014,7/27/2010,Bill,Contact
5014,7/28/2010,Bill,No Quote
5014,7/29/2010,Bill,Lose
5015,7/30/2010,Jane,Lead
5015,8/4/2010,Jane,Contact
5015,8/6/2010,Jane,Contact
5015,8/10/2010,Jane,Contact
5015,8/11/2010,Jane,No Quote
5015,8/12/2010,Jane,Lose
5016,8/13/2010,Bob,Lead
5016,8/16/2010,Bob,Contact
5016,8/17/2010,Bob,Contact
5016,8/18/2010,Bob,Contact
5016,8/20/2010,Bob,Contact
5016,8/25/2010,Bob,Quote
5016,8/26/2010,Bob,Win
5017,8/27/2010,Mary,Lead
5017,8/31/2010,Mary,Contact
5017,9/1/2010,Mary,Contact
5017,9/2/2010,Mary,Contact
5017,9/6/2010,Mary,Contact
5017,9/7/2010,Mary,Contact
5017,9/8/2010,Mary,Quote
5017,9/9/2010,Mary,Lose
5018,9/10/2010,Bill,Lead
5018,9/17/2010,Bill,Contact
5018,9/20/2010,Bill,Contact
5018,9/22/2010,Bill,No Quote
5018,9/23/2010,Bill,Lose
5019,9/24/2010,Jane,Lead
5019,9/27/2010,Jane,Contact
5019,9/28/2010,Jane,Contact
5019,9/29/2010,Jane,Contact
5019,10/1/2010,Jane,Contact
5019,10/4/2010,Jane,Contact
5019,10/5/2010,Jane,Contact
5019,10/6/2010,Jane,No Quote
5019,10/7/2010,Jane,Lose
5020,10/8/2010,Bob,Lead
5020,10/11/2010,Bob,Contact
5020,10/12/2010,Bob,Contact
5020,10/13/2010,Bob,Contact
5020,10/15/2010,Bob,Contact
5020,10/18/2010,Bob,Contact
5020,10/19/2010,Bob,Contact
5020,10/20/2010,Bob,Quote
5020,10/21/2010,Bob,Win
5021,10/22/2010,Mary,Lead
5021,10/25/2010,Mary,Contact
5021,10/28/2010,Mary,Contact
5021,10/29/2010,Mary,Contact
5021,11/1/2010,Mary,Contact
5021,11/2/2010,Mary,Contact
5021,11/3/2010,Mary,No Quote
5021,11/4/2010,Mary,Lose
5022,11/5/2010,Bill,Lead
5022,11/8/2010,Bill,Contact
5022,11/9/2010,Bill,Contact
5022,11/11/2010,Bill,Contact
5022,11/12/2010,Bill,Contact
5022,11/15/2010,Bill,Contact
5022,11/17/2010,Bill,Quote
5022,11/18/2010,Bill,Lose
5023,11/19/2010,Jane,Lead
5023,11/23/2010,Jane,Contact
5023,11/24/2010,Jane,Contact
5023,11/26/2010,Jane,Contact
5023,11/30/2010,Jane,Contact
5023,12/1/2010,Jane,No Quote
5023,12/2/2010,Jane,Lose
5024,12/3/2010,Bob,Lead
5024,12/8/2010,Bob,Contact
5024,12/10/2010,Bob,Contact
5024,12/15/2010,Bob,No Quote
5024,12/16/2010,Bob,Lose
5025,12/17/2010,Mary,Lead
5025,12/20/2010,Mary,Contact
5025,12/24/2010,Mary,Contact
5025,12/27/2010,Mary,Contact
5025,12/29/2010,Mary,No Quote
5025,12/30/2010,Mary,Lose
5026,12/31/2010,Bill,Lead
5026,1/3/2011,Bill,Contact
5026,1/4/2011,Bill,Contact
5026,1/5/2011,Bill,Contact
5026,1/10/2011,Bill,Contact
5026,1/12/2011,Bill,No Quote
5026,1/13/2011,Bill,Lose
5027,1/14/2011,Jane,Lead
5027,1/17/2011,Jane,Contact
5027,1/18/2011,Jane,Contact
5027,1/19/2011,Jane,Contact
5027,1/21/2011,Jane,Contact
5027,1/24/2011,Jane,Contact
5027,1/25/2011,Jane,Contact
5027,1/26/2011,Jane,Quote
5027,1/27/2011,Jane,Win
5028,1/28/2011,Bob,Lead
5028,1/31/2011,Bob,Contact
5028,2/1/2011,Bob,Contact
5028,2/2/2011,Bob,Contact
5028,2/3/2011,Bob,Contact
5028,2/4/2011,Bob,Contact
5028,2/7/2011,Bob,Contact
5028,2/8/2011,Bob,Contact
5028,2/9/2011,Bob,Quote
5028,2/10/2011,Bob,Win
5029,2/11/2011,Mary,Lead
5029,2/17/2011,Mary,Contact
5029,2/23/2011,Mary,No Quote
5029,2/24/2011,Mary,Lose
5030,2/25/2011,Bill,Lead
5030,2/28/2011,Bill,Contact
5030,3/2/2011,Bill,Contact
5030,3/3/2011,Bill,Contact
5030,3/9/2011,Bill,No Quote
5030,3/10/2011,Bill,Lose
5031,3/11/2011,Jane,Lead
5031,3/17/2011,Jane,Contact
5031,3/18/2011,Jane,Contact
5031,3/22/2011,Jane,Contact
5031,3/23/2011,Jane,No Quote
5031,3/24/2011,Jane,Lose
5032,3/25/2011,Bob,Lead
5032,3/30/2011,Bob,Contact
5032,3/31/2011,Bob,Contact
5032,4/4/2011,Bob,Contact
5032,4/6/2011,Bob,No Quote
