userName,isEdited,date,review,rating,title,developerResponse
"Kelly Biloxi, Mississippi",FALSE,9/28/2019 15:13,"Affirm has been so convenient to use with affordable monthly payments! Just download the app and apply for credit right from your device! No phone calls, no sales person to talk to. I needed a loan for a vacation I wasn’t prepared to pay for in full, well I was on my Orbitz app, shopping for a hotel/package deal I’d never heard of Affirm before they offered me a low monthly installment payment drafting from my personal checking account so I was able to pay for my hotel stay and round trip flight from New Orleans to Chicago for 2! Yes that’s right and was on my way within minutes! It’s so easy! 
I also needed an expensive gift for my son that I had promised him for Christmas and yes again I was buying new tires and wheels for his truck that day with preapproved credit card access. That’s right, Affirm actually provides you with a picture of a credit card within seconds and i just started shopping. Again, no call sales, no forms to sign and listen to this; no leaving the house to go pick up a loan check, take it to the bank and deposit it. I’ve had 3 successful loans and plan on many more. I’ve told so many of my friends and family about this app and it’s conveniences I feel like a walking billboard for them! Good luck and happy shopping! 

Kelly 
Biloxi, Mississippi",5,Affirm 2 thumbs up!,
Jaystradamus78,FALSE,3/19/2021 7:06,"I’m a Youtuber Jay Moore Reviews and I review movies, tv shows and products. I have been using affirm for a couple years now and it’s a excellent way to pay for what you need without spending all your cash at once or charging a lot on your credit cards. I have used affirm to pay for trips through Expedia as well as clothes and shoes from Nike. I love it! I could have paid in cash but then that cash wouldn’t be in my bank. I could have used my credit cards but then I would have to charge thousands on it and run my balance up. Instead I just pay monthly as I get paid and get everything I need and the best part is that I can prepay my balance at any time and save money on interest charges which is what I did when I paid of my Expedia trip to California! 
I love this app because not only do they have a great way to pay but they also have discounts for you when you shop which is great. 
I recommend this app if you need to build your credit or just don’t want to make big charges on your cards and want to keep some cash in the bank.
In the end trust me you will be happy with the service 💯",5,Excellent Way 2 Pay!,
Alvie H,FALSE,9/28/2020 9:59,"Easy to use, pretty self explanatory app. Enjoyed it a lot to pay for a jewelry purchase.  However, if you make a payment, interest will still accrue while the payment is processing, which can take a few days. I made extra payments and set it up to do a final payment on the amount leftover, and had an item I thought paid off 1.5 months early, and I log into Affirm and it says I still owe 42 cents. Why would anyone pay all but 42 cents for an item? Affirms system left me unable to pay the remainder as I’ll explain further. No problem, I try to pay the remaining 42 cents, but it cannot take a payment below $1. So I think okay, I’ll pay a dollar, but no, it won’t take more then the balance due. This is not an acceptable set up. My interest rate is low so it’ll be a long time before it’s accumulated to be able to make the dollar payment. I wanted to have it paid off as of the last payment. Which should have been the case. The app should not be set up in such a flawed way that people cannot be able to make early payments IN FULL and their loans be paid off. If anyone from Affirm is reading this, fix this bug in your system right away and make everyone’s lives a little easier. These flaws only hurt consumer confidence in your system.",4,Overall good but...,
Hooded Qobra Ent.,FALSE,4/28/2021 11:39,"Started the app up fine, gave all my data, once I was in there I clicked on “prequalify” and it denied me, saying “you can not be approved for THAT amount” when I never clicked on any amount, all I did was put in my yearly income I didn’t put in an amount I was trying to get approved for..and not it won’t let me use the app for 30 days?? What kind of business is that? 

Then there is ABSOLUTELY NO WAY to get in contact with ANYONE. I went through all the FAQs, help info “contact us” which does NOT give you a way to contact anyone, all it does is gives you generic “issues” to choose from and it just directs you to articles on it. My issue is NOT on the list and there is no way to add it as an issue. So how can they have a FAQ if they don’t allow people to ask questions??!! All I want to do is talk to someone and tell them what happen and see if it was ma error and or get to the bottom of why it did that... I don’t usually write reviews, unless the app is excellent, or it has frustrated me to this level... this app has potential to be awesome, but it’s left a bad taste in my mouth from the beginning. Affirm, if you are listening please chime in, say something contact ME since I can’t contact YOU, and maybe I will chance my rating and review..

Ps supposedly you only need 550 credit to be approved by Affirm, my credit score in in the mid 600s, so they can’t say my credit score is the issue",1,Total Crap,
Stormstarter,FALSE,3/31/2021 20:02,"I contacted your establishment nearly 1 week ago regarding fraud charges on behalf of my account to Fashion Nova and EBay. I DID NOT MAKE THESE TRANSACTIONS. I am VERY DISGUSTED AND DISAPPOINTED in the lack of concern your establishment has shown. I received a notification today that affirm found me responsible for the charges of which there has been no documentation or true investigation completed. These purchases were made WITHOUT MY CONSENT. I called immediately after seeing these transactions on my PNC bank statement and asked them to be cancelled. THESE ORDERS WERE IN FACT NOT CANCELLED and I received notification of that yesterday. If these transactions are NOT removed from my account and NOT refunded to me I will be discontinuing ANY AND ALL further activity with you, as well as seeking legal action. This is absolutely ridiculous and not customer service in the least. These transactions were completed with a “virtual card”. How did a virtual card even get linked to my account in the first place? I never received emails about the purchases until yesterday stating that the “loan had been accepted,” AFTER I CALLED AND ASKED IT TO BE CANCELLED DUE TO FRAUDULENT ACTIVITY. It is clear that affirm has no respect for the security of my information, or that of others using your services. If you ACTUALLY INVESTIGATED you would see that these purchases are not even being delivered to my address! TRULY DISGUSTING.",1,NO RESPECT FOR FRAUDULENT ACTIVITY,
Curlupndyy,FALSE,6/15/2020 21:49,"I’ve been among the most critical in judging on line shopping experiences. So, far I’ve found Affirm is well received by the banks I use. I gave 4 because it’s not that old yet. The lists of merchants using Affirm are pretty respectable as well. This is for legitimate purposes and like any other banking world tool, you have the same control and responsibly. The idea of allowing payments overtime without interest accruing is a true bang for buck deal for consumers and merchants. I think it may make the marketplace reflect more reality and therefore act as a stabilizing influence. It’s covering a broad base as well allowing people to recover from losses, share wealth and slowdown waste.  Thank God! Really great idea and seems like a cleaned up improved idea from others. I think(hope) it’s pushing out the disingenuous, those, seeking to fence stolen goods, sell knock offs or set up other various online scams. At least so far, so good. As far as I know I’m the biggest mouth around calling fouls. I call myself too if I’m wrong. We all need integrity & accountability to have respect for each other. If we lose that honor in ourselves I’m afraid we are nothing. Also, for letting me preach a little bit, ThankYou. Back to work now, Happy Campers.",4,Skeptical,
Mppeirce,FALSE,1/23/2019 21:19,"This app was a savior in a rough time for me. I had a huge expense essentially eliminate all of my savings at the time, and wouldn’t you know it - suddenly I needed more money for a flat tire. Doesn’t make much sense to replace one tire at a time, so at bare minimum I needed to get two. I had a few days left before payday so I needed a good chunk of money to make my purchase and I was talking to my sister, who told me about Affirm. It was so simple. No credit check. No hassle. I put in my information, and was approved for way more than I needed. Making a purchase was just as simple too!! This app is so easy to maneuver, and to get the money you need - and to pay back. The interest rate is high, but if you pay it back early and timely, the amount paid towards interest is worth the ease and ability to borrow money from a lender from an app. No phone calls, no pesky questions, no credit checks, and I get money for my purchase. It’s amazing. You cannot use this with Apple Pay or to send money through Western Union or any of those apps. It’s all electronic currency, nothing you will ever be able to put in your hands.",5,Affirmative on Affirm App!,
NissanSkylinePDX,FALSE,5/16/2018 21:21,"This is a such great financial service. I really like the fact that there are no hard credit checks performed and the terms are not the same as a traditional credit card where there is a revolving balance. They have an extremely extensive listing of participating retailers in multiple categories such as clothing (including super high end like LV), beauty, home appliance & furniture stores, and even some major airliners plus travel services such as Expedia! Travel expenses, especially if you need to make plans last minute, can be extremely costly, so having the option to use Affirm to fund your purchase instead of putting it on a credit card is awesome. I also love the fact that you can get an estimate of the amount you may qualify for, and that the total you’re ultimately approved for isn’t fixed. Another thing I appreciate is not being penalized for paying off my loans in advance. Oh, and the app is just as fantastic too. Super easy to navigate, straight forward FAQ/answers, and is very aesthetically pleasing. I am so, so thankful for this service, 5/5 stars all around!",5,Awesome Service & App!,
valdeza12,FALSE,8/4/2020 14:38,"I had canceled an order because Affirm told me I asked for the exact purchase amount, but apparently you need a “5 dollar buffer” to process a payment.  So if your total was 450 for a PlayStation, you need to ask for 455 from affirm.  This is where the fun begins lol. Target had “already processed my purchase and therefore Affirm started a loan. Target Customer service denied that because a purchase isn’t fully processed unless you show up at the store and swipe your card. I reached out to affirm to let them know my order was canceled and that I was given a refund. Affirm takes 3-45, yes that’s correct! 45 freaking business days to process a refund! So I’m stuck with a 500 dollar loan until affirm decides to process my refund, which we are now on day 28. Target even cautioned me that affirm could take the full 45 days for them to give me the refund, which is ridiculous. Affirm tried deflecting the blame on target but it stated in their policy that even though you have been give a refund for a purchase, affirm will still take “3-45 business days to be credited” 

Also, you still have to make payments because it will affect your credit! Yay! This is what is so frustrating about their return policy. They need to make returns faster because I will never service again, and would definitely not recommend this trash to my friends.",1,CAUTION,
Davie N.,FALSE,10/11/2019 7:38,I have poor Credit and was very happy with the help of affirms financing. It’s great and cheap. Even with my terrible credit I received 15% which is much better then the 19-21% on cards I get. 15% is still high but for those with even better credit would reap much better benefits. Got 450$ financed for only 38$ in interest over a 12month payment plan. And the app is very easy to use. And doesn’t start the actual payment day until your order is shipped. So even thou my Order was placed on sept29th. I would log on affirm every day and watch it go from the 1st. To 2nd to 3rd and add by 1 every day until the 7th when my package arrived at my house. Which is great because the high quality websites I use have parts coming from Germany directly for my car and so shipping takes 1-2 weeks and instead of being 2 weeks into my order and having 2 weeks to pay my affirm account It didn’t start the payment dates until i received my items. Will be using affirm from now on over any financing program for a long time currently.,5,Very good financing,
