review,rating,isEdited,title,userName,date,developerResponse
"I love that Afterpay gave me a chance to shop and buy items that I’d been wanting to purchase, Without having to go through an extensive credit approval process and high interest rates!  I can pay off my purchase at any time or pay it out in installments.  It’s easy to use, and so is the approval process!  The only thing I don’t like, is the payment schedule.  I stayed that I get pd every other Friday.  That’s when my payments are due.  If you are on automatic payments, they may try to draft them before you can get your check in the bank, or before your check hits your acct., then that goes against you.  That’s not right! The due date is that day, right? Why does it matter what time I make the payment, as long as it is made that day?  Also, if you have more than one order, it may not correspond with your pay day?! The payment for all orders should definitely be charged on your payday.  You shouldn’t have to change your due date or get a message from Afterpay saying oops! Your payment couldn’t be processed, because you didn’t have sufficient funds, just bc you haven’t received your check yet, or haven’t had a chance to deposit it.  Not everyone gets their checks right after midnight on their payday.  This has happened to me, although I have made my payments, it’s gone against me, bc they tried taking it before my check hit.  That’s not right.  Otherwise, I love Afterpay!",5,FALSE,Afterpay is the better than credit!,jakb3,3/13/2021 16:09,
"Very much love the flexibility, convenience and how easy this app works! With so much going on with the pandemic, this app provides stress free shopping. Knowing you have to put down a quarter of your total gives you the liberty of shopping. Of course everyone has to keep in mind what they can afford as a payment every other week. If you buy any day of the week, expect your payment to fall that same day every other week. I usually purchase on pay day or weekend to make sure I have the funds available for payment. Afterpay provides days in advance reminders so you wont forget your payment is coming up even though the payments go through automatically. Such a stress free system! I had ordered from a store that i never received the package. I contacted the vendor and they notified afterpay immediately and they refunded the amount I initially paid as a down payment. I also had an order i returned due to wrong items, and the vendor automatically let afterpay know once they received the products to credit me back or remove the existing balance left. I really love the app and currently expecting my first child!! So i will definitely be making purchases. To know i don't have to pay it all at once is definitely a life savor! Thank you creators!!!",5,FALSE,Love!,Eileen_Noemi,3/7/2021 20:37,
"Easy to use interface, helps locate a variety of stores big & small businesses and offers certain discounts regularly for use when buying from one of their participants. Payments are spread out over a 4 payment schedule. As each payment is gets close to being due they send reminders to you of the actual due date as well as the price for that installment. You can pay it off completely with no additional charges or pay more than one payment at a time which is assigned to the correct purchase installment. 
I’d say it sorta resembles an online Lay-Away program only in this modern day and age you get to receive & begin enjoying your purchases right away as long as you pay the first payment upon checkout. 
This app handles it all beautifully, all the info you could need or are looking for is readily accessible within the app and I’ve yet to come across any glitches or issues. Only request I’d have is that it would be convenient to be able to forward a detailed receipt via email if for any reason you need to.",5,FALSE,Convenient,Bookobsessedgrl,12/17/2020 14:57,
"I first started using Afterpay last month when I made a rather large order. The idea and the concept is really cool but the app is a pain to use. I made the first payment on my order two weeks later as scheduled and it gave me a notification saying that the payment went though and it gave me my new remaining balance. Two days later, me email gets bombarded with emails from Afterpay saying that my payment was declined and they had tried to take the payment over and over again when it didn’t work the first time. When I first authorized the payment on the app, I had the money to cover the payment. When they tried over and over again to make the payment, it overdrafted my checking account and put me in the negatives screwing me over for groceries. 

Just recently, I had to make a switch to a new debit card through my job and when I tried to add it to my payment methods, it kept saying “Oops! There was an error in your billing information! Please try again!” Even though all of my info was correct. I went to the customer support section and found out that until the first order that you made is completely paid off, you can’t add another payment method! This service is not convenient at all and is a massive headache to try to use. I am going to pay off what I owe and I’m never using Afterpay again. I definitely would NOT recommend them to anyone.",1,FALSE,Very Frustrating,FTGW21,11/28/2019 0:43,
"Streamlined app that makes it easy to find the stores you’re looking for and even easier to keep track of what you’ve purchased, when payments are due, and how far you are into your payment plan. The only drawback is that not every website that partners with this uses Afterpay in the same way, so you have to navigate it a bit through trial and error to figure out what you’re doing. For example, some websites have Afterpay listed specifically as a form of payment, but then don’t link to your app to login- and others don’t have Afterpay listed as an option, you have to have the Afterpay card set up on your phone as a form of Apple Pay and then keep the app open while you’re using Apple Pay on the store’s app (this is how Lululemon does it). I thought it wasn’t linked for Lululemon for a while, and then thought that it was broken as a payment system until I did enough trial and error to figure it out. 

Once you’ve gotten the hang of it, though, it’s smooth sailing.",5,FALSE,Convenient and simple once you get used to it,cadencedsilver,1/13/2021 4:04,
"I have been using Afterpay for about 2 years now. I have spent thousands of dollars through them. I faced financial hardship due to COVID. I contacted them and they were very nice and said I would have to make my next payments until July. I really only needed a week or so to get my financials in order. I paid it off a few weeks later. I really appreciated them being so cool and I love that about this company (I had to do it once before when my card came up with fraudulent charges).

Now that I’m back to work I’ve been trying to use Afterpay like I had before. To my dismay and as another reviewer put it, I am being “punished” for my not being able to pay on time. I completely understand that this is a business and they can’t just go off the promise of the customer that they will pay. I just hate the way they go about it. I have been allowed to make a few small orders which I have been paying off early but I usually get an message telling me I need to pay off some things before I can order anything else (understandable). I paid off 3 payments and still wasn’t allowed to order anything at all. So basically they lied. This app is pretty much useless now.",3,FALSE,Love it but...,Tjoykashmir,6/6/2020 5:51,
"This is the only App I’ll ever write a review on! It’s great! I’ve never been able to shop more comfortably in my life! I’ve been using after pay for a while now and I have been able to redo my whole wardrobe and then some! I recommend this app/payment method for anyone who is hesitant to shop. They split the payments in 4! And you pay every other week... and with all these new updates they make it a lot easier if you need to make smaller payments in between, reschedule a payment for whatever reason or pay your items off early if you can! I definitely RECOMMEND Afterpay. Also the most professional rather than those other Apps (I won’t say). I may have had one issue with Afterpay but it wasn’t even there fault it was the company using Afterpay. But they are super fast with refunds and great on customer service if ever there is a issue. USE THEM! 

Only negative I have:
I wish they had more electronic, household, and shoe stores. And if we could put our favorite stores in a list or put a star by them that would be great!",5,FALSE,Great App,Bleu125Blue,8/25/2020 12:02,
"Such a great app and a great idea! I have used other 4 payment apps like this and they arent bad either, afterpay is my favorite because of the pulse rewards! It motivates me to pay off my payments earlier so I can get the point towards my 30 purchases so I can get the extras like no first payment when I order! There is a geeat selection of name brand stores as well as stores I have never heard from before and would never know about if it wasnt for this app. Small businesses need our help more then ever right now and this is a great way to do that! There is also an in-store payment option for some of the places as well!!! The app is great design wise too, so easy to navigate and has it all broken down for me so I know what I have to pay and what is paid off etc. It also makes its super easy to make my bi weekly payments, just a click of a button and its done! They send you a reminder email a few days before your payments do so you never forget! I probably spend way to much money using this app but hey, you only live once!",5,FALSE,I LOVE AFTERPAY!,erinnnnn_s,6/10/2021 14:25,
I hesitated to buy any items that I couldn’t pay for or that I had wanted for a long time that were a little out of my price range. I came across Afterpay and absolutely love that I can now get the items I want and pay in four separate payments instead of all at once!!! This allows me to buy things I never could afford before because if payment installments I now do not need to take a large chunk of money and splurge once or twice a year instead I can buy whatever I want and pay over the course of the month. For the average working person this is an awesome app and awesome way to love a little luxuriously more than maybe you could have before this app was invented. I make my payments on time and am never charged any extra paying only for the items I purchased but if you are late the fee is not real exorbitantly high. Thank u Afterpay you guys seriously rock!!! You carry a lot of my favorite brands and look forward to the day that you have Too Faced cosmetics added to your growing list!!!,5,FALSE,Love this company!!!,chee-0703,8/19/2019 16:21,
"i never write reviews but dang afterpay is great like i have bought so so much stuff from places i usually wouldn’t because just a pair of jeans can be like $70 but with their plans i can buy like 7 things and have a $70 two week payment plan like if you still want to have money on the side but also buy things you can afford, use this app! like i am so grateful for this app i wouldn’t have most of the things i do today if it wasn’t for this app or apps like this. it’s so affordable!! i was happy when i found out this was even a thing and i’m still happy with how affordable it all is. and as someone else said i like how it tells you in advance when something is due. i’ve never been late but i’ve also read they give a TEN day grace period if you’re late with payments, AND the late fee is only $8. i also like that if you want you can pay some or all of it in advance. like idk it makes me happy this is so affordable and i can finally get the things i want. thanks to whoever made this for real.",5,FALSE,great!!!,dontwannausemynamelmao,2/21/2020 15:25,
