isEdited,userName,rating,date,review,title,developerResponse
FALSE,Stewe66,5,5/7/2020 7:33,"I have banked with suntrust and Wells Fargo through my early financial years I started banking and I was 15 I believe under a joined account with my mom after being a irresponsible kid and over drawing my account countless time paying fee after fee  I was tired of regular banks and that’s where chime came in  they are absolutely amazing cute little features like telling me my balance in the morning with emojis 😹actually  allowing for overdraft with a feature called spot me it allow you to overdraft up to$75 with no fees for when your like one day away from payday and  you need some gas to get to work or just a extra cup of coffee to get your morning going chime literally has your back I would definitely recommend the app to any young people who want to start banking that may not have a lot of experience budgeting, saving , or spending money in a bank account they send you a card that is compatible with Apple Pay which makes it so convenient and user friendly their customer service line is always responsive and very nice if I had to change one thing with chime it would be to add a feature to be able to search for through your transactions and maybe add Zelle to the app or a feature that would allow me money directly from my bank account to other people who don’t have a chime account without having to use cashapp or PayPal other than that they are doing totally awesome",I LOVE CHIME,
FALSE,Zldnosnsk,5,5/12/2020 12:24,"I really do like this app. I am one that hates banks and how they allow accounts to go over then charge people overdraft fees. It’s literally taking money from people who have none and that should be a crime. Chime doesn’t do that and they actually do prioritize their customers. I think this is a revolutionary app for banking. I hope it picks up traction and changes how banking is done completely. 

The direct deposit is fantastic. You do get your money early thanks to Chime and it definitely helps. They also have the “round up & save” feature for people who struggle to save money. 

My only problem with it is that it takes far too long to transfer money. Like a week to transfer. And they have a very small daily limit for transferring (like $200). It can become frustrating when I’m trying to budget my money by separating bill money from spendable money.  They keep saying it’s just the banking system, and I know they must have to make some sacrifices in order to be able to provide such great services without all the fees banks drop on us. I just wish there were options to pay a fee for an instant transfer to your bank like Venmo or Ca$h App. I’m sure with increased popularity eventually somewhere along the line of updates will be an option for instant transfers. It just doesn’t exist now.","Pretty good, takes too long to transfer money though",
FALSE,HarmonyLynnSeidl1998,5,3/12/2020 7:44,"I have been with Chime for quite some time now and let me tell ya, when I say they are amazing... THEY ARE AMAZING!! I was with a Credit Union for a little while and they told me I was set up with an account that I couldn’t over draft in... yet every payday I was magically some odd amount in the negative. It NEVER failed! Then, I decided to give Chime a chance and see what happened. NOT ONLY do they not charge fees but they have this really cool setting that makes it SUPER easy to
save called “Round Up” and basically what that does is every time you add money to your account it saves a percentage of that amount. Which is BEYOND helpful. It does the same when you spend money as well, except, it rounds up to the next dollar amount I believe.  Their customer support via Phone/Email is FANTASTIC! The workers are so sweet and helpful and anytime I’ve had to call they fixed what ever I needed! I’ve only had to call them twice and neither were to complain but to figure out something or get an answer to a question I didn’t know. 

I’m not gonna lie, at first I thought it was a scam, or just another ad on FB... but I am honestly SO happy that I switched. If it wasn’t for them my taxes would’ve already been fully spent and most of it in fees 😂 I HIGHLY recommend dumping your physical bank and joining Chime. It’s worth it... I PROMISE!!",I LOVE this Bank!!,
FALSE,Teh_Black_One,5,2/6/2021 16:32,"Edit: still so great!

I was nervous about there being no branches and only online but it turned out very smooth. I have both savings options activated and I love it! It takes a bit for the round up though maybe between an hour of the posted transaction to at least 1 business day. But that’s not too annoying. I DID ask for the emailed direct deposit form and it has the old routing number. It was an easy fix and my 2 most recent deposits have come through perfectly fine. I’m a huge lover of Apple Pay so I’m glad it works with that. The mobile check deposit feature works great as well. I received an email the next business day saying my check was received and it’ll be available the next business day. (Good thing I did all of this on a Monday.) You don’t really feel lost or anything using the app it’s very simple. I have only had the service for a couple weeks but so far I am a top fan. I took a star away because the routing number issue delayed my first deposit by one day. Also if you use the chat line for service a different rep replies each time. That also makes me worry a bit of a huge issue occurs that you’d usually go into a branch for. But again so far, it works gloriously!",Great so far!,
FALSE,Cheykim,2,3/3/2021 20:30,"So I opened my chime account in 2019, I loved it at first because of the no overdraft fees and the early pay, but this bank is so annoying to deal with. Not only is their customer service horrible but just trying to get in contact with someone is as well. You spend about 10 minutes on the call menu alone just trying to get through the different options to find the right place. My wallet had gotten stolen so i canceled my credit card and debit card, I then requested a new one, took almost a month to get there. Tried to activate it and was told that the card information was wrong. Okay? Not sure how it would be wrong since it's literally right there on the card. So i contacted a rep through the app, they said they would send another one. Got the new card, tried to activate it AND IT STILL WOULD NOT WORK. Okay, maybe it's just a system error. Got a new card AGAIN a few days later after they expedited it. Tried it activating it again and it still would not work. I decided to close my account after that. It was just too much hassle to try and do it over the phone and not be able to just walk into an actual branch to get my issue resolved. Oh and when I went to close my account, the representative didn't even ask why I was closing my account. You would think that such a highly reviewed ""bank"" would atleast want to know why a dedicated customer is closing their account.",Waste of Time,
FALSE,b.groves99,2,11/25/2020 15:38,"I’ve been with Chime for years now. It was the second bank I’ve ever used. It was awesome in the beginning, I enjoyed the perks like no atm fees and the well designed app. But lately it has gone downhill fast. Starting when they disabled spot me without any notice and at this time I’ve lost my job due to COVID-19. So lately to make ends meet I’ve been making my money through Doordash and instacart and if you do either you know it can be very little amounts you make during certain times of the week. So I had my money transferred into my Chime account, witch was in the negative as it has been a lot lately for me. Well the amount I made witch was only $43 wasn’t even enough to cover my negative balance, witch wasn’t an issue because I had spot me. Well since I never got a notification that they had disabled spot me that $43 I had for the next day or two was gone and I went without the things I needed. I contacted Chime and explained my situation for them to only tell me that there was nothing they could do. After about 30 minutes of arguing, I finally gave up because I was getting no where. So I felt useless to my family and they were perfect okay with that. Now we’re here today, where I need to get the things I need and I cannot access my money yet once again. I’m just going to cut my loss and go back to the bank I first started with. It’s just a shame that they treat they’re loyal customers like this.",I used to love Chime,
FALSE,ishh16,5,11/28/2020 0:28,"Have you ever been charged an overdraft fee ? Just because you went over a dollar and you didn’t realize and now your bank is like, “ohh you don’t have a dollar now we’re gonna charge you 35$(or more).” Like who ever thought of that bright idea lol. Here’s where our buddy’s at chime come in hand, chime let’s you set up a “spot me” option for any of us that tend to go over with out looking or if we’re out here struggling needing some extra dollars before our next pay day. The spot me feature starts with 20$ and it can go up to 100$ based on the your personal account I’ve had mine before at 100$ slowly but surely got back on track financially and is now down to 20$ chime was there for me and has done for me what no other bank has done before. They also just started their credit card account which means you can fix your credit with them, also you can open up a savings account directly through the app. I can continue spoiling chime for you, but that wouldn’t be fun for you so I’ll let you download it and explore it for yourself. Click that download button and get started today ohh did I mention they pay you 2 days early ? Come join the chime family you won’t regret it.",CHIME > other banks,
FALSE,Kryptic Arrow,4,7/8/2020 23:05,"*This bank has been really good so far. No fees like it says and I got my card very quickly. Just two issues I have with it so far. One is that they go through Green Dot for cash deposits. Green Dot charges 4.95 and requires a minimum of 20 to deposit. I hope that they eventually make a kiosk or something that eliminates these fees. Also it doesn’t update your account balance right away. For those of us with bad memory it makes it a little more difficult to budget. I recommend using a notepad app to keep track of your funds until the app updates your account info. It seems to update approximately 3 hours after the transaction. It would be nice to have it be immediate. If they fix these two issues I’d say it would be a five star service. Another small gripe is that you can only get the no fee overdraft with direct deposit. Though if you budget correctly it’s not an issue. Just a small quality of life thing. Otherwise I’d say this bank does everything better than most other banks. 

*My previous rating was three stars but I realized that one of the issues wasn’t the banks fault but rather the third party company Green Dot’s. I don’t like having to pay such large fees just to deposit cash but it’s Green Dot policy.",Great bank but I’d like to see some improvements in the future.,
FALSE,cmb101009,5,9/7/2019 20:51,"Very happy customer! Even though there is no stand-alone bank, I have had an excellent experience with Chime. 1) I like getting paid early 2) No overdraft fees, love the Spotme feature 3) Ease of use 4) I love that I view my card in the app, it sounds lazy, but I’m tired of pulling out my card every time I want to buy something online (lol). 5) I love that my mom and I both got $50 when she referred me to sign up for an account. What an awesome referral program for everyone. 6) You can turn your debit card transactions on/off with the click of an app. (I forget to turn it back on sometimes! I’ve embarrassed myself at a store a time or two.)

Also, there are many ATM locations near me that are free of charge. I like that I can “round-up” to save if I’d like, or set 10% of my direct deposit aside. Chime has been compatible with PayPal and Apple Pay to send money to people. With that being said, I use cash at most restaurants / gas stations / stores, I don’t like my card number being out there. I had debit card fraud with my old bank account. I have not had that incident happen with chime and I hope that it never does.

Not revenant to the app or bank- but cashiers at the store always say the card is a cute color lol.",Happy customer!,
FALSE,dollfaccmd,2,4/12/2020 18:11,The app is great. It’s banking with Chime that sometimes really annoys me. They have really great features with the overdraft protection and it being completely free no fees. But i honestly dread calling chime to get any issues resolved. The people in SF who answers the phone are always pleasant and knowledgeable! When i get someone overseas i always find myself repeating myself. I have had to escalate and speak with managers but people are refusing to connect me with their supervisor. I always end up having to hang up and call back to just get some help. The claims department haven’t really been helpful at all. I keep getting charged for stuff and no one is able to provide me with an explanation and i am trying to block certain transactions that i never authorized and no one is ever willing to understand what i am trying to say or help. The customer service is HORRIBLE! I don’t get why i have to repeat myself being transferred from person to person then they ask me how i can help first then ask me to verify myself. I wish they just verify people first then all focus can be on helping me. By the time I’m done verifying they always make me repeat myself and then I’m irate. Please work on customer service and verify people FIRST and make sure people overseas work on requests and how to respond to people. They come off extremely rude ! I want to file a complaint for how i have been treated.,Customer Service,
FALSE,Nancy J. Anderson,5,3/15/2021 21:52,"Before I got Chime, I was with BMO Harris Bank for about 2-3 years. It seemed like I was having a new issue every single week; the final straw for me was finding out my account was empty AND overdrawn, just over $50, for a “non-BMO ATM FEE”, literally with the ADDRESS of the BMO branch that was 2 blocks from the salon I worked at in downtown Chicago. Not to mention that they waited like TWO MONTHS LATER to try & charge me that fee...so I had to comb through all of my bank statements, and even after showing them the mistake was THEIRS, and THREE trips to the branch, it took another MONTH for them to fix it. Chime has literally changed MY LIFE. NO fees, thousands upon thousands of fee-free atm machines, excellent customer service...I can go on & on about how much I love this bank. Best of all is when I got their Credit Builder card, back in January....I’ve been working on my credit for about 2 years now, and as soon as I got the Chime Credit Builder Card, my score jumped up to 106 points on TransUnion and another 48 points on Equifax!!! It gave my credit score an overall boost of over 150 POINTS!!! If you are tired of being scammed by these banks AND want to build your credit up, *CHIME* is THE ONE for you!!! Good Luck! ♥️",Literally the BEST bank I’ve EVER HAD.,
