rating,title,userName,date,review,developerResponse,isEdited
2,Hacked and customer service no help,agauth79,8/13/2020 3:13,"Update** Three days later and the hackers are still attempting to use my daughters account, despite our reporting to Current the issue, and changing passwords several times. I had to have my parent side of the account removed completely to stop the scammers from trying to deposit money from my end. The scammer also tried to scam my younger daughters card as well. Lucky for us she had ignored the calls/texts before anything happened. 
Original review: The card we have for our kids got compromised. The hackers/scammers were very smooth. Had all of us fooled. The company isn’t being very helpful at this moment about returning the money, either. And even after contacting them about the fraud, somehow these scammers are still trying to use my account to steal money through my kids’ compromised account. I can’t remove the linked checking. Can’t pause it from making Deposits. It should only be allowing access via my Face ID, yet they still got in again. Looks like this is a new frequent issue for current users with these scammers yet no warning was sent out about this new scams. I  do NOT recommend anyone use Current cards for your kids. They need to do better about security and be better about returning fraudulently stolen money and about earning customers when new scams are on the rise. We’ve been working with them for over two hours and there’s still no real resolution","{'id': 17246158, 'body': ""We take your account’s safety seriously and we are always here for you whenever you have any questions or concerns. Please do not share any account information with anyone you don’t know or trust. We will never reach out to you and ask you to provide us with your login details or any verification codes sent via text message, during a phone call or via social media private messages. For further assistance, please send us an email at reviews@current.com. We'd be happy to take a further look into this.\n\nSincerely,\nSupport@Current"", 'modified': '2020-08-12T21:27:24Z'}",TRUE
3,Easy but not helpful,DaddyOkane,3/14/2021 17:02,"Current is ok only reason I’m writing three stars is because customer service is honestly garbage. And they promote that there was $100 overdraft which honestly that’s not true at all.
But back to my original complaint about customer service I had an unauthorized use and someone used a little cash out of my account and when I contacted support they basically said it would take three to six months to get that payment back after I fill out a mountain of paperwork and all that they could do is cancel my card and send me another one, but in the process they canceled the wrong card so I was stuck out and they did not ship the new card faster they basically told me to deal with it or use another Bank to link a virtual card so I can pay for stuff for my kids .they were not helpful and honestly I won’t be with them for much longer .only good thing is you will get your paychecks faster and tax return fast but outside of that it’s really nothing good.
And if you change your phone number it is basically impossible for you to get back into your account even if you have an email link to it and they did nothing to help my wife she is still locked out of her current and the money is still sitting in there so basically they said deal with it so Hope this helps dudes","{'id': 21693395, 'body': ""Hi there, thank you for your review. Customer service is incredibly important to us here at Current & we apologize that we were unable to provide you with exceptional service.  Customer feedback is valuable to us as we continue to grow & improve the products & services we offer. Should you still need help with any of the issues you mentioned or if you have additional feedback you'd like to share with our team, feel free to contact us reviews@current.com from the email address linked to your account. \nSincerely, \nSupport@Current"", 'modified': '2021-03-16T21:43:10Z'}",FALSE
1,"So rude, and they lie and work together on the lie",bsksndh,5/25/2021 17:46,"I have had the worst experience with a bank that you can have and it was with his bank. 
I have two cases where my car was really stolen and they swiped as a credit card and they did nothing normally it takes like a 30 to 90 days for a bank to get back to you they contacted me the very next day denied it did not care about any of the evidence I had when I ask him about theThe reason they always tell you to contact the disputing the disputing when I tell you never reaches back out I sent multiple emails opening up multiple cases nobody ever reach back out I have lost hundreds of dollars in his bank account because they were fused to do investigations whenever I asked him to be transferred they have will never change for me I am going to upload evidence of just just some of the evidence but please just know I have a lot more 
Oh and I also have a case build up against him with the Better Business Bureau I screenshot all of my conversations and they will be handled 

they won’t let meUpload the pictures but basically when they send me the email of the dispute they created they basically lied in the whole email and they basically say I said things that I never once said I still have my original copy of the email I sent them every day when I sent it to them do you know the people still never say anything for to me in a basically justify the actions in lying of the employees","{'id': 23033186, 'body': ""Hi there, thank you for taking the time to leave us a review & we apologize for the major inconvenience we've caused you throughout all of this. We strive to uphold our support agents to the highest standards of customer service, but it sounds like we have failed you. We would be more than happy to look into your interactions with our agents & look into any other issues you've been experiencing with us. \n\nPlease contact us at reviews@current.com from the email address linked to your account so that we can further investigate this & let us know if you have any other questions or concerns. \n\nWe look forward to hearing back from you & hopefully we can make this right. \n\nSincerely,\nSupport@Current"", 'modified': '2021-05-27T01:31:03Z'}",FALSE
1,Not pleased,sirenxo,12/4/2020 23:51,To first start out I’ve had a bad experience with Current. This is my first debit card and I am not pleased with it at all. First things first I tried transferring money into the account and after about a week it never went through so I tried to dispute it and NEVER got my money back (this was months ago) so I decided to stop using it because after that I didn’t want to lose any more money. I’ve finally decided to start using it again as I’m looking for a job and it’s currently the only debit card I have and I went to look at my account inform and Current has signed me out of my account on both of my phones. I’ve tried signing back in but it literally makes me create a whole new account which I don’t want to do and the support email for current is no longer in use and I never reach anyone when calling. I don’t see anything about a sign in issue on the website and what to do if you can’t sign in at all so I have no clue what to do. There is literally no sign in option on the app only a “get started” option as if to open a new banking account with Current. Are you really that desperate for new customers that you try to make them open up a new account if they can’t sign in to an existing one? I’ve received no help from anyone despite trying and like I said never got my money back from the first time and now I can’t access my account. Do better,"{'id': 19625747, 'body': ""Hi, we're sorry to hear that and we would love to help you out. Please reach out to our customer support team at reviews@current.com. Sincerely, Support@Current\n\n"", 'modified': '2020-12-08T17:15:29Z'}",FALSE
1,Deceitful,GrayDeBeast!!!!,5/21/2021 1:28,"We have been huge Current fans for the last couple of years. We’ve recommended Current to countless friends and neighbors.  Until, my daughter received a fraudulent charge on her account. She notified Current within minutes, blocked her account and awaited her new card and a refund of her hard earned money. She received the new card and notice that Current did not agree with the dispute and that Current would not refund her money. I then spent 90 painful minutes typing away in their app (there is no phone service) being cut off several times if I wasn’t typing quickly enough, only to be again told that her $ would not be refunded and there was nothing I could do. So, I requested that all the money in our accounts be refunded and the accounts closed. I then spent another 30 min trying to withdraw my money to face constant “errors”. My very helpful “chatbot” suggested I use the debit cards to withdraw the funds from an ATM - which would still leave Current with money in the bank since atms don’t give less than $20 and certainly not 50 cents. I am down to being owed $19+ (plus the bogus charges they allowed someone to steal from us) and will have my attorney follow up. My recommendation is to stay away from this operation.  All is well until it isn’t, and once it’s not, it unravels quickly.","{'id': 22986664, 'body': ""Hi there, thank you for taking the time to leave a review & we're terribly sorry to hear about your experience with us. We take fraud seriously and our Disputes Team investigates all claims using industry standards and research. However, the outcomes of these disputes are final & we sincerely apologize for the inconvenience this has caused. \n\nWe would be more than happy to look into the remaining balance you mentioned in your review & issue you a refund check for the amount remaining in your account. Please contact us at reviews@current.com from the email address associated with your account & let us know if you have any other questions or concerns. \n\nWe look forward to hearing back from you!\n\nSincerely,\nSupport@Current"", 'modified': '2021-05-24T21:45:57Z'}",FALSE
1,Do NOT bank with these crooks!,jdubhair31,10/24/2020 8:38,"I had my card information used on a transaction and, at the time they were my financial institution. I locked my card and instantly contacted Current. To be told that I’d have to file a dispute which turned into a 6 month long battle. I have since switched banks to a regular big name. For $21 a month I was charged for them to take my money elsewhere. I canceled my account 81 days into the dispute. They had no idea when a “dispute representative” would call me. Even after they said by end of day each day I contacted them. The phones route you to the app support which if they don’t want to answer a question they just end the chat and refuse to answer again. The best description for this bank is: if you like stressing out over why your funds are being taken, this bank is the bank for you. I have since found a stress free banking team at Citi Bank. Back to the 81 days into the dispute. At 101 days they email me saying the dispute was complete that they refunded the money. Now, after all that they won’t respond to my support emails asking to reactive to transfer my funds out. Go figure right? They have had to do this to others. They have got the science to screwing people down. Day three of waiting for a response on them letting me get my funds out, still no answer. They do not even deserve 1 Star!",,FALSE
5,The Current is Currently Perfect!,I$ab!,6/1/2021 19:59,"Funny true story. The payroll company that pays me uses a service that if I pay a fee they give me an advance on my paycheck. Well I signed up for it because the first time was free. Well when they go into the account to pull the funds to give me an advance they say I don’t have any money. Now I’m confused and a little upset but ChaChing here comes Currents notification! My finds are already available! You just know I had to tell that other company that they’re fixing to go out of business and some think that’s rude but I call it “get your crap together, know that in these times you must stay on your toes because their will always be better!” Thank you Current I appreciate you! Please know there’s another one coming down the pike and the sooner I see it the better in these times you know we could all use it. God bless you thank you so much.I look forward to a long lasting business relationship with you. I love saying I love my Current because they are ahead of current and there is currently money in my account!",,FALSE
3,Needs work,almondxmilkkk482,7/24/2020 14:53,"It’s a good app all together, I do have an issue with the customer service. It takes forever to connect to a representative & once you do it doesn’t notify you so the representative usually just ends the chat if you don’t respond in a few minutes so you have to wait all over again to finally get connected to a new one. Also, if you need to dispute a charge that also takes forever. 30-45 business days I believe which is normal but I should at least be able to get my money back before that especially if it was fraud.
I also don’t like the gas holds feature, say for example you only want to put 20 dollars in your tank & that’s all you have in your account, the gas station will try to charge you 100 bucks instead of 20. So it just declines at the pump and you have to pay on the inside.
If you want to go to a bank atm to withdraw money, the atm already has a 2-3 dollar fee since it’s a different bank, but on top of that this card charges you another 2-3 bucks so all in all your fee is 5.50 or something like that which is way too much. It’s just little things I have issues with but other than that like I said, it’s a good working app.","{'id': 16910233, 'body': ""Thanks for the feedback. The dispute resolution time frame is standard, and we apologize for any inconvenience this may cause. If you are inquiring about provisional credit, send us an email so we can review your account. In addition, the gas hold is actually a pre-authorization hold that is placed on the card by the merchant. As a note, we do not control the amount that is used for authorization, this is done by the merchant in association with their credit card processor. If you need further assistance, please do not hesitate to reach out to us at reviews@current.com, we'd love to help.\n\nSincerely,\nSupport@Current"", 'modified': '2020-07-27T21:56:58Z'}",FALSE
1,THIS APP IS ABSOLUTELY TERRIBLE!,mysialachelle,2/6/2021 19:11,"I wouldn’t even recommend this app even if someone held me hostage and forced me to. I never wanted to cuss out a customer service agent so bad. They are clueless and can’t do anything and clearly don’t know how to communicate with customers or each other. They give you a virtual card to use while your waiting on your physical one to arrive in the mail..what they don’t tell you is that you can’t even use it!!!! I tried to use my virtual card with the Apple Pay feature and it didn’t even work. I contacted customer support asking them if the virtual card works at any stores that accept Apple Pay and they told me that I can use my virtual card at any store I can have to accept “credit” instead of “debit” since my virtual card doesn’t have a pin. IT DID NOT WORK. Then I talk to someone else and they tell me that my virtual card is only accepted by merchants who accept virtual cards...after I just tried to use Apple Pay, with a merchant, WHO ACCEPTS VIRTUAL CARDS. I was so over it completely. THIS BANK WON’T LET YOU DO ANYTHING WITHOUT YOUR PHYSICAL CARD. Mind you I ordered my card 7 days ago..and it’s still not here. This bank restricts you of YOUR MONEY. I am not able to access it in any way all because I don’t have the actual physical card. THIS APP IS A COMPLETE WASTE OF TIME. USE AT YOUR OWN RISK!","{'id': 21007477, 'body': ""Hey there, we're truly sorry to hear about your experience. We'd be happy to review your support interaction and shed some more light on how virtual cards can be used. Please reach out to our member experience team at reviews@current.com from the email address associated with your account for assistance.\n\nSincerely, \nSupport@Current"", 'modified': '2021-02-11T20:42:45Z'}",FALSE
2,Don’t Waste Your Time.,INDRA! 🕊,3/31/2021 0:12,"If you want to have someone steal money from you through card fraud and have Current give you back the money and then take it back months later causing your account to be in debt because they all of a sudden decided there was no proof then this online bank is for you. If you would like to form a dispute with credible proof of scam tactics and it take months for them to dispute it even after the date they said it would be done then this online bank is for you. If you would like to have to wait in a hold without even being able to call anyone just talk to people on the app and have people close the conversation without getting you your help then this online bank is for you. Do you see where I am going with this? Do not let them try to butter you up with how much they seek to have to offer. It’s all fun until it gets down to the nitty gritty in which case they are very unreliable and have barely any communication skills. Your better off just getting Chime. I’m going to a brick and mortar bank, preferably Chase, so that I can have easy access to help whenever I need it and I can account for everything that I have. Don’t Waste Your Time. ✨🕊","{'id': 22022009, 'body': ""Hi there, thank you for leaving a review. We're truly sorry to hear about your experience with us & want to assure you that this isn't the type of customer support we aim to achieve. \n\nWe understand the importance of customer support, especially when it comes to mobile banking, & we do our best to ensure our Current members are continually looked after if an issue were to ever arise. However, it sounds like we've done the exact opposite here & want to offer our help, should you need it. \n\nPlease feel free to reach out to us at reviews@current.com if you have any questions or concerns about your account, recent disputes, or anything else! \n\nSincerely, \nSupport@Current"", 'modified': '2021-04-02T22:29:22Z'}",FALSE
