rating,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,principal component 7,principal component 8,principal component 9
5,-0.03727752,-0.027951718,-0.010677186,-0.032119162,-0.054721924,0.042603436,0.002173155,0.006366811,0.00018279
5,-0.038743307,-0.030083977,-0.01184315,-0.03622869,-0.064897568,0.058770144,0.005503173,0.003405244,8.83E-05
4,-0.036312136,-0.026315757,-0.009690849,-0.028525297,-0.045064887,0.025427656,-0.001404665,0.011049006,0.000225186
1,-0.033694955,-0.022138357,-0.007245789,-0.019686691,-0.021849429,-0.014749528,-0.009775958,0.021171542,0.000324121
1,-0.03348504,-0.021878113,-0.007117916,-0.019259361,-0.020917057,-0.015932433,-0.009954125,0.021263567,0.000324096
4,-0.036113869,-0.026077862,-0.009576773,-0.028145022,-0.044260316,0.024441575,-0.001549018,0.011113234,0.000207924
5,-0.038443153,-0.029722357,-0.011672129,-0.035650466,-0.063678105,0.057301843,0.005151171,0.003225233,0.000100471
5,-0.041106855,-0.034011348,-0.014192367,-0.044759991,-0.087692168,0.099047057,0.013741902,-0.007674868,2.17E-05
1,-0.033882435,-0.022385584,-0.007374086,-0.020127086,-0.022879109,-0.013252642,-0.009512555,0.020920972,0.000324324
5,-0.04375861,-0.038007884,-0.016457546,-0.052879915,-0.108491617,0.134016826,0.021012096,-0.015802336,-8.29E-06
2,-0.034797649,-0.02365418,-0.008052786,-0.022490123,-0.028592436,-0.0044802,-0.007857476,0.019257513,0.000308351
5,-0.044588897,-0.039334523,-0.017225865,-0.055636345,-0.115659453,0.146083661,0.023622184,-0.018266486,-0.000165265
3,-0.038856768,-0.02974065,-0.011483659,-0.034704681,-0.059651213,0.046920364,0.002503981,0.007518752,0.000179034
5,-0.036937216,-0.027055796,-0.010029501,-0.029608224,-0.047185687,0.027454909,-0.001250969,0.011339199,0.000233441
5,-0.049339733,-0.046770626,-0.021509634,-0.071014885,-0.15555004,0.214013102,0.0375578,-0.034864489,-0.000316333
5,-0.046823865,-0.042972736,-0.0193742,-0.063425833,-0.13631819,0.18241633,0.030975976,-0.028414204,-0.000122929
2,-0.03603654,-0.025271128,-0.008879638,-0.02530959,-0.035067014,0.004595494,-0.006286925,0.018038944,0.000291001
3,-0.033989192,-0.022659178,-0.007566341,-0.020867885,-0.025080607,-0.00885857,-0.008501071,0.019543458,0.000306919
3,-0.036941677,-0.026957507,-0.009940647,-0.029243092,-0.04597143,0.024745884,-0.001907674,0.012343306,0.000225759
5,-0.034999588,-0.024220761,-0.008460793,-0.02407086,-0.033345572,0.005105288,-0.005671526,0.016137466,0.000284904
5,-0.040639446,-0.03298412,-0.013501013,-0.042164792,-0.08021702,0.084747321,0.010613233,-0.003376636,0.000132851
5,-0.047014661,-0.043186265,-0.0194714,-0.063775218,-0.137049754,0.183394233,0.031401483,-0.028031363,-0.000131814
5,-0.045786727,-0.040771926,-0.017902804,-0.057847085,-0.120191115,0.15112878,0.024117717,-0.018434278,-5.08E-05
5,-0.036407311,-0.02627061,-0.00958723,-0.028039837,-0.043198192,0.020815604,-0.002525853,0.01304627,0.000215635
5,-0.041377475,-0.034215556,-0.014225992,-0.044809869,-0.08721628,0.096861935,0.013470119,-0.005699011,-5.59E-05
5,-0.049256359,-0.046545214,-0.021360786,-0.070501799,-0.154133768,0.211636391,0.037077087,-0.034507745,-0.00016587
1,-0.033407343,-0.02177832,-0.007068475,-0.019094309,-0.020560632,-0.016362715,-0.010012541,0.021273423,0.000323924
5,-0.03973912,-0.031290605,-0.012418855,-0.038118205,-0.068846159,0.063314556,0.006038943,0.003307553,0.000118308
2,-0.036612051,-0.025993045,-0.009236276,-0.026503883,-0.037686379,0.007945476,-0.005773571,0.017782258,0.000289367
5,-0.047346178,-0.043753909,-0.019811892,-0.064982862,-0.140240384,0.188719813,0.032402918,-0.029302893,-0.000213651
1,-0.034380177,-0.022977111,-0.007653632,-0.021042531,-0.024770724,-0.011131217,-0.009254698,0.020929998,0.000328995
5,-0.046606373,-0.042714557,-0.019252844,-0.063017444,-0.135430829,0.181114897,0.031000465,-0.02751137,-0.000282871
5,-0.044504028,-0.038876728,-0.016847605,-0.054129321,-0.110851987,0.135932338,0.021222829,-0.014865662,-4.20E-05
5,-0.037417464,-0.028140652,-0.010774783,-0.032459486,-0.055525356,0.043825052,0.002423717,0.00617493,0.000186306
2,-0.036784352,-0.026745544,-0.009838571,-0.028909836,-0.045271993,0.023959229,-0.002044302,0.012204326,0.000250632
1,-0.035405811,-0.024224652,-0.008256461,-0.023040241,-0.029021724,-0.006039793,-0.008554893,0.020734597,0.000336948
5,-0.034322784,-0.02327965,-0.007955124,-0.022307853,-0.029053651,-0.001578927,-0.006904247,0.017571492,0.000275183
1,-0.034050495,-0.022601765,-0.007481912,-0.020490687,-0.023686479,-0.012200037,-0.009340543,0.020848537,0.000319614
1,-0.034848947,-0.02350439,-0.007887305,-0.021780553,-0.026120394,-0.010150255,-0.009258807,0.021366416,0.000330857
1,-0.03550491,-0.024417562,-0.008378918,-0.023494963,-0.030290083,-0.003690391,-0.008046277,0.020074534,0.000320696
5,-0.046539197,-0.042524977,-0.019106817,-0.062481774,-0.133844111,0.178288615,0.03029802,-0.027162113,-0.00010768
5,-0.049425649,-0.047176415,-0.021856882,-0.072460864,-0.160305305,0.224554979,0.03988469,-0.0393837,-0.000176869
2,-0.035064425,-0.02406752,-0.008291811,-0.023352233,-0.03084104,-0.000609236,-0.00705622,0.018273876,0.000308686
5,-0.048276629,-0.044948452,-0.020408031,-0.067023897,-0.144813246,0.194760172,0.033754701,-0.029240468,-0.000324306
5,-0.055727819,-0.056551503,-0.027075367,-0.090918641,-0.206642682,0.299736473,0.055064056,-0.054969323,-0.000502038
5,-0.052357923,-0.051792969,-0.024533258,-0.082106218,-0.185447659,0.267584843,0.04899019,-0.049497139,-0.000371823
1,-0.035358863,-0.024094069,-0.008158965,-0.022656652,-0.027847414,-0.008462206,-0.009115549,0.02156024,0.000338823
5,-0.032915291,-0.021249636,-0.006842537,-0.018396525,-0.019369483,-0.016982829,-0.009911922,0.020753592,0.000313821
