rating,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6
5,-1.4188138,-2.760381431,-0.923766888,-0.107230333,0.052649231,0.544004606
5,-1.426363057,-2.61758055,-1.149070299,0.486351073,0.153598944,0.24321689
4,-1.437935628,-2.695963608,-0.986799601,0.127705217,0.139399271,0.83337507
1,-1.440690889,-2.620891815,-1.055706724,0.324149738,0.410472811,1.42945251
1,-1.471772201,-2.601724686,-1.03141661,0.202277238,0.587485527,2.004438315
4,-1.413017793,-2.694002109,-1.046874302,0.187401637,0.133295838,0.458975771
5,-1.384250194,-2.74098703,-1.014232833,-0.046341859,0.104914451,0.389727722
5,-1.368272435,-2.819187676,-0.925717353,-0.282791472,-0.027847329,0.401854682
1,-1.42400995,-2.698350405,-0.976219461,0.089132368,0.282493669,1.445865077
5,-1.401763888,-2.767638452,-0.962588306,-0.020024221,-0.061879332,0.431567541
2,-1.434531584,-2.6858425,-0.966545156,0.070089307,0.28844933,1.546491154
5,-1.387167992,-2.693165424,-1.119177157,0.308736138,0.008814661,-0.033855907
3,-1.418837461,-2.68893528,-1.027965416,0.157274143,0.192752907,1.00590988
5,-1.429427299,-2.74471325,-0.947092231,-0.132834017,0.116843253,1.067956307
5,-1.371363864,-2.756532393,-1.027512725,0.044950406,-0.051286189,0.202992086
5,-1.368099628,-2.833042973,-0.921646756,-0.238065311,-0.141954634,0.37209031
2,-1.428204537,-2.621752406,-1.122061742,0.415074527,0.300612008,1.100608455
3,-1.431709003,-2.737236368,-0.902309125,-0.217401605,0.265803898,1.824199244
3,-1.39947767,-2.740129992,-0.966256315,-0.121122031,0.215936734,1.275519143
5,-1.423592716,-2.818754482,-0.860445123,-0.399979956,0.02719376,1.261344678
5,-1.399577453,-2.830361072,-0.887144654,-0.313061308,-0.083574187,0.829362505
5,-1.381271378,-2.772558343,-0.996550933,0.056874453,-0.148975349,0.218613657
5,-1.404687115,-2.754960315,-1.002614598,-0.033223784,0.007429916,0.682291253
