rating,year_of_founding,app_ranking_in_cat,num_ratings,app_size,BBB_num_rating,BBB_num_reviews,BBB_num_complaints,Trustpilot_rating,Trustpilot_num_reviews,company_size_ordinal,day_of_week,week_of_year,hour,year,month,yrs_to_review,lenDevResp,lenTitle,avg_rating,dist_to_avg_rating,stdDev_rating,dist_to_avg_BBB_rating,finance,shopping,private,public,A,A+,A-,B-,F,lenReview,Log_BBB_num_rating
5,2012,29,659500,76.6,1.22,201,639,4.5,4319,2,5,39,15,2019,9,7,0,19,4.369230769,0.630769231,1.358073284,198.964695,0,1,0,1,0,1,0,0,0,1285,0.198850859
5,2012,29,659500,76.6,1.22,201,639,4.5,4319,2,4,11,7,2021,3,9,0,20,4.369230769,0.630769231,1.358073284,198.964695,0,1,0,1,0,1,0,0,0,1098,0.198850859
4,2012,29,659500,76.6,1.22,201,639,4.5,4319,2,0,40,9,2020,9,8,0,19,4.369230769,-0.369230769,1.358073284,198.964695,0,1,0,1,0,1,0,0,0,1247,0.198850859
1,2012,29,659500,76.6,1.22,201,639,4.5,4319,2,2,17,11,2021,4,9,0,10,4.369230769,-3.369230769,1.358073284,198.964695,0,1,0,1,0,1,0,0,0,1409,0.198850859
1,2012,29,659500,76.6,1.22,201,639,4.5,4319,2,2,13,20,2021,3,9,0,34,4.369230769,-3.369230769,1.358073284,198.964695,0,1,0,1,0,1,0,0,0,1432,0.198850859
4,2012,29,659500,76.6,1.22,201,639,4.5,4319,2,0,25,21,2020,6,8,0,9,4.369230769,-0.369230769,1.358073284,198.964695,0,1,0,1,0,1,0,0,0,1256,0.198850859
5,2012,29,659500,76.6,1.22,201,639,4.5,4319,2,2,4,21,2019,1,7,0,26,4.369230769,0.630769231,1.358073284,198.964695,0,1,0,1,0,1,0,0,0,1129,0.198850859
5,2012,29,659500,76.6,1.22,201,639,4.5,4319,2,2,20,21,2018,5,6,0,22,4.369230769,0.630769231,1.358073284,198.964695,0,1,0,1,0,1,0,0,0,1087,0.198850859
1,2012,29,659500,76.6,1.22,201,639,4.5,4319,2,1,32,14,2020,8,8,0,7,4.369230769,-3.369230769,1.358073284,198.964695,0,1,0,1,0,1,0,0,0,1345,0.198850859
5,2012,29,659500,76.6,1.22,201,639,4.5,4319,2,4,41,7,2019,10,7,0,19,4.369230769,0.630769231,1.358073284,198.964695,0,1,0,1,0,1,0,0,0,1025,0.198850859
2,2012,29,659500,76.6,1.22,201,639,4.5,4319,2,1,27,2,2020,6,8,0,26,4.369230769,-2.369230769,1.358073284,198.964695,0,1,0,1,0,1,0,0,0,1239,0.198850859
5,2012,29,659500,76.6,1.22,201,639,4.5,4319,2,3,14,16,2020,4,8,0,10,4.369230769,0.630769231,1.358073284,198.964695,0,1,0,1,0,1,0,0,0,1008,0.198850859
3,2012,29,659500,76.6,1.22,201,639,4.5,4319,2,3,23,10,2020,6,8,0,21,4.369230769,-1.369230769,1.358073284,198.964695,0,1,0,1,0,1,0,0,0,1129,0.198850859
5,2012,29,659500,76.6,1.22,201,639,4.5,4319,2,4,32,12,2019,8,7,0,48,4.369230769,0.630769231,1.358073284,198.964695,0,1,0,1,0,1,0,0,0,973,0.198850859
5,2012,29,659500,76.6,1.22,201,639,4.5,4319,2,4,16,8,2019,4,7,0,19,4.369230769,0.630769231,1.358073284,198.964695,0,1,0,1,0,1,0,0,0,933,0.198850859
5,2012,29,659500,76.6,1.22,201,639,4.5,4319,2,1,36,13,2018,9,6,0,19,4.369230769,0.630769231,1.358073284,198.964695,0,1,0,1,0,1,0,0,0,941,0.198850859
2,2012,29,659500,76.6,1.22,201,639,4.5,4319,2,2,17,13,2021,4,9,0,16,4.369230769,-2.369230769,1.358073284,198.964695,0,1,0,1,0,1,0,0,0,1127,0.198850859
3,2012,29,659500,76.6,1.22,201,639,4.5,4319,2,0,23,4,2019,6,7,0,53,4.369230769,-1.369230769,1.358073284,198.964695,0,1,0,1,0,1,0,0,0,1043,0.198850859
3,2012,29,659500,76.6,1.22,201,639,4.5,4319,2,5,10,12,2019,3,7,0,36,4.369230769,-1.369230769,1.358073284,198.964695,0,1,0,1,0,1,0,0,0,1058,0.198850859
5,2012,29,659500,76.6,1.22,201,639,4.5,4319,2,3,52,18,2018,12,6,0,52,4.369230769,0.630769231,1.358073284,198.964695,0,1,0,1,0,1,0,0,0,892,0.198850859
5,2012,29,659500,76.6,1.22,201,639,4.5,4319,2,3,52,15,2018,12,6,0,35,4.369230769,0.630769231,1.358073284,198.964695,0,1,0,1,0,1,0,0,0,882,0.198850859
5,2012,29,659500,76.6,1.22,201,639,4.5,4319,2,3,39,1,2019,9,7,0,14,4.369230769,0.630769231,1.358073284,198.964695,0,1,0,1,0,1,0,0,0,888,0.198850859
5,2012,29,659500,76.6,1.22,201,639,4.5,4319,2,3,34,16,2019,8,7,0,36,4.369230769,0.630769231,1.358073284,198.964695,0,1,0,1,0,1,0,0,0,843,0.198850859
5,2012,29,659500,76.6,1.22,201,639,4.5,4319,2,4,4,14,2021,1,9,0,45,4.369230769,0.630769231,1.358073284,198.964695,0,1,0,1,0,1,0,0,0,867,0.198850859
5,2012,29,659500,76.6,1.22,201,639,4.5,4319,2,3,3,2,2021,1,9,0,11,4.369230769,0.630769231,1.358073284,198.964695,0,1,0,1,0,1,0,0,0,858,0.198850859
5,2012,29,659500,76.6,1.22,201,639,4.5,4319,2,3,43,4,2019,10,7,0,22,4.369230769,0.630769231,1.358073284,198.964695,0,1,0,1,0,1,0,0,0,831,0.198850859
1,2012,29,659500,76.6,1.22,201,639,4.5,4319,2,2,13,20,2020,3,8,0,56,4.369230769,-3.369230769,1.358073284,198.964695,0,1,0,1,0,1,0,0,0,1098,0.198850859
5,2012,29,659500,76.6,1.22,201,639,4.5,4319,2,4,17,21,2020,4,8,0,43,4.369230769,0.630769231,1.358073284,198.964695,0,1,0,1,0,1,0,0,0,825,0.198850859
