rating,day_of_week,week_of_year,hour,month,yrs_to_review,lenDevResp,lenTitle,lenReview,ratings_per_yr_in_exist,app_rank_in_cat_per_yr_in_exist,BBB_complaints_per_yr_in_exist,BBB_complaints_per_BBB_review,len_review_per_len_title,Dev_resp_per_yr,DevLen_per_ReviewLen,ReviewLen_by_time_of_day,ReviewLen_by_day_of_week
5,6,39,15,9,7,0,19,1285,94214.0,4.0,91.0,3.0,68.0,0.0,0.0,86.0,214.0
5,5,11,7,3,9,0,20,1098,73278.0,3.0,71.0,3.0,55.0,0.0,0.0,157.0,220.0
4,1,40,9,9,8,0,19,1247,82438.0,4.0,80.0,3.0,66.0,0.0,0.0,139.0,1247.0
1,3,17,11,4,9,0,10,1409,73278.0,3.0,71.0,3.0,141.0,0.0,0.0,128.0,470.0
1,3,13,20,3,9,0,34,1432,73278.0,3.0,71.0,3.0,42.0,0.0,0.0,72.0,477.0
4,1,25,21,6,8,0,9,1256,82438.0,4.0,80.0,3.0,140.0,0.0,0.0,60.0,1256.0
5,3,4,21,1,7,0,26,1129,94214.0,4.0,91.0,3.0,43.0,0.0,0.0,54.0,376.0
5,3,20,21,5,6,0,22,1087,109917.0,5.0,106.0,3.0,49.0,0.0,0.0,52.0,362.0
1,2,32,14,8,8,0,7,1345,82438.0,4.0,80.0,3.0,192.0,0.0,0.0,96.0,672.0
5,5,41,7,10,7,0,19,1025,94214.0,4.0,91.0,3.0,54.0,0.0,0.0,146.0,205.0
2,2,27,2,6,8,0,26,1239,82438.0,4.0,80.0,3.0,48.0,0.0,0.0,620.0,620.0
5,4,14,16,4,8,0,10,1008,82438.0,4.0,80.0,3.0,101.0,0.0,0.0,63.0,252.0
3,4,23,10,6,8,0,21,1129,82438.0,4.0,80.0,3.0,54.0,0.0,0.0,113.0,282.0
5,5,32,12,8,7,0,48,973,94214.0,4.0,91.0,3.0,20.0,0.0,0.0,81.0,195.0
5,5,16,8,4,7,0,19,933,94214.0,4.0,91.0,3.0,49.0,0.0,0.0,117.0,187.0
5,2,36,13,9,6,0,19,941,109917.0,5.0,106.0,3.0,50.0,0.0,0.0,72.0,470.0
2,3,17,13,4,9,0,16,1127,73278.0,3.0,71.0,3.0,70.0,0.0,0.0,87.0,376.0
3,1,23,4,6,7,0,53,1043,94214.0,4.0,91.0,3.0,20.0,0.0,0.0,261.0,1043.0
3,6,10,12,3,7,0,36,1058,94214.0,4.0,91.0,3.0,29.0,0.0,0.0,88.0,176.0
5,4,52,18,12,6,0,52,892,109917.0,5.0,106.0,3.0,17.0,0.0,0.0,50.0,223.0
5,4,52,15,12,6,0,35,882,109917.0,5.0,106.0,3.0,25.0,0.0,0.0,59.0,220.0
5,4,39,1,9,7,0,14,888,94214.0,4.0,91.0,3.0,63.0,0.0,0.0,888.0,222.0
5,4,34,16,8,7,0,36,843,94214.0,4.0,91.0,3.0,23.0,0.0,0.0,53.0,211.0
5,5,4,14,1,9,0,45,867,73278.0,3.0,71.0,3.0,19.0,0.0,0.0,62.0,173.0
5,4,3,2,1,9,0,11,858,73278.0,3.0,71.0,3.0,78.0,0.0,0.0,429.0,214.0
5,4,43,4,10,7,0,22,831,94214.0,4.0,91.0,3.0,38.0,0.0,0.0,208.0,208.0
1,3,13,20,3,8,0,56,1098,82438.0,4.0,80.0,3.0,20.0,0.0,0.0,55.0,366.0
5,5,17,21,4,8,0,43,825,82438.0,4.0,80.0,3.0,19.0,0.0,0.0,39.0,165.0
2,5,13,18,4,9,0,25,1030,73278.0,3.0,71.0,3.0,41.0,0.0,0.0,57.0,206.0
5,1,25,23,6,7,0,20,871,94214.0,4.0,91.0,3.0,44.0,0.0,0.0,38.0,871.0
1,7,28,5,7,7,0,36,1077,94214.0,4.0,91.0,3.0,30.0,0.0,0.0,215.0,154.0
5,6,7,23,2,7,0,12,837,94214.0,4.0,91.0,3.0,70.0,0.0,0.0,36.0,140.0
5,1,34,13,8,8,0,32,809,82438.0,4.0,80.0,3.0,25.0,0.0,0.0,62.0,809.0
5,5,41,6,10,7,0,20,1259,94214.0,4.0,91.0,3.0,63.0,0.0,0.0,210.0,252.0
2,7,32,17,8,6,0,15,984,109917.0,5.0,106.0,3.0,66.0,0.0,0.0,58.0,141.0
1,3,38,23,9,8,0,22,1041,82438.0,4.0,80.0,3.0,47.0,0.0,0.0,45.0,347.0
5,2,10,18,3,9,0,42,1224,73278.0,3.0,71.0,3.0,29.0,0.0,0.0,68.0,612.0
1,7,1,2,1,9,0,13,1068,73278.0,3.0,71.0,3.0,82.0,0.0,0.0,534.0,153.0
1,2,1,18,1,9,0,29,988,73278.0,3.0,71.0,3.0,34.0,0.0,0.0,55.0,494.0
1,3,9,15,2,7,0,23,1045,94214.0,4.0,91.0,3.0,45.0,0.0,0.0,70.0,348.0
5,1,37,2,9,6,0,19,801,109917.0,5.0,106.0,3.0,42.0,0.0,0.0,400.0,801.0
5,5,46,21,11,6,0,15,781,109917.0,5.0,106.0,3.0,52.0,0.0,0.0,37.0,156.0
2,7,45,6,11,7,0,40,890,94214.0,4.0,91.0,3.0,22.0,0.0,0.0,148.0,127.0
5,3,18,19,5,9,0,13,771,73278.0,3.0,71.0,3.0,59.0,0.0,0.0,41.0,257.0
5,4,22,12,5,7,0,27,786,94214.0,4.0,91.0,3.0,29.0,0.0,0.0,66.0,196.0
5,2,33,20,8,7,0,10,798,94214.0,4.0,91.0,3.0,80.0,0.0,0.0,40.0,399.0
1,6,14,19,4,9,0,27,1013,73278.0,3.0,71.0,3.0,38.0,0.0,0.0,53.0,169.0
5,5,45,1,11,5,0,81,706,131900.0,6.0,128.0,3.0,9.0,0.0,0.0,706.0,141.0
2,7,34,19,8,8,0,12,924,82438.0,4.0,80.0,3.0,77.0,0.0,0.0,49.0,132.0
1,3,18,20,5,9,0,45,957,73278.0,3.0,71.0,3.0,21.0,0.0,0.0,48.0,319.0
2,1,51,17,12,8,0,12,948,82438.0,4.0,80.0,3.0,79.0,0.0,0.0,56.0,948.0
5,5,38,6,9,7,0,13,763,94214.0,4.0,91.0,3.0,59.0,0.0,0.0,127.0,153.0
5,5,21,11,5,7,0,86,667,94214.0,4.0,91.0,3.0,8.0,0.0,0.0,61.0,133.0
1,1,51,22,12,8,0,24,946,82438.0,4.0,80.0,3.0,39.0,0.0,0.0,43.0,946.0
5,3,41,12,10,8,0,14,707,82438.0,4.0,80.0,3.0,50.0,0.0,0.0,59.0,236.0
1,7,41,12,10,8,0,43,1396,82438.0,4.0,80.0,3.0,32.0,0.0,0.0,116.0,199.0
5,1,23,1,6,7,0,20,705,94214.0,4.0,91.0,3.0,35.0,0.0,0.0,705.0,705.0
5,1,37,3,9,6,0,90,681,109917.0,5.0,106.0,3.0,8.0,0.0,0.0,227.0,681.0
1,1,24,11,6,8,0,18,995,82438.0,4.0,80.0,3.0,55.0,0.0,0.0,90.0,995.0
1,3,22,14,5,8,0,22,922,82438.0,4.0,80.0,3.0,42.0,0.0,0.0,66.0,307.0
5,2,23,2,6,8,0,40,681,82438.0,4.0,80.0,3.0,17.0,0.0,0.0,340.0,340.0
5,5,23,2,6,6,0,49,684,109917.0,5.0,106.0,3.0,14.0,0.0,0.0,342.0,137.0
1,7,17,20,4,8,0,18,933,82438.0,4.0,80.0,3.0,52.0,0.0,0.0,47.0,133.0
5,1,2,16,1,7,0,19,753,94214.0,4.0,91.0,3.0,40.0,0.0,0.0,47.0,753.0
1,4,38,0,9,7,0,26,1354,94214.0,4.0,91.0,3.0,52.0,0.0,0.0,inf,338.0
5,6,13,11,3,8,0,21,682,82438.0,4.0,80.0,3.0,32.0,0.0,0.0,62.0,114.0
1,6,26,21,6,8,0,31,908,82438.0,4.0,80.0,3.0,29.0,0.0,0.0,43.0,151.0
4,2,25,12,6,8,0,42,734,82438.0,4.0,80.0,3.0,17.0,0.0,0.0,61.0,367.0
1,1,43,18,10,8,215,32,901,82438.0,4.0,80.0,3.0,28.0,27.0,0.0,50.0,901.0
5,3,3,19,1,9,0,36,708,73278.0,3.0,71.0,3.0,20.0,0.0,0.0,37.0,236.0
3,3,8,22,2,9,0,26,797,73278.0,3.0,71.0,3.0,31.0,0.0,0.0,36.0,266.0
4,4,31,2,8,6,0,19,718,109917.0,5.0,106.0,3.0,38.0,0.0,0.0,359.0,180.0
5,5,38,16,9,7,0,26,710,94214.0,4.0,91.0,3.0,27.0,0.0,0.0,44.0,142.0
5,7,49,16,12,6,0,13,724,109917.0,5.0,106.0,3.0,56.0,0.0,0.0,45.0,103.0
5,4,51,11,12,8,0,23,712,82438.0,4.0,80.0,3.0,31.0,0.0,0.0,65.0,178.0
1,7,36,3,9,8,0,14,921,82438.0,4.0,80.0,3.0,66.0,0.0,0.0,307.0,132.0
5,5,28,10,7,8,0,6,717,82438.0,4.0,80.0,3.0,120.0,0.0,0.0,72.0,143.0
5,2,47,16,11,6,0,15,692,109917.0,5.0,106.0,3.0,46.0,0.0,0.0,43.0,346.0
5,5,33,2,8,7,0,17,688,94214.0,4.0,91.0,3.0,40.0,0.0,0.0,344.0,138.0
1,1,34,12,8,7,0,56,907,94214.0,4.0,91.0,3.0,16.0,0.0,0.0,76.0,907.0
5,4,33,19,8,6,0,20,674,109917.0,5.0,106.0,3.0,34.0,0.0,0.0,35.0,168.0
