userName,review,title,rating,isEdited,date,developerResponse
Mindthefox,"So far, this app has proven to be reliable. I’ve started a new job and my second paycheck was still 5 days away when I realized that my bills would barely be out of reach. I saw an ad on tv for Dave and thought it might be a good fit for me. When asking for an advance, I saw that it could take up to 8 hours to transfer, which inclined me to do it sooner than later just in case I would find myself needing the money and not having the time to wait. Next, Dave told me I could pay it back on my next payday, but when choosing an option they only allowed me to select one of the next 2 days. Dave could tell from my transaction history that my next payday wouldn’t be for another 4 days and I had a hard time finding out what penalties I would accrue for being late. But, my phone battery was dying, and internet would be shut off if I hadn’t gone through with it, so I picked the latest possible day and moved on. Without knowing my outcome of this experience, I’d have to say that so far the app has been straightforward, honest, and very handy for personal bookkeeping. I would just like to know more about my payback options and how I can avoid making a bigger hole than I started with, or else I would give 5 stars.

**update**
I was not charged an extra penalty for taking a little longer to pay back my advance. This was my only concern, but now I feel like Dave has shaken my concerns and fulfills my expectations. Would recommend","*Updated* Great app, allowed time to pay!",5,FALSE,11/30/2019 0:07,
krzylkafox,"I found Dave via Facebook and read a lot of comments from people making fun of the service, making it sound like people who need it don’t manage their money very well. I was curious to see what it was about and why others feel the need to make fun of people who use it, so I downloaded the app (not expecting to use it, but to just see what it was). As circumstances presented themselves, being a single mom with zero help from the other parent, and trying to provide for my kids (I work full time and go to school full time so I can put myself in a better place, but until then things are pretty tight) - I found myself facing an overdrawn check fee (I wrote a check to register my daughter for school and had something else clear my checking account that wasn’t supposed to go through, which means I didn’t have enough funds for the check I wrote). I remembered I’d installed the Dave app a couple of weeks ago and within a few minutes, I was approved for a small loan and because I paid the extra $4.99 expedite fee, the money was deposited into my bank account within the hour. Dave only charges a $1.00 fee to loan you the money plus any tip you’re willing to donate, but is not required. When your paycheck is due to deposit, Dave takes the loan and fee back out of your bank account and that’s all there is to it! It’s very easy and painless and definitely worth the $1.00 fee to not have to pay an overdraft/insufficient funds fee to your bank.",Truly Awesome,5,FALSE,8/23/2018 17:53,"{'id': 5527605, 'body': ""Hi krzylkafox, we're so glad to hear about your experience! Happy to have helped you out of a tight spot. Thanks for the awesome review!"", 'modified': '2018-10-16T17:24:55Z'}"
Damon_Williams,"I am a natural skeptic when it comes to apps such as these, but just today I had a real-world experience that Dave helped me out with. The deets:
This morning, I had an out-patient procedure at a hospital in downtown Philly. I was supposed to take my wife’s ATM card and use that for parking. I’m my haste, not only do I forget her card, but I also left my main ATM card at home, leaving me only with my phone, Apple Watch, backup ATM card and 20 bucks. After my procedure I return to the lot to discover that parking was $26 - $6 more than I had on me. Wife works 40 minutes away and no way she could text me the money through iMessage, since the lot is not ApplePay-ready. Stranded, I was, staring at my car in this lot. Then it dawned on me that on a whim, I previously downloaded this Dave app. I was very skeptical about providing my bank info, but since that is the only way to realistically obtain an advance, I submitted my banking info, verified my identity and email address, and miraculously Dave fronted me 20 bucks, on the spot. I was able to immediately withdraw it and pay for parking and drive off the lot. Without this service, instead of writing this review I would still be downtown, trying to figure out how to get my car off the lot!!
I don’t foresee using this app much, but I wanted to share with you all a real-world example of this app being s lifesaver. I never knew I’d need it - until I needed it!","Real-world, real-time lifesaver!",5,FALSE,10/24/2018 16:06,"{'id': 5677727, 'body': ""We're so happy to hear that it helped you out of this parking jam! Thank you for taking the time to review, speedy recovery wishes from the team to you :)"", 'modified': '2018-10-26T19:53:42Z'}"
Katie ralphs dave appli.,"Hello! So my boyfriend was my resource for finding out about these apps out there that will help you with money until payday! He goes thru the app called “Earnin” which was the one I was initially going to go threw but because of all the info they needed and how long it would take I chose “The Dave” app! Now the thing that doesn’t make any sense and really makes me mad, is Earnin app borrows my boyfriend as much as he needs from his upcoming check! Which is  what I was expecting and needing from Dave app! This app only gives me $20 dollars! Honestly that is just an insult and not even helpful! What is 20 bucks going to do to help me out, especially in today’s world and with 4 kids that need to be fed and a vehicle that needs gas to allow me to get to work? It is not enough money to help a family or even a single person! You need to make it available to borrow what the customer wants and or needs! They are the ones who pay it back and it’s there decision and or problem what they chose to borrow from there next check! You guys take the money right out our accounts automatically so I don’t see the issue with not allowing your customers really get the help they need. That would also make you guys more money because we as customers would tip you way more better. Please explain why it’s only 20 dollars I can borrow for 5 days until I get paid :( ? 
Thanks much, Kaitlyn Ralph",Reviewing the Dave App!,5,FALSE,12/15/2019 10:58,
ayethecoinstho,"usually never do reviews but i HAD too for dave. i been using dave for a while and it has been helping me keep with gas and food until my next paycheck. i love the fact that it sends the money asap if you ask for it early enough. they start you off with a $75 limit which mines has just increased to $100 because i use it so much and have it auto drafted back out to pay. also as soon as you do pay it back you can request more
next day which is helpful especially if that money you had to pay back is something you may have needed for something else. so it literally helps keep money in your pocket if you have a job. these are all great things about dave but the reason i wrote this review is because of the way dave handles getting their money back. i just moved to another state and got some money from dave to help with that. i just found a job in the new state but i haven't been gettin paid yet so i am behind on my pack-back to dave. I JUST WANNA PRAISE DAVE ON NOT TRYING TO TAKE MONEY OUT OF MY ACCOUNT WHEN ITS NOT THERE. they check 1st which is so nice cause alot of us using the app are already not very financially stable or literate and we need all the money we can get and getting this overdraft or ach fees really hurt us more than you know. I hope you read this developers cause i just wanna say THANK YOU. THANK YOU. THANK YOU. and i start my job soon and im not in debit THANK YOU!!!",APP WORKS GREAT,5,FALSE,2/22/2021 17:42,
tazatezo,"Since they were able to validate my account they were able to give me the $75 loan without any tricks. They took it out as soon as my direct deposit came in so if I needed to get another advance the next morning I could do it around 3-5am before the day starts so you don’t have to go half the day waiting for it to give you the green light to put in for another advance! I have no issues navigating site. The only issue I have is after you agree and swipe ok to get the advance the next screen it goes to is the Dave Bear with hands up and a green bar at bottom saying thank you and if you don’t pay attention you will press the Thank You Bar thinking it’s just the final page like a second swipe to make sure you meant to agree to it, but it’s really an effort by them to get a tip out of you which I got caught on it and now I am into it for an additional 10 Dollars which I would never have agreed upon!! If the times are tough enough to need an advance I am not in position to be giving out a 10 tip on top of the $4,99 charge to put it in account right away for no charge you can wait I think 3-4 days for it to go into account so I am now paying 90 dollars for the 75 which I definitely will never ever give a tip again!!! Fool me once ok that’s on me but to me it’s kind of messed up to get people while they are down with no way to reverse it!",Review,5,FALSE,12/21/2020 2:35,"{'id': 19935982, 'body': ""Hey Friend! Thanks for your review. While tips are appreciated, they are always optional! You are able to edit tips anytime before being paid back. If you need help with those selected tips - please reach out to Dave's team at davecares@dave.com 🐻"", 'modified': '2020-12-22T16:39:02Z'}"
idkwhyme1995,"I’ve had Dave for months now, and I get paid every week EARLY! Not only is THAT a great incentive, but I expected this app to be like many others, (where they lie, basically) lol. But DAVE actually gives you $200 advances. (You can advance anywhere from $100-$200) You just hit the “advance” tab and select your advance amount. You have it deducted immediately when your next ACH direct deposit check that clears in your Dave Spending Account, or, you can pay it back early with another form of payment. 
NOTE: a potential advance DOES REQUIRE proof that you can pay Dave back. It’s not just free money. You have to build a rapport. You start out at $25 advances when you open the account, and then as you get ACH direct deposits, keep money in your account, and advance and pay him back regularly from YOUR money, you can then advance $100, $150, or $200. Once your advance is paid back, there’s a “cool off” period, which is a few days where you can’t advance, and then you can advance again after that. I LOVE THIS FEATURE. Sometimes I have to say, I spend my money frivolously, (not proud of it) and I need a little bit extra to get through the week. So it works out perfectly with timing with the “cool off” period, too! It allows me to budget better AND monitor my spending. 

Thank you to DAVE!!!! 🐻🧸🐻 THE BEST BEAR AROUND! ⭐️⭐️⭐️⭐️⭐️",Great app! $200 advances are 🔥 and consistent if you are too! 🐻💰,5,FALSE,4/10/2021 17:54,
LaughAtSuccess,"I loved this app when it first came out. When they added the banking option I joined the waitlist and decided to deposit a certain amount of my paycheck into Dave Banking.... FIRST; Never received the correct debit card. I was sent 5 cards and tried to activate all of them and kept getting an error. When I called Evolve Bank who handles everything I was transferred to another 3rd party company.... tried to use my acct over July 4th weekend and I wasn’t able to access any of my money. Called in and kept getting hung up on and no one will contact me by email or by phone... this is horror when you have pills and payments bouncing. I really regret trusting this app with my money.... wish i had real person to talk to instead of a rep who sounds like they just woke up and keeps hanging up

Update: I was able to get in contact with someone this morning through the chat app. It’s a know issue currently with not being able to process transactions through 3rd Larry such as Venmo, Cash App and etc. No current eta as of this afternoon and I had to reorder my card because the one I received was tied to a previously closed Dave Banking account.

2021 Update: Since my initial review I have not had any more issues. I’ve actually received a Dave card and it is fully operational and I still get my check a day early from then my other bank accounts",Banking Trash!,5,TRUE,1/23/2021 17:15,"{'id': 16446103, 'body': 'Hey there, \nOh no! So sorry to hear about that. 🙈 \nIf you still need assistance with this, please contact Dave at davecares@dave.com.\n', 'modified': '2020-07-07T01:25:54Z'}"
DoesThisNickNameEvenMatter,"So I really do enjoy this “app,” if that’s what it should be called, but I have a few opinions about it. Dave definitely helps organize finances by giving advances when needed. However, the terms of when you can take an advance, and how much you can ask for, are very unorganized. I have taken out advanced, and I have paid them all back, in full and on time, but there are stipulations that users aren’t made privy to until the “app” drops that bomb on them. For someone who is not over drafted in their own bank account, OR in the Dave app, and someone who makes their payments in full and on time, there shouldn’t be a limit on how much they can ask for, or when they can ask for it. If these limitations are there to make it easier for the user to handle their finances responsibly, there should be more leniency towards those that are in good financial standing with Dave. If I have “borrowed” money, multiple times, and paid it back in FULL, MULTIPLE times, EVERY time, the limitations should not occur. I understand the app is new, and the kinks are still being worked out, so me being as detailed as possible should benefit those working on making Dave the best it can be. Thank you for your time, and as I will continue to use Dave, I hope to see improvements that cater to users that are responsible with their usage. Place limits where they are needed, but offer opportunities to those who meet or exceed expectations.",Review?,4,FALSE,3/28/2020 17:29,
57544dave,Earlier I gave a bad review although I did get my money two days early what I’m trying to say is they mean two days early it doesn’t matter if it’s a holiday or not if you get paid on Sunday you’ll get paid on memorial day Christmas day it doesn’t matter to days early means two days early which is fine it’s still two days or any right guys but when I am saying is that when you call customer service to talk about your banking issues and they say they don’t have any access to detailed information they refer you to the live chat Avenue go to the live chat app and then a live chat app says we don’t have that information you’re gonna have to call customer service and you play a game of back-and-forth with no answers you could literally spend half your day with customer service and still not get thatI don’t know why this is but they need to really upgrade the customer service they just have these basic answers they give you and if you don’t believe me call them and I could repeat the answers are going to say it’s already pre-done I think they just look at the pages real quick off we’re gonna get that answer and that’s what they give it’s very sad although the app itself it’s pretty good I never had no money missing or anything like that I have been getting my advances paying it back although that part is good customer service will bring a perfect score down to just average or below average and that’s why you got this reading,Not bad,3,FALSE,5/30/2021 8:46,
@ethermart,"••THUMBS UP GREAT APP I HIGHLY RECOMMEND IT•• 

I have been using DAVE for over a year and I have never had the need to reach out to customer service for anything. I couldn't review DAVES customer service  or its accountability and resolve. But NEVER having the need reach contact customer service most assuredly speaks volumes. I have been satisfied and i have learned money is very quickly available and for such a reasonable fee for this of service. A buck a month to have this service loan me $75 in minutes, that’s a great deal. The fee for the advance is far less than others I’ve used when comparing overall satisfaction, reliability and value. I have not been able to join the DAVE banking option and I’ve tried repeatedly but i still approve DAVE FOR ADVANCES ALL THE WAY. Dave has gotten me through challenging times for example like when i had no food, needed my must have to live cardiac prescriptions, propane so i could cook, kept me in electricity, allowed me to get fuel for my car, i was able to avoid rescheduling appointments at the Cardiologist because of DAVE i had money for the co-pays, my electricity wasn’t disconnected and once DAVE let me just go out and have a little fun. I rely on DAVE and ive never been left worrying where that little bridge to get me to payday will come from. DAVE has ALWAYS had my back and never failed me.",DAVE IS GREAT & THE BEST OF 11 APPS IN THIS CLASS,5,FALSE,10/9/2020 6:14,
SpoofingEncryption,"Don’t get me wrong, this app is great! I’ve been using it for almost a couple weeks now and I love it, I downloaded it during work because my girlfriend recommended it because I got an unexpected overdraft fee and I was negative, so I had to dispute my charges from the snowball effect, but nonetheless I wanted it to help prevent and better manage my money, I’m 18 years old and I recently moved into my first apartment with bills to pay now with my girlfriend so the Dave app really helps both of us out, and this building credit feature-I can’t wait to try out, it sounds amazing! Build credit by paying rent, unbelievable. I had to pay a big deposit because of no rental history or credit. Dave is amazing, but recently, I’ve been experiencing minor technical difficulties. The app seems to be showing expenses that need to be payed before payday or I might “overdraft” but then I look below, and it appears there are no expenses to remove or edit; and it’s a pretty large sum to be notified about. I’ve tried a lot of troubleshooting, but nothing seems to help, and I don’t want to be notified of false alerts & notifications. Don’t know if there’s a way to fix this or not, but I still love the app. I just wish I could use it to its fullest potential-with the alert system & billing information.
-Isaac L.",Bugs in the app,5,FALSE,9/16/2019 5:12,
kcaftxga,"Initially I was skeptical to install and use an app requiring entry of my banking account info, but after reading dozens of mostly-positive reviews I decided to give it a try. Entering my bank account info and inputting my paycheck schedule was quick and easy, and not long after the verification was completed I requested and received a $75 cash advance. Over the course of a couple months I requested and received three $75 advances, each of which was paid from my checking account on the scheduled date. However, this week I attempted another advance but the app reflected it did not register my most recent paycheck, thereby limiting to $20 the amount I could advance. Upon trying to update the paycheck schedule (which has NOT changed, mind you), the app informed me it could not offer advances based on manual paycheck entry. This issue was something I read in many reviews, but I opted to continue with the installation and use of the app. Now, due to the frustrating glitch in the app’s ability to record my always-on-time paychecks and other, static monthly deposits, there really is no point in keeping the app on my phone. Currently I am evaluating the use of other, similar apps, as I see no need to maintain the Dave app because it no longer properly records my paycheck information. I’m glad I waited to write a review because it allowed me to experience both its pros and cons.","Great at First, But Eventually Experiences Issues",3,FALSE,10/3/2019 16:41,
topbossb,"Dave is usually great, I’ve been using this app for a long time now. And whenever I’m in a bind I can count on Dave to lend me up to $75 until my next paycheck. Well due to the recent changes with the virus spreading, I’ve been working remotely which is still providing a paycheck, though it is for much less hours. My usual main source of income is nonexistent right now, as I’m an artist and vendor who makes money at events. 

This month, money was tight. It is tight. I thought I could count on Dave to get my $75 advance, but I ended up overdrafting three dollars. So I was -3 dollars. Usually that’s not an issue when requesting an advance from Dave, but this time, it was. I was told the highest amount I was eligible for because my account was negative, due to coronavirus circumstances, was $20. So that’s where I’m at. I don’t have enough money to make it until next Thursday when I get my steady paycheck, and I’m struggling. If I had known that I wouldn’t be able to get an event at the moment I went negative on my account, I would’ve set an alert so that I couldn’t go negative and I would’ve requested the money sooner.

I’m super grateful Dave exists, but I had come to rely on it, and now I’m seeing that I can’t even rely on Dave.",Dave is usually great.. but right now I need the help the most and it’s not available to me.,5,FALSE,3/29/2020 17:50,
Bayliekristine,"I’ve had Dave for a long time and every time I’ve borrowed money I’ve always been perfect about paying it back. Even left them MULTIPLE good reviews! Due to my job now my paychecks are every other week. I changed it on the app, borrowed $75, mustve not paid attention to the payback day, and then the next day realized I messed it up and emailed the customer support team and told them I would not have money on Friday and that my paycheck would be the following Friday, they responded and said it can’t be extended but not to stress, Dave wouldn’t charge me late fees or anything, they would just take a partial pay or wait until the funds are available. I emailed again. Told them that a partial pay or anything is going to put me in negative because I do have money in my account but that it was just the money I was given for rent by my roomates, and that if it was taking out Friday I would not be able to pay rent because I haven’t gotten a paycheck yet. Again, they email me back and tell me not to stress about it. Dave won’t take the money if you can’t afford it. FRIDAY HITS AND IM NEGATIVE SIX DOLLARS IN MY BANK ACCOUNT. CANT GET IT BACK. CANT PAY RENT. DEFINITELY CANT AFFORD THE OVER DRAFT FEE. So happy I was told “don’t stress about it” just to be completely blind sided when my rent payment is declined!!! Crying because of Dave. 👌🏻😭😡🤬",So upset,5,FALSE,8/31/2018 21:33,"{'id': 4898168, 'body': ""We're so sorry to hear this and would like to take a look at your case specifically. \nSince we're unable to identify you via this review, please reach out to ashley@dave.com so that we can help."", 'modified': '2018-09-01T15:42:42Z'}"
Ian0135,"So my wife had seen Dave on fb and she and I knew this last week was going to be tight. I work full-time but with two young children we can’t always make it to my next paycheck. I’ve found myself sometimes asking friends and family for small loans (that I always pay back) but I hate doing it! I always feel ashamed and even though they always tell me it’s ok because I’ve never missed paying them back on time, I still find it kind of depressing to do. Enter the Dave app. I was skeptical at first. A $75 payday loan with NO INTEREST?? Sounds kinda fishy right? Well I researched this app, downloaded it, and within a few minutes I had $75 in my account! I did pay the extra fee in order to expedite the process but that was the ONLY FEE I paid and that was optional! Then when I was paid this past Friday they automatically took the money back and that was it! I can’t express how satisfying it is to not have to go to my friends or parents with my tail between my legs for a few bucks anymore! Thank you so much to the developers! All of this is made possible by paying $1 a month! This app is a dream come true for hard working people who find themselves in a tight spot from time to time!

P.S. I am real. I’m not some shill writing a positive review for a reward. Dave is 100% legit!",The best app ever!,5,FALSE,6/29/2019 2:24,
Donyell M.,"Get pay day advances instantly for only $5! No hassle, no joke or gimmick. Immediate online approval process and same day advances in most cases. Cash is electronically deposited to your account in just minutes. All you need is a current steady income. It’s so unbelievably quick and easy! Just download the app and follow the prompts to connect to your bank. If you have regular, recurring direct deposits from a viable source of income your bank and income are verified immediately. Only thing is you can’t get more than $75 each advance initially and the loan repayment is electronically debited on your next pay day no matter how soon that may be. The app also has a few bugs to work out. You may get error messages and have to repeat steps or start over a few times during the process of connecting to your bank and/or verifying your income. Depending on your financial institution and source of income, verification may not be immediate. It seems to take longer or be somewhat trickier to verify some banks and direct deposit pay. And it can take up to 8 hours for your advance to be deposited once it’s approved but all in all  it’s still THE BEST EXPERIENCE I’ve ever had getting a pay day or online loan. It’s generally guaranteed... in no longer than a few hours if not instantly. I would give it 5 stars if not for the bugs",Great banking app,4,FALSE,9/22/2020 18:47,
TipTopTaaffy,"I have used this app pretty much every two weeks for a little help with gas money. For the first 2-3 months I had no problem. Then I started receiving error messages stating that my pay check hadn’t come in, but when I would go to edit my income it displayed my last check from 5 days prior. I deleted the app and reinstalled, which solved the problem. Two weeks later I had the exact same issue, but deleting/reinstalling didn’t help. I wrote into customer service and they responded within 6 hours apologizing and stating the issue had been resolved. I was able to go in and borrow right away. That was two weeks ago. Im not really in a position where I need extra funds right now, but I wanted to see if the problem would persist. Sure enough, I’m getting a message stating my last check hasn’t come in yet, but then it displays my last check from June 8th and shows my next pay date is June 22nd. There has been no change to my income or pay schedule, so I really have no idea why there have been problems in the last few weeks. 

This used to be a 5 star app, but with consistent issues I’m rating it as a 2.

Update 11/30....issues were resolved and I’ve been able to use Dave a few more times to help out in a pinch.","Used to be great. Now, not so much...",5,TRUE,11/30/2018 9:29,"{'id': 4019062, 'body': ""Hey TipTopTaaffy! We sincerely apologize for the inconvenience and experience you went through with us. Shoot us an email at friends@dave.com and a representative will gladly help you out!! We're always here to help our users. We make sure to reach out back to our customers within 24hrs or less!"", 'modified': '2018-06-28T21:45:51Z'}"
emaleenoelle,"I don’t usually like leaving reviews but I felt that it was more than necessary for me to do a review of Dave. First of all, the setup process after I downloaded the app was SO fast and SO simple. They walked me through the setup very easily, and they even had some budgeted items already preset for me after they analyzed my bank account. That was a pretty cool feature. But the BEST PART OF ALL is that they let me borrow money from my upcoming paycheck on the SAME DAY that I downloaded the app. There was absolutely no waiting period or trial period before I was approved to borrow. I was honestly amazed by that. Most apps that offer payday type of loans will make you wait up to 30 days before you can borrow but not Dave! I had downloaded the app, set up my account, borrowed money, and had the money in my account all within less than 30 MINUTES!! That’s unheard of! And once I confirmed the amount I wanted to borrow, the money was literally in my account instantaneously. Literally. So if you’re on the fence about this app, just go ahead and take the leap and download Dave. You won’t regret it. ALSO- no fees. They do NOT make you tip them if you don’t want to. 

Side note- I am a completely real reviewer. I was not paid or compensated for this review. This is my honest opinion. No BS. Happy borrowing!","Awesome, awesome, awesome!",5,FALSE,10/23/2018 18:45,"{'id': 5649971, 'body': 'Hey there, thank you so much for the review! Glad you enjoy the app. Have an awesome day!', 'modified': '2018-10-24T19:43:39Z'}"
adriancid95,"Let’s start by saying the when I first started using this app it was working fine, now I have been trying to use it for a while now and it was stuck on the screen that said a verification for the bank account was needed and it should take two days, I’m wondering how you guys count your days because it was displaying the same message for over a month, I tried to do the process again and after I linked my bank account for the second time it took me to a screen that requires me to verify all my information again including bank account and routing numbers, once y put my information says my bank account number it’s not correct and I know what you are going to say you probably did it wrong try again, well surprise it was done multiple times and by different people now one out of two everyone it’s making the same mistake or your app has bugs, I think it’s safe to say the second option seems like the right one, I know you will give an answer saying you are really sorry and that you will look into it, save the time and use it to improve the app and please add a phone number to contact your customer service if you don’t have a card other wise it won’t let you do anything because all the options that you have online are useless or at least don’t solve my problem specially since my screen it’s stuck on the part asking for my bank information after I linked it electronically. By the way I uninstalled the application. So keep it up.",Going backwards,1,FALSE,10/5/2020 17:50,"{'id': 18312915, 'body': ""Hey Friend. Thanks for the honest feedback. We appreciate it as it helps us make the app better for all of our members. It sounds like your running into a micro deposit verification issue. This can take up to 3 business days to verify, and anything past that won't be verified.\n\nLet's get you back into your account and help make it right.\nPlease reach out to Dave's team at davecares@dave.com and mention App Review in the title of your email so we can identify you and we can help you out with this right away."", 'modified': '2020-10-06T23:27:50Z'}"
angel_1992,"To be honest, I heard of them through Facebook and I always skipped the video ad. One day, I needed money for transit and I didn’t have enough in my account. I called a couple friends and no one had it so I was stuck at the airport trying to figure out a way home. My friend told me to download this app. I didn’t think much about it before because I use Earnin App. But I had just gotten off 2 weeks vacation so Earnin wouldn’t let me borrow until my next paycheck. With no other options,  I download this app. It was very user friendly and didn’t take up too much time to set up. I didn’t have to wait 1-3 business days or anything. I literally signed up put my information in, told them when I’d pay it back, and within a few minutes (depending on ur bank it takes longer, but USAA Bank is instant) the money transferred and I got home safely. The tips you leave give a percentage to charity which is really great. Also Earnin app only lets u use true bank u get paid from and has a whole verification process which is annoying but understandable I guess. But this app lets u pick which bank u need the money to transfer to and I like this option much better. I don’t normally leave reviews but this deserved one for sure.",Quick & User Friendly,5,FALSE,7/9/2019 0:36,
JacksNeu82,"When I heard about the Dave app I though yeah right a app that will lend you money if you are in a jam with 0% interest??? To good to be true, so I downloaded it and looked at the app, read everything I could read on the app. And IT WAS TRUE! The only thing you pay back is what you borrowed and a small tip which you can pick the amount if you wanted to tip .75 cents instead of the suggest amount you could, and all for $1.00 a month that’s it.
    But than I was never able to borrow money for some reason every time I would try it would give some message. So finally one day I was going to delete the app, when I was asked why I told them and they said give them some time to look at it and I got 2 months free. Next I know I received a email saying I was able to borrow from Dave. So the customer service is pretty good as far as I could tell.
     The only thing I don’t like about the app is once you borrow and they take it from your pay, you have to wait 11 days from your next pay to borrow again. Sometimes the money may be needed before that. 
      All in all the app is pretty good I would definitely recommend it to anyone who is in a jam, needs help with there bank account. The Dave app has definitely saved me from accidentally over-drafting a few times. I’m glad I downloaded the app.",Dave is helpfull,4,FALSE,3/16/2019 9:43,
