developerResponse,userName,isEdited,date,rating,review,title
"{'id': 15243830, 'body': 'Wow, Carrrmencita. Thanks for leaving us such a thoughtful review, we love hearing how we are able to help the community. It really helps us to keep going and delivering the best\r or our Community Members. We really appreciate your business. Please let us know what we can do for you in the future. :)', 'modified': '2020-05-11T14:21:25Z'}",Carrrmencita,FALSE,5/9/2020 16:53,5,"This is too good to be true you might wonder, like I did, so when they asked for my bank information and were verifying it by adding a dollar then subtracting it I thought I just fooled myself. I waited it out because I had no other choice, and thank goodness I did. Because this app literally fed me when I was going through serious hardship and they helped me pay off my overdue credit card on time by just allowing me to get the money already earned at work. Even through this Pandemic, they’re still operating and doing the best they can. This was my only issue: my bank is a credit union, so direct deposit hit a day early but always in the afternoon, so Earnin deducted the money I borrowed that morning as they should, making my account negative and incurring overdraft fees.  I thought this was part of the “catch”.  I contacted their support team late at night (I think around 11 or 12) because I commute 2 hours and a half to and from work (each way. Yeah, I was really going through it that year)  and told them Earnin pulled too early in the day. They asked me to screenshot the overdraft fees for a refund, which happened right then and there and allowed me to quickly get groceries before the train came.

All in all, if you’re really going through financial hardship, please trust on me that this is the perfect app. I’m writing This because I’m having one of those “I’m grateful for this “ moments. Thanks for taking the time to read :)",This app literally saved me
"{'id': 9388918, 'body': ""Thank you so much for this excellent review, DrewNstuff! We're here to stick with our promise. Say goodbye to mandatory fees! We really appreciate everything you've done to support us. Wishing you all the best! :)"", 'modified': '2019-06-27T19:21:02Z'}",DrewNstuff,FALSE,6/21/2019 16:51,5,"I’ve been using Earnin for a couple months now and I have to say at first I was skeptical, I mean an app that’s supposed to link to your account?? I was really strapped for cash and my credit limit was maxed out when my car broke down, thankfully I was able to stumble across this app. It took 10-24 hours for them to verify and link the app to my bank account but as soon as I did I was able to cash out $100 within minutes it went straight to my account. If you are on the fence of opening another credit card try this app first. As of now there is no MANDATORY fee but optional tips that keep the app afloat and as with credit the better you tip and pay back your cash outs the better your cash outs can be. This pay period I got a boost to be able to front $200 from my next paycheck as opposed to the initial $100. One problem I’m seeing a lot of people have with this app is that it is like a credit card account in the fact that your payment takes up to two days to process so if you don’t have the money in the account it can definitely leave you overdrawn because it comes out of your account the day of or the day after your paycheck automatically. I have and will continue to recommend this app so long as privacy and fee policies don’t change too drastically in the future. Thanks Earnin for helping take the edge off life’s ever sharp blade! ✊🏼👍🏼💸💰","Like a credit card,without the credit check!!!"
"{'id': 6629871, 'body': ""We're sorry for the troubles you've experienced, Kimverlee. After checking your account, we see that it's fully active now and you were able to cash out successfully. If you encounter any issues with the app again, please let us know. You can reach us by emailing reviews@earnin.com. Thank you!"", 'modified': '2019-01-02T03:41:47Z'}",Kimverlee,FALSE,12/30/2018 3:09,5,"I was using this app every once in awhile for a few months without any problems. It was great! Starting a few weeks ago, I began getting an error message at log in saying I needed to reconnect my bank. I tried several times with no success. I kept getting a message that would say it’s taking longer than usual so try back. I’d wait a few days and try again but the same errors were given to me. I’d even tried to uninstall and reinstall the app twice. Yesterday I emailed a help ticket. Today I received an email saying my ticket was closed because chat was now available so use chat. Well I went to chat in and kept getting hold  messages saying there were over 100 people waiting every single time I tried. Finally I had a break in my day and was able to just sit and wait for 30 minutes. The Earnin agent told me my bank was blocking the apps access and I needed to clear some kind of pop up message from my banks site using my laptop not my phone. I went to my banks site and there wasn’t a message or alert or pop up. I called my bank and they said they aren’t blocking any third party access. The agent I spoke to told me he actually used the Earnin app last week from his account with the bank. I believe my bank because I also have the Dave app and that app isn’t having any issues at all with connecting to my bank. I just don’t understand what has happened. Can’t seem to get any answers.",What happened????
"{'id': 14734646, 'body': ""Thanks for leaving us such a thoughtful review. We love hearing how we are able to help the community. If you'd like to share your story about how the app has helped you, our brand team would love to hear it! You can send your story to stories@earnin.com so they can chat with you. Much appreciated! ❤️"", 'modified': '2020-04-17T14:17:15Z'}",ST3R01D5,FALSE,4/9/2020 14:12,5,"If you’re like many of us that live paycheck to paycheck, you dread that overdraft fee. As long as you have proof of employment AND proof of online banking, Earnin allows you to borrow funds (up to $500, with a maximum withdrawal rate of $100 per day) against your next paycheck. Set your bi-weekly pay period in the app and Earnin will automatically debit the amount previously borrowed once it sees a direct deposit made from your employer. Note that it does take a couple of days for Earnin to authorize your bank account info so if you download this app today, there’s a good chance that you won’t be allowed to borrow any money for a few business days. It’s a tip based app so there’s no subscription fee each month. You tip what you believe is fair. I personally tip $1 for every $100 I borrow. And on average I borrow up to $400 each pay period. Earnin allows users to submit screenshots of their time cards as well as set up your employers location. Tracking your phones location is another way for Earnin to update your earned money for that day in case you forget to post your time card often. At first, users will only be allowed to borrow $100 - $200 as a pay period maximum but as you continue to use the app, that amount can and will increase that limit up to $500. I have not yet found a better app that allows me to borrow up to $500 with absolutely no credit check! Get this app today! 5 stars!",BEST SUBSCRIPTION FREE MONEY LENDER APP!
"{'id': 19302071, 'body': ""We love hearing ways we're able to help and we appreciate your time to write us such a great review! Our brand team would love to hear about the ways Earnin has helped you! Please send them an email at stories@earnin.com so they can chat with you. Thanks for making our job wonderful! :)"", 'modified': '2020-11-23T20:14:32Z'}",ALL-PRO-REVIEWER,FALSE,10/4/2020 21:45,5,"When I first read about this app I actually had to re-read the whole thing twice! Why... it really sounded too good to be true... I man who does this ?     They really do “give” you a pay day advance fo FREE! What’s the catch? THERE IS NO CATCH! I’ve borrowed 100$ a day for four days in a row... yes, $400 bucks.   I’m in sales so some weeks it’s feast or famine- if that’s you too - the this app is for you.   I’ve saved soooo much money in NSF fees - the fee was 35$ and sometimes I incurred it just to buy groceries for me and the kids, knowing my next check was being deposited in a day or so. Since downloading this app - I’ve never had one since - you saved me hundreds.
  
We’ve all been there .... this app is really is a life saver.    I am so pleased to know there are kind souls out there who have designed this app so we can all benefit from it if needed - When I read how som people gave this app a single star - I just don’t understand how or why as it literally costs you nothing and you can tip if you want to or not if you don’t.    There’s no reason for anyone to give y’all lass than 5 stars:    I’ve only given three app reviews in the last 10 yrs so it means so much to me to have this app protecting me and my children.    THANK YOU AND YOUR DEVELOPMENT TEAM - I’ve told everyone I know about how great this app is! 
We all need help - the level is different. G-d Bless you all!!!!! ************** A+",TEN STAR APP - WE ALL NEED THIS APP!
"{'id': 10321361, 'body': ""Wow,  we're at a loss for words. We're incredibly grateful we could help, and that you took the time to write us such a kind review. We're so happy to have you as part of our community. We wish you and your husband all the best! :)"", 'modified': '2019-08-23T14:25:23Z'}",trip_a,FALSE,8/21/2019 13:18,5,Me and my husband are a young couple in our 20s he works at Fred Meyer‘s for minimum-wage we get paid every Thursday I have to met I was Little bit on the skeptical side and wondering how much this would truly cost but I literally just set it up in about 12 minutes with the help of customer service chat which was extremely helpful and after 12 minutes of setting it up I borrowed $50 for my nail appointment so I don’t have to cancel it before me and my husband go visit his family it was in my bank in less than a minute and they honest to God let you choose the fee yourself they give you an option from no tip to upwards so you’re super tight you can Little but the tips of what keeps the community going in makes this possible are used to take cash advances from the bank on almost 2 dollars to the dollar this is an answer to prayers for people that have to have a few extra dollars for us he gets paid tomorrow we leave this weekend the only nail appointment I could get was for today on a Wednesday 24 hours before his payday this app was a lifesaver and the people who made it absolutely are putting people first so whatever you do never use the cash advance service again download this app and use it instead do yourself a A favor stop letting cash advance companies and banks rip you off switch to this app and you’ll not regret it very happy customer from Brookings Oregon,Very impressed
"{'id': 9151257, 'body': ""Wow,  we're at a loss for words. We're incredibly grateful we could help, and that you took the time to write us such a kind review. Hearing about your experience warms our hearts, and we wish you the absolute best. ❤️ We're so happy to have you as part of our community."", 'modified': '2019-06-13T13:32:56Z'}",Deblue36,FALSE,6/12/2019 20:34,5,"Okay. Let me start off by saying THANK YOU to the app developers, the ones who run Earnin and everyone involved in this process!! 
When I first downloaded Earnin, I was VERY skeptical to put in my banking information. I went on and took a chance when I got into a bind and I am so thankful I did! The app works by seeing your location and how many hours you are at your work address. I thought well, I can’t do that, I work in a different location EVERY day. It does connect to Tsheets and Brink, both of which my company does not use. They provide the option to upload timesheets! Once I screenshot my timesheet and upload it, my earnings are updated within 10 minutes! (I really appreciate YOU, the person who verifies these too!) I only use this in an emergency situation and it keeps people out of debt with check cashing companies which can really financially hurt anyone with the never ending cycle they get you into. Speaking of finance charges, YOU get to choose how much you want to ‘tip’. I ALWAYS tip, even if I’m running low. This service is ALWAYS here when I need it, they need to be paid for the time, efforts, and just for the simple fact they provided me with a service. Sometimes I do tip more because I know there are the people who take advantage of it and don’t tip anything. PLEASE TIP!! Keep this service going and at a low cost for EVERYONE!!! 
Thanks for an awesome job Earnin and helping us when needed!! ❤️",Awesome!
"{'id': 4810232, 'body': ""We're glad to hear your issue has been fixed, thank you for letting us know. Feel free to reach out if you have any questions, or need help. Thank you so much for updating your rating."", 'modified': '2018-08-26T16:40:36Z'}",tehBearClaw,FALSE,8/26/2018 1:07,5,"I have been trying to no avail to set up this app. For nearly 3 weeks they claimed they were unable to verify my bank account. Everything else had been able to verify. Then suddenly things changed and while my bank was verified, they were unable to verify my payday? What changed in that timeframe? They ask me to send screenshots and then claim that the account info doesn’t match what they have on their records...the same info that I typed in 3 weeks ago, for a bank account I’ve had for nearly 5 years. I then send more screenshots with carefully worded responses because there is clearly not a blanket solution to my issue. I the receive form responses or no response at all. I’ve worked in customer service and currently work in sales, if handled my accounts with such a laissez-faire attitude I wouldn’t have a job. Would love to use the app but it’s been nothing but an enormous headache thus far.

UPDATE: about a week after my initial review, my problems were resolved. I have been using the app problem free for a couple months now and can say it is truly as good as it sounds. They give you the money, and it gets deducted when you get paid. I have a partial commission payscale, so being able to pad a light paycheck with money from my large check is godsend when the weeks don’t line up well for things like rent and student loans. I’m updating this to a 5 Star review.",Running in circles
"{'id': 12493103, 'body': 'Maxes have many factors considered when increasing or decreasing. Some of which include: your bank balance, your spending habits, if your employer works directly with us, and if you overdraft. For more info, please check out this article from our Help Center: https://bit.ly/2qEZL0M. Thank you for your understanding.', 'modified': '2019-12-19T16:47:07Z'}",derajack007,FALSE,12/18/2019 20:10,3,"I first got the app and could only borrow 150 for quite a while, at least 6 months. Then all of the sudden my limit started going up and with in about a months or two my limit went all the way up to 500. The whole time from when I started I always followed their suggestions for how to increase your limit. I tipped the same amount every time I borrowed and my bank account never had anything over drawn or bounced checks. Then a few months later my limit starting going down by 50 each perriod and is back down at 250 despite me working more hours, getting a raise, a bonus, still following the suggested guidelines, and generally just earning more money. It seems that there is more that they take into consideration when setting limits that they don’t tell you. The service is nice when you need it but with so many other services offering the same thing, I might try one of the others to see if they are more transparent about what drives the decisions to set the limits. It seemed odd that I am now more financially healthy than I ever was in the past and my limit keeps getting cut. On the other hand I am more financially healthy so I actually do not need services like this one so much. So I guess the limit decreases don’t effect me if I don’t use the service. Don’t get into the habit of having to max out this service every pay perriod though because you could get screwed when they randomly decide to start cutting your limit.",App works ok but borrowing limits keep going up and down
"{'id': 13103660, 'body': ""Thanks so much for taking the time to write us such a great review! We're happy to know we could help. We really appreciate your business. We'll share this with the team to create an internal discussion on this topic. :)"", 'modified': '2020-01-24T16:14:20Z'}",Lewing44,FALSE,1/23/2020 15:05,5,"I’m a single mom. Life gets expensive. I work hard as a critical care nurse. People think nurses are rich. We are not. So often I live paycheck to paycheck. I would over draw & get in a bind & not know what to do. Or the gas bill would be due & I’d come home in winter to no gas. This app has helped keep me a float. I haven’t over drawn my acct since using this app. Giving a tip to this company is so beyond worth it & cheaper then over draft feels. If I can’t spare but $3 they accept it with a kind thank you. If I can give more I do. As long as you remember what you cashed out, you will be fine come payday. I get paid & they take out what I already withdrew through the app. I can see how this could get some people in a bind. What helps is they adjust what you can withdraw based on how you use the app & how you repay it. Only take what you need & remember it will deduct. I have truly been blessed & grateful to have found this app. It’s been a life saver & changer for single moms & or life those that life just seems to always happen to. Thank you for creating this and I hope it never goes away. I tell everyone about this. Great job.  

An idea to the creators. Maybe send a reminder text the day before payday to remind people what’s being deducted. Or at least have the feature option where if people want reminders th they can set how often to get them.",This saves me time & time again
