review,userName,date,developerResponse,title,isEdited,rating
"There are times when my main accounts get SO low (we’re in the middle of a pandemic) that and extra $20 offered by FM would make all the difference in the world. It could feed us and allow us a couple of dollars of gas. In my circumstance,only reason for accessing apps such as float Me is to get that receive and that $20 last a couple of days until my scheduled payday. With the restrictions shown on the app with regard to bank balances, that check to see if you have money in your account or not, will automatically deny your request for a $20 float. The irony is that if I HAD money in my bank account, the necessity to use Float Me wouldn’t exist. As a frequent user, Float Me needs to update their rules in order to help those of us who do not currently have money in their account for a couple of days until payday. We are struggling out here and that $20 could and does keep us from struggling or literally being hungry. My opinion? A bank balance containing cash makes using Float Me rather redundant. This rule should be rethought. This app is useless if a zero balance is the determining factor Thanks for taking the time to read my opinion.",DaphneThrasher,5/21/2021 12:16,"{'id': 23030326, 'body': ""Hi Daphne, thank you so much for your valuable feedback! We've lowered the required bank balance to -$20 to request a Float. If you have any more feedback or concerns, we'd love to hear it at floatme.zendesk.com; we're always looking for ways to improve :)"", 'modified': '2021-05-26T19:38:51Z'}",Not there when you need it most,FALSE,5
"I had closed my account because I couldn’t get a hold of anyone because I had switched to a new bank account. I was receiving money into my new account from Float Me but about a week ago I was told there were no deposits from my payroll found in my account. By this time I was already on two deposits into the new account and the Friday in the same week would have been my third deposit. I didn’t understand why I could receive floats in my new account but when I tried to take another out they couldn’t find new deposits from my payroll there was already two deposits from them. That same week would have been three reoccurring deposits. For the record, $1.99 was taken out of my bank account for Float Me Services’s can my account be unblocked? I paid already and cannot use the service.",burse88,9/30/2020 20:14,"{'id': 18242542, 'body': 'Hi Burse88, thank you for reaching out. We unfortunately are having a hard time identifying who you are. Could you please submit a support ticket to us with ""burse88"" as the subject line? A member of our team will be happy to look into this for you. Tickets can be submitted at floatme.zendesk.com\n\nThank you for being part of our community!', 'modified': '2020-10-03T03:09:22Z'}",Account,FALSE,5
"It’s very rare I review any apps, but the customer service on this app is an absolute joke. To be honest I don’t know that they have a customer service team who actually reads what is sent. 17 days, and now today sent my 8th message, none have received any response at all. I’ve been locked out of my account for 3 weeks now. I don’t receive any password reset emails. I keep asking for my account to be canceled since I can access the very basic desktop app. Again, so responses. I try to fill out the cancellation form, it says I don’t have an account. Which is untrue since I’m literally logged into the desktop version, and still being charged the monthly fee. So now, 8 unanswered requests later, I get charged the monthly membership fee! Yes, 17 days, no responses at all. I’ve left them my email, a backup email, and phone number. NOTHING. I need this account cancelled, and if they were legit, I should get my membership fee back. I can screenshot all my messages to prove what I say is true. Worst part is, today’s charge resulted in a banking overdraft fee for me. Turning a $1.99 membership into a $36 fee. I’m beyond upset with this app. STAY AWAY, 1/10. I would not recommend to anyone who values their money, and common courtesy.",Tay in Everett,8/31/2020 19:57,"{'id': 17681219, 'body': 'Hi Tay, thank you for sharing your thoughts. I see that a member of our customer support team already replied to your tickets earlier in the week- please let us know if you are still experiencing any issues.', 'modified': '2020-09-04T01:14:46Z'}",TERRIBLE customer service,FALSE,1
"Float based on what is deposited into your linked bank account each week. Which is fair as far as I am concerned. The app is a glitchy when applying for float. Example: I applied for my float then entered my debit card for float which is the same as the linked bank account and doesn't change (because you can only get floats to the same debit card EVERY float) they just want you to re-enter the card number. Because I had my debit card account locked it, I had to wait 48 hours before I could re-enter my card number to get my float. They have it set up so you can only enter your card once if for some reason you accidentally mess up while entering your up the creek for 2 days. So just be aware of the little glitches they have set up within there system. Other than that, I have had nothing but a positive experience. I have been using them for 2 weeks so I'll. Sure to update through review if I run into any other glitches. Good luck guys!",lindsay_says,5/13/2021 16:28,"{'id': 22858039, 'body': ""Hi Lindsay, thank you for your feedback. We're glad you're having a positive experience. If you have any technical problems with the app, please reach out to floatme.zendesk.com; we'd be happy to help! "", 'modified': '2021-05-17T18:08:17Z'}","""Float""=loan",FALSE,4
"Never have any issues, app is easy to use, the $ usually comes to my account pretty quickly, & just all around a good app. I do wish they would let you borrow more $ instead of going by what’s in your account after you get paid... for example- every 2 weeks my husband gets paid & we end up taking all of our $ off of our card so it looks like we have little to no money & that’s what they go by as far as how much they let us “borrow”. The max we are allowed is $20, wish I would be more when we need it. But all in all, love this app, aside from the issue above.. which really isn’t an issue, more so just my opinion from my personal experience lol.",plicioussss,1/23/2021 18:26,"{'id': 20640384, 'body': ""Hi plicioussss, thank you so much for your valuable feedback! We're so glad you like our app! Most members start at $20-$30 since the average overdraft is caused by a $15 - $25 transaction but increases as we get to know you better and learn your financial habits :)"", 'modified': '2021-01-25T19:42:34Z'}",Good app,FALSE,5
"This app not only requires you pay them back extra when you borrow money, they also charge you $1.99/mo to have an account which they make no mention of when you set up an account and you'll only find this out when you see it deducted from your bank account each month. Not only that, but also, I asked them to close my account so I would no longer be charged each month. They did close my account, however, they still just took out another $1.99 from my account. To make it even more ridiculous and frustrating, you can only contact their support team by logging into your account, but of course, I don't have an account anymore because they closed it yet still think it's ok to continue to charge me. It's incredibly shady and just a terrible app and experience in general. I'm gonna have to call my bank and tell them to put a block on them since I can't contact them at all. Bottom line, there are better options out there. Stay away from this garbage app",/-KillFace-\,6/30/2020 1:19,"{'id': 16818734, 'body': 'Hi /-KillFace-\\,\n\nThank you for sharing your thoughts. We offer Normal Floats and access to the Stash Account included in the $1.99 membership. You are correct that Floats have to be paid back- we are not giving away money (if you know anywhere that does please let us know!). However, Normal Floats do not have any additional charges (though we have a small fee if you request an Instant Float that we disclose when requested).\n\nRegarding our membership, we mention this in the app store description, on our website, and in the app. We apologize that you were unaware of this- we also provide a free 30-day trial period.\n\nTo contact support you do not need to log into the app- you may always do so by emailing us directly at support@floatme.io or by visiting our online help portal available through our website at www.floatme.io (we have a support request form there).', 'modified': '2020-07-22T23:57:19Z'}",Shady app,FALSE,1
"After not being able to use the app I canceled my account after a week or so they took out $ from my account causing my account to be negative and was charged a $30 fee this was almost two weeks ago have gotten 1 response stating since I had closed my account they would refund the money that was pulled from my account. I have yet to receive my money back and now I’m also out of $30. Beware they will continue pulling money out of your account even when you cancel it... highly disappointed

Update: and a response I have never taken out a float never really used the app. So I should have never had money be taken out once an account is closed they shouldn’t have access to your bank account and some how this app still does and they continue to take money out until you take action. I get $5 taken out of my account every 2 weeks seeing as i am currently out of a job I can’t pay the bank fees to cancel any future payments to this app.",Lilmex14,8/20/2020 2:13,"{'id': 17384475, 'body': ""Hi LilMex14,\n\nWe unfortunately aren't sure who you are. Please contact us at support@floatme.io and we'll be happy to look into this for you.\n\nYou are correct, once an account is closed we do not charge any further membership fees. However, if there was still a balance due it will still be collected or if a transfer had been initiated for Stash that could also have taken place.\n\nPlease also check to make sure that you do not have multiple accounts open with FloatMe- that also what we sometimes see that causes this. The $30 overdraft fee is assessed by your bank- they are who you would need to contact."", 'modified': '2020-08-19T18:51:53Z'}",Beware,TRUE,1
"Most of these other apps aren’t legit nor do they actually follow through with their loans or have a reward system. I am not a five star guy but I’ll give credit we’re credit is due ,this app is amazing for the most part you get a little security cash in case you need gas or a quick bite until the next day of payday. Only corrals I have are that they start you off real small where other apps will start you you at $200 plus and no need to do direct deposit through the app checking account which this app doesn’t request I believe. Other than that I like it and how you work towards earning more to get a higher advance if needed. Just wish it didn’t start so low. So with all that being said I give this app four stars.",NeslyLeon,12/19/2020 5:48,"{'id': 19886682, 'body': ""Thanks NeslyLeon, we appreciate your detailed review! We understand that there are other platforms that offer larger amounts- we intentionally do not for a few reasons. We actually tried doing to up to $200 back in 2018 when we were testing; we found that most of our members actually only needed $15- $25 to prevent an overdraft- not hundreds of dollars. By offering smaller amounts, we're able to do three key things: 1) Help our members avoid overborrowing. Pew Charitable Trust, the Federal Reserve, and our own research has shown that most platforms encourage their members to overborrow, causing them to become trapped in a debt cycle. We don't believe in doing that and focus on making sure our members can afford to repay their Floats without disrupting their lives. 2) It lets us keep our costs low. We are able to afford to offer free standard floats and have a very low monthly membership fee because there is a LOT less risk when you only float $20 - $30 to a new member vs. $200; a certain number of people unfortunately take advantage and try not to pay us back- the smaller amount helps us avoid having our responsible members be harmed by this. 3) We're able to help more people. If we have $1000 to offer floats, we can only help 5 people if we offer $200 floats. By offering a starting amount of $20 we can help 50 of our members; this is extra important during these very challenging times.\n\nI hope that this helps answer your question and that one day you'll see us as an affordable and thoughtful 5-star service as we continue to release new features and tools for all our members :)"", 'modified': '2020-12-21T03:03:04Z'}",It’s legit it’s not a scam or no hidden nothing,FALSE,4
"This app may not be as well built as other other giant companies’ apps like MoneyLion or Possible Finance, ... but they do deliver the exact same GREAT service at the end of the day. Pretty smooth UX and the algorithm to find your income actually works, so you don’t have to put in your income manually. I can go on and on about the features but I think this one’s a wrap on the basis that this simple app which is supposed to do this ONE thing, not only does it painlessly, but goes way beyond that. Thank you FloatMe!!!! 🙏🏻♥️",ArsalanJan,11/6/2020 2:19,"{'id': 18975390, 'body': 'Thank you Arsalan! We appreciate the review and look forward to releasing new tools and features for our members. We wanted to start by doing ONE thing well branching out from there :)', 'modified': '2020-11-09T04:51:47Z'}",An EXCELLENT App all around.,FALSE,5
"Don’t use! Seems I have to keep writing a bad review because they will delete any other bad ones. Had this app for a few months and been subscribing to this garbage for $2. The app only allows you to float $20 unless you increase your “points” by subscribing and buying more. Haven’t been able to use it because even if your facing a overdraft charge it will not even help you out. My bank charges me $35 if I overdraw. So if I have $25 in my account, and I make a purchase for $30. I can’t even go into this app to float me the $15 because my account is already negative in their eyes. Will not assist you in any way. Highly suggest you try out the Dave app instead, it at least helps and floats you up to $100 and even instantly to avoid overdraft. Waste of money this Float me app was, wish I could get my money back for something I couldn’t even use.",tanyamarie88,5/21/2021 7:29,"{'id': 22750812, 'body': 'Hi there, Most members start at $20-$30 since the average overdraft is caused by a $15 - $25 transaction but increases as we get to know you better and learn your financial habits. The system increases Floats based on a variety of factors, including the number of Floats taken out and on-time repayment history. Please feel free to reach out to support for more information on this specific case.', 'modified': '2021-05-11T17:11:09Z'}",Worst early withdrawal app out there,TRUE,1
