title,date,rating,isEdited,review,userName,developerResponse
Waste of time,2018-12-11 14:41:00,5,False,"I received  numerous emails and text on how I was approved for the $500. I entered in banking info and had to manually send in bank statement since it had to be verified. I was then told by representative , an email and text my bank passed the screening process and to continue with the next steps online, after re-verifying my banking  info as asked it stated my account/rousting number didn’t match. I called back after waiting on hold for 25 minutes and was told they support team updated it in the system and to retry. I did it again and now received error message my bank isn’t supported! I called back and was told my bank was verified and passed the process on their end but wasn’t sure why I was receiving error online. In the meantime I’m still receiving text and emails telling me I can proceed to get the money....long story short no one can assist with why or how the online system is blocking my banking info saying it’s not supported I was even told to try and use the MoneyLion checking account to have funds deposited by a representative and transferred to that department and after being on hold 30 minutes this time I was told the MoneyLion checking account hadn’t been open long enough! Complete run around for the past 2 weeks and to this day I’m still receiving offers to apply and that my bank passed the screening process. Frustrating to do all of this for no resolution !!!!!",alesha0629,"{'id': 6811126, 'body': 'Hello Alesha! \n\nWe appreciate you taking to time to let us know your feedback. If any questions arise or assistance is needed, feel free to contact us at 1-888-704-6970, Or email us at support@moneylion.com', 'modified': '2019-01-13T15:31:37Z'}"
Super excited thus far...,2018-01-13 15:04:34,5,False,"I downloaded the app and although there are issues like DL not scanning and the #growyourstack option doesn’t pan a flat surface, I was able to get everything else going. I was super skeptical, ESPECIALLY after reading all the reviews about high interests, unexpected “surprises”, and scams but if you, as a consumer, do you part and actually read a document, you will see exactly what are signing up for. I was approved for the loan at the 5.99%; they don’t even check your credit for it and their requirements for approval are clearly stipulated. I opened up the contract to make sure and I was happy to see that I was set up for payments according to my pay period and at a 5.99% APR. Had I seen something different, I wouldn’t have accepted the loan. I would recommend that you open docs and read them before agreeing to anything. I am looking forward to having the issues worked out so I can take 100% advantage of all MoneyLion’s functionality. Financial stability is very important to me. It is clear to me that MoneyLion knows that there is an enormous gap between basic financial knowledge and healthy finances and they are invested in bridging that gap to help those of us that haven’t made the best “financial” decisions. I will come back and update my review as time passes. I’m hoping to bump it to 5 stars and 2 big thumbs up!!",Nadezhada,
Great investment,2018-07-24 16:34:52,5,False,"So I’ve been a member for a full 30 days now. I was very skeptical at first, I wanted to cancel after my first payment because I read some negative reviews. But, thinking about the situation a little longer I realized all the negative reviews have one thing in common, and that’s because these people didn’t read the documents or what they were signing up for. So I left it at that! Now if you don’t have the money monthly to pay both the membership fees and the loan. Then I wouldn’t suggest this app, cause you need to spend money to make money, if you have no money then you can’t make any. Anyways, you pay a membership fee of $33 and some change every two weeks. $50 of that goes into your investment account. That is STILL your money! It’s just in a savings account for you basically. ML couldn’t verify my bank account so I was in something called the LOANLocked group. I had to make sure to pay my membership ON TIME, auto-drafted from my bank account. 30 days later with no questions asked I was approved without running my credit for the $500 loan. I don’t have this app just for the loan. I have it to build my credit, and the ongoing investment. I would recommend this app to my close family and friends because I trust it. AGAIN READ what you’re signing up for.  ☺️☺️☺️☺️",Rosslynn N.,
Will not help credit run away!!!!,2019-11-24 01:54:12,1,False,I got this app and account as it says if you log in each day you don’t have to pay for the services. I also got the $500 loan to help with increase my credit. This bank only works with a few of the major banks so only my one account that I used for online transactions would work. The major pain is they take 6-7 day’s to process a transaction. It takes 2-3 days before it is taken out of your bank and then some times another 5-7 days to show up on your account as having the loan payment made. I had it set up for automatic payment but even that took 5-7 days and would show that my payment was late due to the lag in the processing of the payment. I contacted there non existent customer service and was sent to there team and services page with zero help. So basically you pay $19 a month to have access to a $500 loan. The loan was easy but the issues with the account and no ability to make payments through bank accounts that do not link through there site such as a ACH or direct withdrawal you can not use checks or anything to make payments and they take so long to clear this app has now actually hurt my credit. 2 of the months they took longer due to the payment coming out over a weekend they had already reported the payment as late before they processed it. This is a scam please do you fall for this like I did. I have paid back the loan and plan to cancel my membership as soon as possible. Also they will not give you back your money in any way.,KrisAndrae,"{'id': 13426858, 'body': ""Hi there! I'm sorry to hear about your experience with MoneyLion. We'd like to learn more about your experience and contact you to help resolve your issue. Can you please respond to this message with the email address and phone number associated with your MoneyLion account and a senior member of our Escalation Team will be in contact with you within 24-48 hours."", 'modified': '2020-02-11T20:50:22Z'}"
It’s really a 5 Star,2019-01-14 19:53:28,5,False,"I would have given MoneyLion a 5 star rating if it wasn’t for the verification system they have in place. But I can also blame them for the glitches because customer service seems to know what’s going on but doesn’t come right out to tell you, and that makes the verification go on for weeks. If some would have taken the time to explain I would have given 5 stars. After answering about 4 questions about myself which I answered CORRECTLY the computer told me I was wrong and I would get another try, the second time the same thing my answer were ALL CORRECT but there was no third try it told me I had to wait a week then reapply for the checking account which gives you a lot more options when it comes to borrowing money. Which in a sense is ur own money. But what gets me is why not just tell me I’m not eligible for the checking but I’m ok for the investment part which I really like and think it’s an Awesome way to save & invest at the same time. I wish I could get the checking account that would complete my portfolio! I still recommend investing it’s worth it, now and for the future!!! BeeMan",BeeBoi,
Great money maker/investment/credit builder,2019-01-13 22:42:58,4,False,"I took a chance with ml for the loan opportunity and I'm so glad I did. From the low interest rate on the loan I received, to the opportunity for financial growth by earning a dollar a day to build on my investment just for opening up the app and swiping, all the way to helping me build my credit I have to say the decision I made to take a chance was actually one of the best decisions I've made in regards to finances. I do however need to let it be known I am not so happy with my ml checking account, I opened the account because it said free checking account and over 55,000 free atm's but yet the first time I used my card to withdraw money out of an atm I was charged twice one charge was the typical $2 atm fee from the atm's financial institution but then I saw when I was looking at my ml checking account transactions that I was also charged $2.50 from ml as well on top of the $2 atm fee I had already paid. I should not have had to pay a fee to ml as well as pay one to the financial institution of the atm I withdrew from! Now I worry every time I need to make a purchase hesitating and debating on whether or not to use my ml card wondering if I'll be charged for doing so. That is something I should never have to worry about from my personal bank account/institution especially if you were told prior to opening it it's a free account.",dgirl0220,
Hassles Upon Hassles,2019-04-11 22:01:57,2,False,"I liked the app at first, and I enjoy saving money and being able to request a loan when needed.

However, the customer service for this company is pathetic, and so is the system the billing is under as well. The first time I called the person I was speaking to didn't even sound like he wanted to be there, gave me the wrong information that, had I NOT requested to speak to a supervisor (who also sounded bored and condescending) it could have been a choice that damaged my credit. 

Today I call, because I'm willing to pay off my loan. Using a bank account takes way too long and at this point, I'm ready to pay off and cancel due to the hold time and the wait customer service has. I finally get through to someone after a whopping 15 minutes (and fake clicking links on the website to contact support) for them to tell me my card is not supported to pay my loan off in full. Correct me if I'm wrong, but the BANK ACCOUNT is literally attached to that card & vice versa, how can one be supported and the other isn't ? The bank account takes too long to clear and it completely ruins the plan I had since I'm on vacation. I don't even want the membership anymore, cause there's way too many aspects to this membership and it seems that not everyone is skilled or knowledgeable on it which makes it even MORE confusing, to then have this issue with my billing I'm completely turned off. Once paid off I'm finished.",SYJ0596,"{'id': 8339997, 'body': 'Hello SY0596! Thank you for your review. We apologize for the experience that you have had with Moneylion. We are very sorry for any information that you were given that was not accurate. If you need further assistance please reach out via FB dm and we can help resolve any Moneylion issue you may have. Thank you for your time and patience. Have a great day!', 'modified': '2019-04-23T22:24:58Z'}"
"Garbage app, customer service is trash and clueless on there own products",2020-08-19 21:08:03,2,False,Ever since I’ve been upgraded to the Roar Money account it’s been a nightmare. There’s been issues with MoneyLion in the past but this about does it. I upgraded to this new account and was encouraged to switch all of my direct deposits to it. A few problems with this. One it would not give me the option to make this my account to make my membership payments so last month it caused a missed payment which I fixed by transferring some money over from my MoneyLion Roar account to my old MoneyLion account and did a manual payment to my MoneyLion membership. This month same thing happened except this time even though my old MoneyLion account does expire for over a week the option to transfer from my Roar MoneyLion account to the old MoneyLion account so I could pay off the missed membership payment. So I had to call in and a representative switched the payments over for me to my MoneyLion Roar account and I paid the missed membership payment. I even paid the remaining balance in full for my MoneyLion loan. I was told the freeze on my account was gonna be lifted and than the call dropped. No call back so I called in again and this time I’m being told my account even though paid off is still suspended for 3-5 business days so I’m unable withdraw my investments or apply for a new loan. A lousy experience.,Bryan Florian,"{'id': 17425758, 'body': 'We are reaching out to you directly to resolve your concern! Thank you!!', 'modified': '2020-08-21T20:24:22Z'}"
Great but the tip portion is ridiculous and needs more info,2020-02-19 18:12:20,3,False,"I can honestly say I love this app. Hands down really great at looking at all your money at once. There’s an option to invest, but it doesn’t explain anything about the investing. You have no idea what your invested in and what’s happening with that money. Also, you don’t have the option to take that money back if you no longer want to invest, which is a little ridiculous. The credit building is great, it reports to the credit bureau appropriately and you see the impact quickly. However, the instacash option is ridiculous. When you take out an instacash it constantly asks for a tip. I don’t mind leaving a tip for the help but if you don’t leave a tip your amount of instacash lessens, like a punishment for not paying more. Finally the last complaint would be the cashback shake that they offer. It’s a fun little option and it doesn’t give much back which isn’t an issue. The issue is that you can’t choose where that cashback goes. It immediately goes to the investment, which again you know nothing about. There should be an option of putting the cashback in the checking or in the investment. Overall a good app and great tool for improving credit and having some extra cash here and there but it needs some improvement.",Grace121595,"{'id': 13613780, 'body': 'Hi Grace121595! First and foremost, we do appreciate the feedbacks you\'ve given to us and the services we\'ve provided. Rest assured that we\'re working to provide better improvements to our products and customer care process. For your investment concern, when you transfer money (any amount) to your MoneyLion Investment account, we\'ll invest it for you in a personalized portfolio of low-cost Exchange-Traded Funds, which may include equity (stock) and fixed-income (bond) ETFs. And we\'ll manage and rebalance for zero management fee. Additionally, you have an option to take the investment fund back. You can easily withdraw funds from your investment account using the ""transfers"" button on your Finances screen or in your Investment account. Once you do this select your Investment account in the ""From"" field and select the account you would like to send the funds to in the ""To"" field. For InstaCash, tips are absolutely optional, and do not impact eligibility or availability whatsoever, however, your tips are what help us cover the high costs of administering Instacash at 0% APR for the large and growing MoneyLion community. The exact amount will be based on factors in your linked checking account, primarily whether we can detect recent qualifying income and are able to predict when you\'ll be able to repay your Instacash. If we detect recent qualifying income, you\'ll have access to up to $150 depending on the income amount. If we can\'t, you\'ll have access to a lower amount but not less than $25. We do hope that clears the concerns that you have with your account. Finally, you always reach us directly at 801-252-4427 or visit our help center at help.moneylion.com Thank you for being the best part of MoneyLion!', 'modified': '2020-02-20T23:32:27Z'}"
What a waste,2019-03-01 16:01:18,1,False,"I have been using money lion for pretty close to a year. Never had any issues until lately. I contact customer service to let them know that they are drafting my membership fees and loan payments on opposite weeks that I get paid and to please correct it. That was back in October. Never got done. After being charged multiple nsf fees from my bank I called them again, yet they have no record of me calling. I try to look past it cause everyone makes mistakes. I get my direct deposit sent here and that is when al the real issues start. There as too many bugs. I log in ever single day. I never miss. Yet since they had to change my payment dates which they finally did the customer service rep that I spoke to assured me that I would still get my 50 dollars back into my account. Not true. Even though they still took the payment out of my direct deposit the following day ( my direct deposit is set is with them) so they can see my deposits they paused my membership so that they could keep my 50 dollars. As soon as my taxes get here I will be paying off my loan and direct deposit. Too many bugs. Customer service supervisors just lie to get you off the phone. It says that I need to finish setting up my account with direct deposit all the time even though it is set up already. Today it says that it can’t verify my bank information even though they are my bank. Don’t waste your time.",Tiffany 76180,"{'id': 7610109, 'body': 'Tiffany, we apologize about the inconvenience, the only way we would not change your payment dates is if we have not received the necessary documents from your employers indicating your correct pay dates.  Please give us a call again or obtain a letter from your employers with proof of your payday schedule, send it to us in a pdf format and we will make the changes for you.  Thank you for your patience.', 'modified': '2019-03-06T22:43:15Z'}"
