review,date,rating,isEdited,userName,title,developerResponse
"Most of the time it’s terrific, quick and easy to use. However I can’t seem to stay auto logged in. It will work for a while and then start making me log in for every transactions. It will then ask me if I want to auto log in for future transactions on this device. I always check yes and it will work for a while but eventually revert to making me log in every time for every single transaction. 

Also I’ve been disappointed with PayPal for some of the scammer vendors that use PayPal. There have been a few that me and many other PayPal customers have complained about through the PayPal Community in Disputes and Limitations for which PP seems to turn a blind eye. One Chinese vendor used a false address and didn’t send the right product (actually sent unusable pieces that didn’t even go together) and then refused to allow me to return it and only offered me a fraction of the price as a refund. When reading other complaints, it’s so obvious that their business practice is simply a scam and that it has no intention of providing anyone with a real product. Yet PayPal continues to allow them to do business through them. Why I can not understand. I’ve actually considered closing my account. I use PP for the convenience but I also felt using it would be a bit more secure and reputable. If this is your reason for using PP, this is not the case.",3/6/2021 17:52,5,FALSE,DilloDean,"Works Most of the Time, but Unscrupulous Vendors!",
"This app is barely functional. The help center isn't helpful. It refers to all manner of things that aren't available in the app, but of course they don't bother to acknowledge that, probably because it would actually be helpful. Similarly, unlike most modern apps and appropriately named help centers, none of the ""help"" articles link to the things they reference, leaving you to hunt on your own for them. Again not helpful. Not only that, but ""advice"" they offer isn't helpful - and when it inevitably doesn't solve your problem then you have the singular option of sitting in a worthless chat talking to a bot. Even if you manage to find a phone support option, their automated - that's right, automated, because why pay a person to do a good job when one can rake in the cash after you replace everyone with a computer database full of canned responses that still don't resolve your query - phone system will pretend you can talk to a human person just long enough to lull you into a false sense of resolution (about 3 minutes) before informing you unceremoniously that they aren't ultimately going to bother connecting you with anyone at all. And then hang up on you. Even though you're trying to reach them  during their operating hours, which are posted right before your eyes when you select the rare option to call but which are also apparently a farce. Why are we still using PayPal at this point, you guys? I mean, with friends like these, who needs enemies?",11/15/2020 16:23,1,FALSE,AP278,More like CRapp amiright?,
"For as big and successful as this company is, you’d think they’d have good customer service. Every time i try to add to my paypal balance is transfer money to my bank, i get an error message. i’ve been using this app for years so i know i’m not doing anything wrong. i’ll go to the helo center, talk to an agent, they’ll “unlock” my account as like a one-time thing so that the transfer goes through. but then the next time i try to do it, it happens again and i have to get in contact with an agent again just to use a standard feature on the app. i have two bank accounts so i use paypal to get money from one to the other. and in the app, they let you have more than one card hooked up so like,, if that poses a problem then don’t make it possible. like don’t make it a feature IN THE APP. i’m not blaming their customer service representatives, they do all they can. but the permissions they’re given are insufficient when it comes to helping customers. they’ve specifically said that all they can do is a one-time account unlock and that they have no way to guarantee that it won’t happen again. they should be given more resources to help their customers. i would like to be able to use the app like anyone else normally would, but paypal is so finnicky that i’d abandon it if i knew of another app that gave me the ability to transfer between my bank accounts. i just want my money, it’s that simple",7/18/2020 7:35,2,FALSE,Xjohnny2000,Bad Customer Service,
"I use PayPal a lot, because the product itself is good. But only giving 2 stars because of PayPal’s continued commitment to providing less than the bare minimum of service necessary to dispute transactions, ask questions, and work through problems. 

1. No telephone service during COVID-19. I get it, people were staying at home. But as someone who works for a humble non-profit, my employer was quick to find solutions for workers to keep their jobs while working from home. PayPal obviously didn’t do this. They were no longer offering help via phone, so talking to a human instead of texting was out of the question. I had to make a Twitter account and tweet at the PayPal Twitter account to get their attention. I don’t own or use Twitter, so it was troublesome to have to go to that sort of work to get my money back after I was the victim of a scam. 

2. Like every other website on the planet, PayPal is obsessed with the idea that they’ve already answered your question. It’s difficult to even get in touch with someone through their help center, because they want to push their FAQ on you instead of allowing you to just ask your question. I have NEVER found the answers in FAQ, typically because when I need help it’s because I’ve already exhausted common sense options. Stop assuming your use base is all a bunch of idiots with stupid questions, and maybe answer the phone.",2/27/2021 14:36,2,FALSE,frootluipsss,"Good Product, Complete Lack of Help",
"I can not tell you how much Pay Pal has helped me get on track. I was living life somewhere between being a irresponsible , careless person to wanting to get my life together and actually grow up! I finally chose to grow up and Pay pal was right there to help me better understand my finances, spending habits, the importance of savings and just a better understanding in general of living a life that u don’t need to worry if u don’t ignore responsibilities but you take caure of them,  not putting everything off. They also helped me “grow up “ by supplying me everything I need to understand and grow better in the world of credit and I’m very grateful! It’s endless all the tools that PayPal has for its customers!  If you are ready to become a responsible adult who is on track for success, I highly suggest that you download the PayPal app and apply for their prepaid debit card. You can run your own business and u can accept payments , as I said, all the opportunities out there and PayPal has the tools to guide and help you achieve your goals and be on your way to a successful life and a much happier one!!!Your life will be in order because PayPal is with you every step of the way!!!! Thank you PAYPAL!!",11/7/2020 14:47,5,FALSE,Klynn-711,Pay Pal debit card review,
"This is the first time I’ve considered if I’m meant to write a review of the app or the entity-PayPal is phenomenal in both or as both separately. I can seamlessly now add money from my DPSS/California EBT card to my PayPal. It makes it so much easier and affordable-not to mention that PayPal is accepted almost everywhere either by card, chip, or tap and is the only bank or bank like access I have because of my credit history. I had money taken out of my account that had a branch I could walk in and was informed that those representatives work at remote locations because of violence that has come related to similar circumstances-mine were Court fee specific and resulted in that account being closed.  I had and intended to keep PayPal the entire time and that hasn’t changed-before traveling or going to college or anything where a friend or loved one has concerns PayPal has been a lifesaver for access to money sent to me, earned by me, or issued to me as the $1200 individual amount was direct deposited directly into my PayPal without having a stable mailing address-I’ve been homeless and I don’t know what I would have to say here if it weren’t literally for PayPal being in my life. ¡Thank you!  App and entity. ;)",10/19/2020 2:18,5,FALSE,jfray07,¡Opportunity!,
Considering PayPal has been in business for such a long time he would think that they would have very good customer service and glitches out of their app but the customer service is not good at all when you talk to them they act like you’ve done something wrong or you’re hiding something they put too many random holds on your account having to verify all the time. When I set up my business account and trying to make an invoice for service it always goes back to goods sold I do not sell anything and I think I’ve been charged extra for that taken out of my invoices the only thing that I have experienced that was an ease was purchasing something online using your PayPal card but as far as my invoicing and sending money to people seems like there is always a problem and now they’re charging even more to even send money to friends and family where they are me anyway. When I’m trying to make an invoice it’s very slow and there are glitches in it half the time I have to redo my items and description and then sometimes they’re already there I think it could be a very very good and I probably wouldn’t even use it except for I have one client that will pay immediately using PayPal and it’s a big client so I use it. As far as sending money there are other apps that are better,10/29/2020 1:48,3,FALSE,bobbie Jo Tallbert,Not so hot,
"I recently downloaded PayPal during the current situation to make purchases online easier, I had heard that PayPal was a great service so I downloaded it. I regret downloading the app!! When I receive my first payment I had to accept the money which meant putting in pictures of my government ID, my SSN card, and a few more things. This was fine at first but it didn’t accept them because the name on them (my full name) didn’t match my account name (the shorter version of my name). So I had to change the name through the account, when I tried to submit my birth certificate for identification it didn’t accept it because my name was too long. I tried messaging the company and every time I got an employee to message they never responded until I got another employee 8 or more hours later that did the same thing. So I decided I had tried enough and needed to call customer service, I gave the automated voice system all the needed info and they sent me to another voice system that said the customer service line is closed due to COVID. This is extremely ridiculous!! I need to speak to someone ASAP and none of the other options are working! Totally hate how PayPal is handling this I would be ok with wanting longer to get someone on the line, but having no call option at all, that’s stupid! I will not be using PayPal any more and will be switching to one of your competitors sorry not sorry 👎🏼",6/17/2020 23:18,1,FALSE,mmaddie05,Horrible Service During Pandemic,
"I’ve been using PayPal for several years now, and absolutely love it so far! When I first started my PayPal account, I had only been using a smartphone for a little over a week. I never touched a computer before I got my first smartphone, so I was literally technologically ignorant....or a dummy in laymen’s terms. It was much easier learning to use PayPal than it was to learn how to balance a checkbook! If I was able to figure it out successfully in such a short period, then I can guarantee you that absolutely anybody can do it! PayPal has been a lifesaver for me, especially for online purchases. PayPal also has the very best security setup of every bank in existence....so you don’t have to worry about anyone “hacking” your account, if it does happen then PayPal is extremely fast at shutting it down and saving your monetary assets. 
 My two favorite banking apps are PayPal and Venmo, and Venmo is also owned by PayPal....that’s why it’s such an awesome banking app too!
 If you have to debate with yourself over setting up a PayPal or not, then maybe you’re just not as serious about banking as you think. 
Is PayPal worth it? Absolutely! 
By the way, PayPal is the EASIEST way to pay for online goods and services...period!",4/25/2021 3:17,5,FALSE,Standing Goats Rescue on YT,PayPal works for dummies too!,
"As with other reviewers,  I have had PayPal for many years and have not had any issues until recently. The newest website design is confusing to me.  
I sent in regular monthly payments as I had been doing for years. This was for a 6-month same as cash deal.  Out of the blue I received a check for over $600 from PayPal. When I checked my account online i realized There were 2 separate accounts , one was charged interest for the same-as-cash purchase  and a late fee; the other was where the $600+ check came from.  I don’t remember this happening before. Apparently PayPal had made changes to the way they handled my account. If they notified me of these changes I don’t remember reading anything   Besides, every year about this time we get notices of privacy laws, terms and conditions, and other legal  papers with jargon that I just don’t keep up with
I made a call to PayPal  customer service and got the issue resolved. The gentleman I spoke with took off the extra charges without a problem.  The Rep was professional but had no personality. It was ok though since he fixed the problem. I think I understand what I need to do now but I will be much more  careful.",1/25/2021 2:09,5,FALSE,hermeror,A little disappointed,
