developerResponse,userName,review,isEdited,title,date,rating
"{'id': 13405958, 'body': ""We're so glad we can be here for you! Thank you for the awesome review and keep on #QuadPaying 😊"", 'modified': '2020-02-10T20:30:06Z'}",mother2dragontwinz,"I am a new mom, and let me tell you babies require a lot. I have had to make quite a few adjustments. Much of the time it has been financially. I have had to decide against getting the necessities of life for ‘me’. I had wish lists and loaded shopping carts on various websites, “Window shopping”, and hoping. Remembering the words of Kevin Hart, “I would, but the way that my bank account is set up...” lol. Then when I desperately needed a pair of pants that fit after having the babies. I began checking online clearance. I was so discouraged, and about to skip the first family gathering with everyone in three years since my grandmother passed. She was the only one that could get us all to come together from across the nation. I was on the Fashion Nova site and was given QuadPay as an option of payment. I was instantly relieved. I began to see advertisements for other businesses. I felt totally liberated. A forth payment up front was a lot easier for me. The app and service is hassle free thank goodness. It notifies you of your next payment status and when your due. I have had four or so orders from two servicers. I plan to use a third/Apple in a couple weeks.

It’s been awesome, worry free, and hassle free so far. Thank you so much!!!!!",FALSE,"Whoot whoot, I love it!!!!!",2/10/2020 4:50,5
,A1TSD,"I love being able to have the ability to purchase online things in payments without it going against your credit. However, I do not like the refund process and I think it should be revised. I purchased an order through a website & used Quadpay. The package said it was delivered but was never delivered (at least not to me). I filed a dispute for merchandise never received with the merchant, carrier, & my bank. I tried to with Quadpay but they told me they can’t stop the payments because they have to wait on the merchant to advise them to process a refund. However, I knew the merchant wasn’t going to do that because it shows as delivered in their system & the carriers. The merchant eventually came back to me and said they are closing my claim because it shows as delivered and quadpay will not process my refund. So I am just going to have to go through my bank. I feel like me going through my bank could have all been avoided if quadpay had additional refund options for those who do not receive their merchandise. I understand it’s a safety precaution for those people who do scam but for us people who are truly innocent and did not receive our merchandise, it is a bummer. I have to jump through hoops to get my money returned. I dont feel I should pay for products never received. Packages are mis-delivered and/or stolen unfortunately...overall good app & love the simplicity. Just wish there were additional refund options & not just up to the merchant....",FALSE,It’s okay...,11/7/2020 7:36,4
,Can't find an available one,"I’ve completed and paid off one purchase so far and transaction and payments went smoothly. I’ve recently used the app again for another purchase however I was being indecisive and was browsing the site and re-arranged 2 times before I finalized and completed the purchase. The 2 times I entered amount for purchase while debating went through and now my checking account has 3 separated pending transactions for payments. The first 2 that I was debating and the 3rd one I actually completed the purchase. The FAQs state the 2 will drop off however it makes me nervous and I’ll have to follow up to ensure they reverse. I think your account shouldn’t be charged the 1st payment until you actually finalize the purchase instead of when you enter the estimated amount of the purchase. Also, you are provided a set limit of funds available with no options to request an increase. I understand this isn’t a credit card but I feel like if you’ve completed payment of orders then you should have an option to request a small limit increase. Or perhaps it should automatically increase a little after every completed order payoff. Other then that it’s convenient and I appreciate being able to make purchases on payment without having my credit score impacted via credit card utilization percentages. I’ll revise my review if the pending charges aren’t reversed and dropped off.",FALSE,So far so good..,10/12/2020 1:57,4
"{'id': 13271395, 'body': ""Thank you for reaching out and sharing your insights. We're so happy to hear that we can be a game changer! We also truly appreciate your feedback. This is so helpful for us, as we are always looking for ways to improve our experience for all users. Keep on #QuadPaying!"", 'modified': '2020-02-03T17:34:21Z'}",@steady_smilin,"Logged on to FashionNova to order my Fiancée a sexy red dress & sexy red lingerie for Valentine’s Day. Ready to check out, I noticed the QuadPay option of 4 breakdown payments and with a wedding in the near future, I’m trying to save/manage every penny! Not to mention the app was compatible with the SUPER50 promo(1/2 price sale) the website was offering. Half off + 4 payments + A card to add to my apple wallet = Highest Appreciation!!!
On a technical critique, I noticed being redirected from the original website into the QuadPay app, the usage was very choppy/lagging, not sure if its bugs in the latest version or if internet traffic from the FashionNova sale was causing a delay. However the slow interaction made it extremely difficult and highly frustrating to complete the purchase, especially since I personally didn’t understand the check out process of selecting QuadPay as the pay process (this redirected me back to the checkout screen multiple times and caused “errors”) vs the actual solution of removing my own debit card info and replacing it with the new Visa card info which is given to the user in the app. Please consider making a smoother checkout transition for new comers. Overall, outstanding app & online store selections, looking forward to using the Apple Pay feature in physical stores. Job Well Done.",FALSE,1st Experience,2/2/2020 15:53,4
,Lcalcrazee,"I am a huge fan of all of these alternative method options (afterpay, sezzle & now quadpay) in today’s world, the primary consumer is burdened by overwhelming student loans and often times pays more towards that balance per month than they do for a mortgage or car payment, so it’s a relief to have options for large purchases. I like that quadpay has a vast variety of top retailers available to use their program with, but it does not come without a cost (hence the 4 stars) the only reason that QP didn’t get 5 stars is due to the $1 fee on each scheduled payment. Afterpay/sezzle does not do this, but they link directly to ones credit or debit card vs. quad pay which utilizes an interim unique credit card number specific to your account/transaction & QP has a lot more “mainstream” retailers than its competitors, so I can see how the $1 would be justified but it does seem a bit steep. I’d recommend trying to get the retailers to foot some of that $1/scheduled payment as they will almost certainly see some incremental sales volume, as a direct result of being listed on QPs site, especially as QP grows in popularity. Even $.50/scheduled payment seems much more reasonable. Just a thought!
Either way- very efficient and effective, quick - easy to use and little information collected. Great job overall!",FALSE,Easy & effective payment method,12/2/2019 11:03,4
,Sleepy Lori,"Hi, I ordered from Target. I’m glad you have everyday store chains to shop from. Cyber Monday sales I had to compare who had the best tablet deals. I have a 6 yr old tablet my 4 yr old granddaughter uses everyday. It’s getting to the end of it’s life. I want to watch something bigger than my iPhone sometimes. Mamaw don’t get to watch Roku channels or the news because some little one thinks the remote is hers lol. So I bought us each a tablet and a few other things. The tablets were such a good deal! I had to push copy the Pay with QuadPay button a few times. I think it said I already had a card registered. The last time I pushed and copied it went through smoothly.I think it was because I already had my bank debit card registered. I shop at Target a handful of times a year. It’s an hour away so I only have Walmart around here. It’s nice to see different things. The only bad thing is getting me out of the store lol! I stay at home most of the time. I know most everyone is on a budget. Christmas is coming. I know QuadPay is a great way to get the things you need if you have can’t pay a large lump sum up front. If your struggling give them a try! Thank you QuadPay and Merry Christmas!🎄☃️🎅🏼",FALSE,Easy to shop. Easy to checkout! Thank you!,12/2/2020 10:25,5
,JRnWV,"When I saw the ads for this app honestly at first I was skeptical. Then when I was approved almost immediately for $200 limit just answering a handful of simple non invasive questions I was even more sketch. I needed a new PS4 controller and GameStop was an approved store. I was almost broke that week and thought I’d have to wait a whole couple weeks just to jump on the PS4. Well I got some trade ins together and landed in GameStop and the two employees were completely unaware of any program like QuadPay and made me feel really nervous that I was wasting my time. Finally after explaining what it was again they called another store to see what they said and they totally backed QuadPay and I up. Now neither myself nor the two seasonals had any experience with how it was gonna work or what to do. You just follow the instructions after they give you a total, get in your QuadPay app and select the store you are out and it will ask you to type in the total amount due. Seconds later it shows you yours amount due today then the other 3 installments. Never have I ever got to do the tap thing to pay using my phone but I did with this purchase and it absolutely worked like a dream. Great stuff, alright back to my gaming.",FALSE,It’s so EZ...,11/29/2020 7:58,5
"{'id': 12010881, 'body': ""Hi there! Sorry for your experience. We've had a significant increase in volume, and we are growing our team to help improve response times. Let us know how we can best assist you by emailing appreviews@quadpay.com, and include your previous case number for reference! Thank you!"", 'modified': '2019-11-23T18:18:04Z'}",Mol090909,"I’ve spent around $1000 total this year through this app, so far, and have been enjoying its flexibility up until now. I tried to order through Sephora 5 days ago and kept receiving an error message after submitting the order - then quadpay charged me for my first payment of $48 - normally you can cancel a transaction however the app has very limited options and it wasn’t appearing. It’s been 5 days and I have only received automated responses and two times they sent the same response - proving you can’t talk to an actual person. Therefore no one is reading what I’m actually saying in my message. So now I am currently stuck with paying $200 for items that I will not be receiving as they were never properly ordered or processed through Sephora. I have recently received a message stating that I need to go through Sephora to resolve this however neither my beauty insider account or their info proves that an order was processed because of the error with payment  - and since quadpay does not have actual people responding to you - I don’t see this being resolved unless I cancel my card and claim fraudulent on their part because that’s what this is beginning to feel like. 

BEWARE THIS APP. If something goes wrong or there is a glitch on their part they will NOT help you - and keep your money! 

Check the better business bureaus website as there are many other people struggling with their complete lack of customer service!!",FALSE,Fraudulent App,10/29/2019 16:52,1
,I'm rich B*tch!!,"I heard of Quad pay a little while back but I never used it because the stores I shop at weren’t apart of their affiliate program. I downloaded the app recently because it said shop at ANY store. Which is true. I purchased a $130 tool at a hardware store online and went and picked it up next morning after only paying first or 4 interest free payments!! I’m happy. Wife’s happy. Come to find out she’s not new to Quad pay. And this is how she buys her outfits online. 

The only problem so far is this, and it’s more of a problem for the developers to solve is that YOU HAVE TO HIT PURCHASE AT THE RIGHT DURING THE PURCHASE PROCESS IN THE SHOPPING CART!  If you fail to do so quad pay will prematurely hold first payment funds and the RETAILER will try to process full purchase amount.  It was kind of tricky because I wasn’t sure how it all worked. There’s no need to give your card number to retailer. Quad handles it. But you must hit pay at the right time. 

Good news is. The mistake was corrected quickly. The balanced held against my account was released almost immediately and I went back and tried my purchase again no problem. (Like is said this is more of a new user mistaken that could of been prevented by the developers.)",FALSE,Credit card killer!,10/21/2020 17:45,5
,HoolioNashty,"Quad pay is absolutely AWESOME!! They have literally been such a blessing to my family and I and have allowed us to have a bit of financial freedom to pay for EVERYTHING! My budget is super stressed being in nursing school, a mom of three teenagers and with what’s going on in the US right now. I have been so stressed trying to figure out how to pay for bills, food and Christmas coming up. I accidentally came across Quadpay one night while I was in tears searching on Google on places that were like “buy now pay later”. I read the reviews, read what Quadpay was all about and gave it a chance. I signed up and was instantly approved for an extremely generous credit! Seriously, it was so easy to sign up, get verified and start using my Quadpay card! Y’all, I can’t stress enough how easy their entire process is and you can use it every store known to man. Because of Quadpay, I have been able to give my kids an amazing Christmas, buy things for my home I need and all on all with minimum payments. I know a lot of us are struggling right now and need a little help and a little hope. Quadpay is it and they sure are a blessing in a time of need. I am forever greatful and will always be a Quadpay lover 💗",FALSE,Absolutely AWESOME!!,12/3/2020 2:09,5
