isEdited,date,title,rating,userName,review,developerResponse
FALSE,2/8/2021 10:39,One Word for This App.......AMAZING!!!!,5,Sandy 4 Brothers,"Sezzle has given me the chance to be able to shop as if I were a “ Platinum “ credit card holder. My credit is less then desirable in this credit crazed world we live in. Nowadays, if you don’t have a wallet full of plastic, you better have a wallet full of cabbage (cash😊)and I know I sure don’t have either on a day to day basis but I have the closest thing to it.....and that’s S-E-Z-Z-L-E...!!!!! I have 8 kids that I have raised and now with all but my youngest child being grown up and four having family’s, I now have 12 Grandchildren ( Yes 12 🥰) and my youngest only 11 yrs old, well that equals lots of groceries, bills, clothes, shoes, coats, etc... Oh and let’s not forget the presents for birthdays, and Christmas, oh my!!! All I know is if it weren’t for Sezzle, I wouldn’t be the favorite Mimi and not only can I buy things I wouldn’t otherwise be able to, but I’ve been able to purchase things in an emergency with stores that accept SEZZLE, like Autozone for brakes..Twice now!!! THANK YOU SEZZLE!! AS  if being AMAZING just for their program wasn’t enough, now they’re going to report to the credit bureaus which will help build my credit!! And all my payments are on time so I’m excited for this new step 😊",
FALSE,12/18/2020 1:51,Sezzle Review,5,RenCarDuB,"Excellent App, I have very much enjoyed having and using Sezzle!!! As well with the added credit line this has made Sezzle 100% BETTER than before!!! The only couple things I would suggest to make Sezzle the over all number 1 app across the board would be just a few minor things which would in my mind take Sezzle to the very TOP!!! 1. Easier to reach Customer Service ( I was charged all 4 payments for an order that I never even received) I placed an order with a company Caravan comfort which turned out they didn’t have the product so Caravan Comfort refunded back to me the cost of the product however Sezzle continued to charge me all 4 installments for the product I never received. I tried to reach a customer service rep from Sezzle and unfortunately was never able to do so there paid for a product I never received. I was extremely disappointed and hesitated in placing another order.
2. Allowing the Sezzle Credit line to be attached to Apple wallet and available to use for any purchases on any items any place or perhaps anyplace over the cost of $50-$100",
TRUE,6/5/2020 22:20,Caution!!! Sezzle seems shady👎,1,NostalgiaLadie,"3. As I said, contacting customer service doesn’t help at all. I can’t converse with anyone personally. My needs were not addressed at all. I tried and now I’m done with Sezzle. I will be paying close attention to the info that I provided to Sezzle (in case any fraud turns up). I terminated the Sezzle account. There was nothing else that I could do. If you won’t even converse in any way with your customers, you don’t care at all.

2. Sezzle is scary. I just attempted to call Customer Service and wasn’t allowed to speak to a live person, but was directed to their email form service. Immediately I was emailed an auto response, with the same sorry excuses of why no one can help solve this. Unbelieveable! I deleted my financial info and hopefully can terminate my Sezzle account. I regret trusting Sezzle to handle my financial and indentifying info. I’m glad I didn’t give them my main finacial info. smh

1. Declined for a $3 purchase? Really? This is rediculous! I recently was approved for Sezzle, but haven’t been permitted to make any purchases. I’m not being given any helpful reasons to why I’m being declined other than the purchase maybe too much. I have way more than enough to cover $3! Why was I approved for a Sezzle acct, if they won’t allow me to purchase through them? The purchase process is not user friendly either. Too many security codes required just to have the purchase declined. smh...There is no point to this...","{'id': 15807123, 'body': 'I understand your concern with your account.  Please email shoppersupport@sezzle.com for further assistance with this issue. ', 'modified': '2020-06-05T18:49:43Z'}"
FALSE,5/27/2021 0:27,Best Pay Later App On The Market,5,Gracies Eunni,"I have used Sezzle for over a year and have made several large (over $1000 purchases). I have absolutely NO complaints! I tell everyone I know that Sezzle is the way to go if you need to make a fast purchase but would rather not pay the full amount up front. As you make in time payments your available balance will go up. 
  There are no interest, no fees (unless your late), no hidden charges (it’s the EXACT same price if you weee to pay by cash or debit card), and you can easily reschedule your payments on the app. You don’t need to speak to a rep or feel uncomfortable or embarrassed, you can handle everything yourself on the app- returns, payments, rescheduling, etc. 
  There are a lot of stores that accept it (more than the online list) and more were added over the past year but my only wish would be for even more stores/businesses to accept it. 
  No shame!, especially in these crazy times, it’s nice to be able to make 4 payments for a vacation/cruise, furniture, hair :) or when something unexpected pops up.",
FALSE,2/21/2021 3:16,Great way to get things,5,Freemee! 88,Hello everyone I just wanted to share with y’all that this app is just great! Sometimes we don’t have the entire amount for things so we just end up not getting them. That sometimes results on missing out on some great sales and it stinks. With this app it’s helped me get stuff I need without out breaking my wallet. It’s a great way to get what you want with 4 easy payments. I love it. I have my own business and sometimes I need stuff for my shop (A little bow shop) when I’m in need of some supplies I’m able to get on here and make that purchase it’s great. But also you have to be responsible you cannot just get stuff and not pay. You have to make sure you are able to make the payments. It’s every 2 weeks. So if you get paid on the 1st or 15th make your purchase where it won’t be an issue. I usually pay it off on the 3rd payment to be done with it. If you don’t have the money that week you can always move your date about 7 days out. So just work around your payday.,
FALSE,12/27/2020 0:53,Absolutely Legit,5,lisaLashay,"I’m so grateful for the Sezzle pay option. It has allowed me to treat myself recently, during a time where I haven’t been able to really do anything beyond pay bills because money is too tight to make large purchases. I also was able to get my son a very nice electronic item that he would not have been able to get if I had to pay full price up front. This card/acct is soooooo easy to use. All I did was pass my phone by the card reader machine at the store...via Apple Pay and boom purchase complete and I make my 4 small payments over the next 8 weeks. I definitely would recommend this to anyone. Not to mention All of the small businesses you get to support and help keep afloat during this crazy pandemic by shopping with them thru the app. So many stores to shop with that have awesome quality items made by hard working people. Now that I’ve paid my first purchase off early I’m most excited that Sezzle gives me the option to have them report positively to my credit. Great pay option !",
FALSE,6/11/2020 10:39,Excellent payment option by far,5,Mmmgayyboii<3,"I love how easy and transparent the whole process is. The payments are reasonable and there is no charge if you need to reschedule an upcoming payment for whatever reason. I love how after paying my payments on the day that it’s due my credit limit increases. You don’t have to have good credit to even get approved, actually you don’t even need your credit at all which is really awesome. They have a plethora of different stores that have partnered with Sezzle so you just browse through the stores and if you find something you love no matter what the price is all you do is chose Sezzle at check out and your 4 payments are laid out very clear and simple and the item is shipped right then and there instead of having to wait to get your item after all the payments are paid. I recommend this option to those who have a love of shopping like I do. You save your money longer then just spending it all at one time it’s amazing.",
FALSE,10/9/2020 16:53,Fraudulent merchants,1,CiIHcC99,"I order about $300 worth on a boutique call “Wild heifers boutique” that works with sizzle about two months ago I never received any of my items I contacted the merchant just like sizzle suggested but nothing the owner never contacted me back then she send fake tracking numbers and she ended up blocking me on social media because I tried to get a refund, I went back and tried to contact sizzle to report this merchant and guess what I got ignored as well I send emails with proof of the scam, I waited on the phone for hours and nothing I wasn’t able to talk to anybody and I haven’t heard back from them but now they charging me late fees for that last payment I never made because simply I got scammed by one of they’re  merchants, I had to go thru my bank in order to get my money back(the first 3 payments I made) and sizzle it’s now threatening me to pay them back and still haven’t heard anything about the scam and what they’re doing to fix it what a trashy company, if I keep receiving this type of emails I will be obligated to take legal actions i know I’m not the only one how’s going thru this same situation with the same merchant. I’ve talk to about 200 people on social media that is goin thru the same situation with sizzle and this merchant Wild Heifers Boutique.","{'id': 18435207, 'body': 'Hello!  This does not sound like an ideal situation and I can certainly understand your frustration.  We do take pride in our partnered merchants, and it is troubling to hear about your experience.  However, this sounds like something our disputes team can assist with.  Please email us at shoppersupport@sezzle.com and we will give you instructions on how you can dispute this order and then our disputes team will be happy to reach out to the merchant on your behalf. ', 'modified': '2020-10-12T19:53:07Z'}"
FALSE,2/10/2021 14:27,Great.,5,indiana jomes,My only issue is that I have made a purchase in the amount of $125 with a company called Klase. This company states that they will issue a refund if needed and provide a return label. I did not order a custom piece however the items do not fit my daughters neck they are too large she’s a teenager therefore I’m returning the pieces. They also send another email asking for pictures of the items they sent to me. They also state that you can return the items and they will provide a return label. They have been difficult and every email is less helpful and final than the first.  I have stated that it’s a return and they ask again if it’s a replacement and send me photos of options. This company is extremely difficult to deal with and I will not make another purchase with them also they will not provide a return label and they are charging me a 15% restock fee. I am forever a sizzle customer but I will no longer patronize Klase.,
FALSE,10/12/2020 18:17,So far so good!,5,AngieAss709,"I used them and got the virtual target card too. I first added two debit cards for payment but then I was reading about Sezzle up , in hopes I’ll get the option to “Sezzle up” I went and added my bank account too and set it as primary.   Praying they give me the option to Sezzle up ASAP. I pay on time on all my accounts and I wish I would I have added the bank first maybe I would have got the Sezzle up option right away like I see many others saying. I’ve also seen some say they got the option to Sezzle up After they added bank account within a few days later after adding it and making it primary for payments.  Fingers and toes crossed they bless me with the options to Sezzle up.  Lord knows I could use this especially this time of the year. PLEASE SEZZLE IF YOU SEE THIS PLEASE OFFER ME THE OPION TO SEZZLE UP!!!! You all are awesome. I appreciate you and this is a huge blessing to a mommy of two like myself. I need this! Thanks a lot. 💫😘",
FALSE,5/25/2020 2:28,SEZZLE IS STELLAR,5,Renee' Saint James,"I💓This Company. I have been using Sezzle for approximately 6 months & it is the only deferred payment company I will use. Sezzel Is Stellar in Every Area of It’s Program; Proper Distance In Auto Scheduled Payment w/ Custom Email & or Text Reminders b4 Payments Post & the Connivence of 1 Time No Fee Opposition to Change Said Set Auto Date & Only a Nominal $5.00 Fee per Same Transaction if Further Adjustments Need 2B Made. Also Since There is No Finance Fees it is Lovely to Pay Tab Off In Advance of Set Auto Pays w/o Any Penalty. Stellar Service. I Referred My Sister Sezzel & When She Had an Issue w/ One of the Companies Sending Item She Purchased ( b4 COVID 19 Pandemic), Sezzel Opened An Investigation & Handled the Matter which Led to Positive Outcome for My Sister. Sezzel Stands In Support 💯 % to Making Sure Vendor & Customers/ Clients Are Adhering to A Healthy Community. I Need No Other Company of This Type. P.R.Silver",
FALSE,9/30/2020 2:14,It’s okay but..,3,just a person who wanted music,"It’s okay and it does do what its supposed to do but I can’t mess with this app anymore. You guys always make the excuse you only get charged the extra $10 if the payment fails due to inefficient funds or misinformation. But there’s money in my account, my payment methods are verified. I even have the same card listed TWICE and even a third different card just in case. I have more than enough money in my account and this is the third time you guys have charged me extra for a failed payment with money clear as day in my account.. Only to get the same excuse when I asked for the $10 to be removed. Fix your system. You guys are not about to keep robbing me of Ten extra dollars every purchase. My next payment for an item was literally September 30, it’s September 29. I was getting ready to pay ahead of time so you don’t do this sneaky stuff again but you guys already have it preset as a failed payment. Fix your system or at least give people a grace period before getting charge happy.","{'id': 18221480, 'body': 'Hello!  I understand how this is concerning.  There are certain reasons payments can fail.  Please email shoppersupport@sezzle.com with your account information so we can look further into this issue. ', 'modified': '2020-10-01T19:06:00Z'}"
FALSE,11/11/2020 14:04,One of the best pay later apps ever,5,SparktacularRocks,"For personal use, they have come through every time I needed to use them. Since covid money has been a little low and even though I needed things I didn’t have the money and Sezzle made it happen. Without worrying about my credit and extra fees I have been able to buy the things I need. 
As far as business, it works wonders, my customers can buy from me and pay later and for them it’s good because they still get what they ordered and it’s great for me because even though they haven’t paid the full amount yet I still get paid in full from Sezzle. I haven’t had any issues and I just got an approval to a higher spending limit so this is going to be great for my business needs. Thank you!!",
FALSE,12/29/2020 23:29,Making my purchases more manageable and rewarded for using the app,5,Griff81818,This is the smoothest and most reliable buy now pay later app I’ve ever used. The customer service is excellent and your ability to boost your credit by making your four payments is a no brainer. I will be setting my wife up on the app and I’ve already spoken about it to family and friends. Anything you are looking to purchase can pretty much be found on the 20k plus stores Sezzle partners with. I find myself browsing the stores on the app for long periods of time and I can now purchase some things I want or need and don’t have to have the full payment up front but have the ability to pay more early if I can. Nothing but good things to say and nothing but praise for Sezzle.,
FALSE,10/5/2020 4:36,Lifeline,5,sethkj1212,"I am a big fan of paying all out front and not owing. However I’m also a big fan of credit cards. Sezzle allows me to combine the positives. I have set due dates for the payments that you can reschedule, and I use my credit card to pay, so it’s all split up and I can go longer without payments and less interest because the full purchase is not all on one credit monthly billing. I continue to be responsible of course, but Sezzle gives you that extra breathing room for keeping your budget straight if used correctly. I’ve heard of others having problems with being approved, I have not. Not that I don’t believe them, I’m sure they are telling the truth, but I haven’t myself, which I am thankful for. Thank you Sezzle!",
FALSE,9/6/2020 20:26,Constant Declined Payments/Bad Customer Service,2,Uhmyeah:),"Every time a payment is due, I get an “unknown error occurred” or “declined payment” I have been using sezzle for months and months, and I’m over this! I have gone back and forth with Venmo and Sezzle with every single payment and nothing has been taken care of on Sezzle’s end. 

It is nothing on Venmo’s end as I have plenty of funds with every payment and they’re not declining or blocking payments that are due to Sezzle. Venmo and I have spoken about every transaction and they know that none of the payments are fraudulent. They have also made it known that I don’t have pending charges that would hinder Sezzle taking their payment. 

I can change the payment method between two cards and sometimes it works, sometimes it doesn’t. 

Each and every time that I contact Sezzle, I either get the generic response or no response at all. I keep all emails and can prove the no responses. It just makes no sense to contact customer support if they can’t fix what’s wrong, like ever or just flat out don’t respond. 

While I love the convenience of Sezzle and the payment plans (which comes in handy) I am thoroughly disappointed in the payment system and customer service.  

I last contacted customer service on 8/6 to Jack from Shopper Support and he didn’t respond to the reply to the email. 

How can YOU fix this?!","{'id': 17765755, 'body': 'Hello!  I apologize that you are having these issues with your Venmo card.  I can certainly understand how this is frustrating.  We have sent you an email with further updates that we are having our tech support team look at this issue.  We appreciate your patience in this matter and we will reach out again once we have more information. ', 'modified': '2020-09-08T20:18:45Z'}"
FALSE,9/20/2020 12:26,Just Sezzle it,5,Aalaysia0101,"When I first seen Sezzle I was skeptical because I had never heard of it, however I decided to try it and was I amazed.  The entire process was so transparent and very easy to use.  There are tons of stores in their company directory that will fit all of your needs, and a plus is you never know what store is coming next.  I have credit cards but I would rather Sezzle it.  This is a very good way to budget your finances without all the interest rates that you have with traditional credit cards.  We all know life happens, but with Sezzle all you have to do is reschedule your payment.  So if you are reading this, and wondering if you should try it out or not, I say go ahead you have nothing to lose but everything to gain.",
FALSE,12/20/2020 21:45,All good until they added sezzle up,1,McPepos,"Been using Sezzle since they all started
I have placed tens of orders always paid them on time, then they started adding premium retailers like Lowes among others and for me to get access to these retailers I needed to my bank account and I did, so I placed like 2 orders in the amount of $600 or more than that and paid on time but then they removed these retailers until you they have your SSN, I tried to use my ITIN instead, the one that use for my regular needs like apt and car leasing and even my credit card from Amex
The app says invalid SSN because obviously I entered my ITIN and now I can’t just validate it and customer service wont help you at all takes like 48 hours to reply your message just to say nothing can be done,
Sezzle team is this the way you deal with loyal and great customers like me? You’re acting like “is just one of our thousands of clients say bye to him”
Before the last update you were all good but now it’s a shame guys.","{'id': 19937807, 'body': 'We understand your concern with this issue you are experiencing and greatly appreciate your patience. If you could please send an email to shoppersupport@sezzle.com, our team will be in touch with you soon.', 'modified': '2020-12-22T19:10:37Z'}"
FALSE,1/29/2021 12:55,Convenient and Easy,5,Blyndefur,"This has been a super convenient and easy way to help rebuild my credit. Regular credit cards are too dangerous for me since you can use them anywhere and on anything. I like that I’m actually limited to where I can use this card, and that it splits the individual purchase into four payments instead of rolling all purchases into one total which for me holds me way more accountable with my spending.

I can see how some of those things might cause someone to not want to use Sezzle but if that’s the case there are plenty of other cards that work like a traditional credit card. I needed something different that would help rebuild my credit score. Sezzle Up has been perfect for me.",
FALSE,4/20/2021 13:42,LOVE IT!,5,HillJ26,I’ve been using Sezzle for quite some time now and I truly love it! I’m a huge fan of seeing my bank account not be depleted by a big purchase and like to spread my payments out overtime lol. So Sezzle makes this very easy for me and the amount of stores I’ve discovered is insane! They have some pretty great stores to choose from that I’ve already sort of become best friends with lol. Other than that I love that fact that you are able to reschedule payments if you need a little more time as well. The other big thing for me is that each time I pay something off they keep increasing my available spending budget which is pretty sweet! Love using sezzle and will continue to use it for as long as I can!,
FALSE,3/16/2021 16:12,Very Cool App!,5,Truth0611,"I saw an option to pay using Sezzle when I was checking out at one of my favorite boutiques... I was intrigued so I downloaded the app. Wow! There were so many unique places to shop! I look forward to trying it out as another payment option. One suggestion I’d like to make to the App creators is: Adding a ❤️ “like” or “favorite” option to the merchants store/site would allow them to be saved for shoppers to go back to at a later time.  I found so many store I want to check out but didn’t have the time, so if I could “like it” it would populate into my favs for later. Right now it a lot of scrolling to find the store through the category if you don’t remember all the store names.",
FALSE,6/13/2020 14:25,Terrible app,1,lyric1,"My second time using Sezzle and the last. I was shopping at Touch if Modern using the Sezzle app and went through the entire checkout process chose to use Sezzle as my payment than sent back to Sezzle to enter my phone number and pin than verified that my ship to address was correct submit my request, the payment from debit card was instant which I saw in real time however I get a error message asking for  my date of birth a second time and when I entered it again it tells me there’s a problem with Sezzle and use a different payment method. Meanwhile my cart has expired, the initial payment has been debited from my checking account yet the order didn’t go through. If I could give this payment platform 0 stars I would. 
I hate this app, it’s a complete waste of time and I will be letting vendors that I shop with know that Sezzle is difficult, time consuming and makes using them as a payment source is bad for business.","{'id': 16001701, 'body': 'Hello!  I understand your frustration with this issue.  Touch of Modern seemed to have this requested, and we are not able to stop them from trying to collect this data.  Please reach out to this merchant directly for assistance with the date of birth entry issue.  For further assistance, please contact us at shoppersupport@sezzle.com.  \n', 'modified': '2020-06-15T19:01:16Z'}"
FALSE,7/2/2020 20:24,Doesn’t require credit but is still affordable.,4,adorablebadass,I like the markets that take Sezzle payments but I do wish there were more but I kind of get why it’s limited. They don’t require credit so you’re not gonna be able to make huge purchases and definitely not from typically expensive brands like Apple or Nike or whatever but I do like they do work with. A lot of them I wouldn’t have really known about if I hadn’t been searching through their stores. I would say that it would be nice to build credit with Sezzle as you make payments. I’ve completed all my payments on time or more often - early. It would be nice if they kept track of progress like that so we could prove we’re able to responsibly pay back larger purchases.,
FALSE,6/1/2021 16:30,Amazing Application and Customer Service,5,CeeCee2021,"I can’t recommend this service enough. Sezzle has quickly become my favorite form of payment when not using cash. The application is constantly updating to provide a better shopping experience each time. I can’t express how much my family has benefited from joining the Sezzle family. I encourage you to shop responsible, Pay your bills on time and get what you love while increasing your credit score! Again, this has been a blessing in my like... especially during times like these. No hassle goes a long a way. Please take the time and join the sezzle family you won’t be disappointed.",
FALSE,12/23/2020 20:25,Sezzle review,5,Willa4,"I love Sezzle! It’s so convenient when you don’t have quit enough money at the time you find that perfect gift for someone or yourself. No extra fees, 4 payments done! Honestly I wouldn’t have purchased some items, but split up into little payments it’s “Okay, this is great now I can afford it.” I call Sezzle my little micro-loans. It’s really nice to not put on your credit cards because it comes out of bank account.  Thanks Sezzle for helping me pay down my credit cards by not having to use them as much. Sezzle is safe & secure. Never had a problem. I’ve even finished payments & took bank card off my account. Then if you ever need them they’re (Sezzle) still there.",
FALSE,2/23/2021 13:09,Sezzle review.,5,JohnGlenn53,"This new app allows you to make purchases and pay an initial 25% on the date of the purchase. Then in 2 weeks you pay your 2nd 25%, then 2 weeks later pay your 3rd 25%,and in 2 more weeks you pay your final 25%! So it allows your purchase to be spread out over 6 weeks. Makes making purchases on higher dollar items affordable to people like myself. Also you are allowed to re-schedule any of your 3 payments up to 3 times.  The 1st re-scheduling is free, the 2nd and 3rd cost a minimal $5.00 each! And if you do choose to reschedule a payment, the app automatically reschedules any remaining payments to the 2 week increments. ITS A GREAT ADDITION TO YOUR PURCHASING ARSENAL!",
