title,rating,isEdited,userName,date,review,developerResponse
Anne,5,FALSE,AnneBeebanannie,2/18/2021 5:07,I have nothing but positive things to say about Varo. I absolutely love this bank!! They are there for the people who literally live from paycheck to paycheck and cover for me if the need be. Every other bank I had stole so much of my money from me!! It actually sickens me to calculate the expenses that they sucked from me in overdrafts and even extra overdraft fees on top of the $35 every single time I needed them to be there for as a valued customer who banked with them for years. Not once in 10 years did they help me. The worst part is I now know how badly they treated me by holding my money for weeks at a time holding back my government benefits every month for 10 years. It’s unethical and wrong to treat anyone that way charge me an overdraft fee when you have had my money when I needed it most and charged me over and over and over the figure comes up to several thousand dollars when I actually saw what they had so unfairly done to me by switching to Varo holy cow praise Jesus they have treated me more than fair and I will always give VARO praise. Thank goodness you showed me what the old bank had been doing to me I am so glad I switched to Varo they are the best bank and their customer service over the phone is outstanding. Like I said in the beginning I have nothing but praise to say about this bank Varo is the best bank I ever had!!!! VARO ROCkS,
Best there is. Love VARO.,5,FALSE,Manic Bobo,5/25/2021 13:43,"I switched to VARO almost 4 years ago. I got fed up with my two other brick and mortar banks (that I only went into twice in 15 years). Got tired of the attitude and delays in doing anything with them. I could never understand how they could bugger things up when my banking needs were really very basic and simple. I picked VARO over several other online banks because they were polite, helpful, and everything happens faster than my other bank. The transition from VARO money to VARO bank has been painless. My daughters and two of my friends have switched to VARO. VARO suits my needs perfectly. I don’t use much cash, don’t deposit many checks, direct deposits are posted 3-4 days early. The few checks I have posted through the app processed quickly and without any issues. The few times I’ve needed cash, they have ATM access just about everywhere. The app and Home Screen widget are great.  Only bank I’ve ever dealt with where I haven’t found a single thing to complain about, or had a single problem.  The only real semi-issue I have found is if a payment requires a bank cashiers check, banks won’t issue one wo an account in their bank, but I found the places wanting cashiers checks can be talked into money orders.",
Going on 3yrs,5,FALSE,SweeTsOkc,1/6/2021 3:07,"I’ve been using Varo since 2018, and it’s pretty cool. I’ve also banked with Chase, IBC, and MidFirst. A physical bank comes in handy if you’re living paycheck to paycheck and need that money on your card that day. Varos’ answer; if you have direct deposit then you can get paid early like with other popular apps. So that’s even better. And if you’re not in a rush you can just take a picture of the check and it’ll be in there the next day of the week. And you can deposit cash by green dot cards. But the customer service is better than any other bank I’ve had. And I’ve yet to run into any issues. They are also always ontop of the new. They were one of the first to get the cards you can just tap like Apple Pay etc. idk I’m easy going so this bank works out well for me. And the early pay is cool. If you need a bank I’d recommend this Forsure. If your bank is troublesome or anything switch over. If it’s not then only switch if you need to get paid earlier",
Nothing but ongoing issues since they switched to Varo Bank,1,FALSE,Nacita Moore,3/4/2021 21:28,"Since Varo received their charter to become a bank there has been nothing but ongoing issues with them ever since. From glitches with activation to account glitches, swiping your card and paying for items glitches, weird account error message glitches...I got annoyed with it all and moved my DD back to Chime temporarily hoping that maybe one day Varo will get it together and I would potentially switch back. I did leave my account opened to deposit and cash checks via mobile deposit. They used to have a great turn around time with that. I have been using this service for over a year or two. Well now they are slacking in that area also. Banks make their money based on how much funds you hold in your account at the end of the day. So you would think they would be doing everything they can to keep their customers happy. Hmph not this bank. It was fine when they were Varo Money. I don’t understand why they chose to switch over. It’s been nothing but chaos ever since. I’m to the point where I am so disappointed with these folks that I am about to close my account completely. I gave them the benefit of the doubt. I gave them many chances and months to redeem themselves. I’m so disappointed especially after speaking so highly of their services. It’s very saddening and very unfortunate.","{'id': 21488728, 'body': ""Hi Nacita! Our goal here at Varo is to provide the best mobile banking experience possible. We were sorry to hear your experience has been anything but extraordinary. We just reached out to you via email, let's continue the conversation there!"", 'modified': '2021-03-06T22:58:32Z'}"
Why did you take away so many useful things?,2,FALSE,Dominicanfella,12/17/2020 17:44,"This app is worse than the original app. You should have kept the old one. I shouldn’t have to open the app to view my updated balance. The old app would let you see your balance via notification if you spend anything. Also when you make a transfer from savings to checking or visa versa there is no notification at all. You guys took one step forwards and 10 steps back. When someone send you money via Zelle for example, still no notification saying the money is received as well. You have to log in and wait to see the funds. It use to be almost instant with the old app. This update was the worst thing you guys have done. I was ok with updating my direct deposit and all those other things, but not giving the user proper notifications is not good. I need to be able to see what goes in and out of my account, and I see other reviews saying the same things.  Why change something that wasn’t broken? At least keep the useful things. It’s useful to be able to view your current balance after you spent some money without having to log in completely. Whoever took away these features should give me their job. You had one job. One job. Now I need to find another bank.","{'id': 19864311, 'body': ""We're really sorry to hear you're upset about the switch to Varo Bank. As we've just received our national banking charter, this enabled us to become a bank where we can now offer our own accounts along with other new and improved features. Varo Money accounts are provided by The Bancorp Bank so the switch is necessary and the debit cards are not interchangeable. However, we hear your frustrations and your feedback is taken very seriously as we know there is room for improvement. We're sorry that this experience has led you to consider banking elsewhere but please know that lots of new, great things are to come with Varo Bank. You can see the difference between Varo Bank and Varo Money here: https://www.varomoney.com/varobankmigration/ -- if you have any questions or further concerns for us, please reach out to us at appreview@varomoney.com! We're here and happy to help!\r\n"", 'modified': '2020-12-19T01:36:40Z'}"
Horrendous deposit limits that competitors don’t have,1,FALSE,RandallG123,12/1/2020 20:16,"Came for the high interest yield savings (like most people) and cancelled my account within a month. Would’ve cancelled sooner but I wanted to give the bank a chance. It’s the 1st of December and I still haven’t received my funds and it’s been over three weeks since I cancelled. Customer service’s feedback was “they’re escalating it and they’re not sure a check was even issued...”.I still don’t have my money which I saved for Christmas shopping and I don’t even know when I’ll get it. To be more specific Varo has ridiculous limits (like tiny limit i.e $50) for the amount you can deposit into your savings from an outside institution. You can avoid the limit if you originate the transfer from the outside institution but many banks charge a fee for doing that. Ally bank, a direct competitor, doesn’t have any limits or restrictions like that. Essentially Varo tries to get you to utilize more of their services like their checking account (obligatory checking account by the way). They want you to get automatic deposits too, for example, and in return they will increase your deposit limits. On top of everything they made the cancellation process a nightmare. There are so many better options out there. Stay away",
"Great banking, non-existent customer service",3,FALSE,BabySweetieBear,3/17/2021 14:42,"I’ve been a member of Varo for 2 years, and have to say that since it’s become Varo Bank, getting through to customer service seems impossible.
With the old Varo, I had nothing but excellent customer service. They always answered the calls or emails. I’ve been trying to get through to customer service for a week now, but no luck 😑
I start calling each morning at 8:00 when they open for business. There’s no wait time mentioned then, but no one answers. I’ll wait for an hour, then am told by the automated system that the wait time is less than 15 minutes. Um, no. It’s more like an hour. I don’t stay on beyond that. When called after 10:00 am, the estimated wait time is “ greater than 60 minutes “.  Ugh. I just want to find out some important ( to me) information about a direct deposit that seems to be floating around in my old account. Emails aren’t answered either. 
Their inefficiency has become my problem, and there’s no way to get in touch. 
I hope someone from Varo bank reads this and makes it right. I don’t like being disappointed in Varo!","{'id': 21743902, 'body': 'We’re very sorry for the long hold times recently. We’re currently experiencing extremely high volumes. We understand the importance of contacting customer support and are eager to assist with your request. We appreciate your patience during this time. Please remain on the line or contact us at appreview@varomoney.com!\r\n', 'modified': '2021-03-19T00:26:35Z'}"
Do not use this bank!,1,FALSE,winteroutloud,6/5/2021 21:20,"I opened an account in March with Varo for their interest rate to help grow my savings. Made a few initial depots and pretty much just left it like that. Then, a few weeks ago I was notified that my account had been closed. No reason, no notification beforehand that anything strange was going on. “We will email you in 2-3 business days,” was their only comment. Attempts to log in on the app and website were met with an alert that my account was locked. 
A week went by with no contact from them. Couldn’t get through via the automated customer support because my account number couldn’t be found. Finally, after being disconnected several times and spending actual hours on hold, a human told me that she was “elevating my case” and that someone would get back to me via email within 24 hours. Again, nothing. 
So far, it has been two weeks and I have yet to receive any communication from Varo. My account is closed, I have no access to the funds I had deposited, no way of contacting anyone who can actually help me, and I still don’t even know why any of this happened. 
Zero stars for communication and customer service. I just want my funds back so I can put this terrible bank behind me.","{'id': 23214188, 'body': ""Hello! It's always a difficult decision to close an account. We regularly verify financial activity to ensure we keep our whole community safe. In rare cases, it may be necessary to close an account. With that being said, we'd still like to look further into your concern. However, are unable to locate an account for you. We ask you kindly to reach out to us at appreview@varomoney.com."", 'modified': '2021-06-05T23:08:30Z'}"
Fast and Efficient,5,FALSE,daveypassage,4/29/2021 1:18,"I was really surprised by VARO’S ease of use and absence of unnecessary stuff. I don’t expect much from online only banking platforms, I guess because of the abundance of them. Throughout the past year however, on lock down, and now transitioning  back to work, transactions that go through VARO move very fast and the security system is completely reliable without being as over the top as some of the competition’s, which, despite having an account for over two years (with one service in particular) and having used the same device for banking for nearly a year, requires my full web login and 2-factor authorization, on TOP of biometrics. VARO also had a feature that will cover you if you’re in a jam. When I needed $50 and just didn’t have it on me, I launched VARO and set up a loan in about 2 minutes.",
Fraud issue time,3,FALSE,trullfarm2020,3/2/2021 21:54,Everything has been smooth sailing no issues until I had to report my account for fraud I  had to freeze my account so now I have no access to it until fraud department contacts me and I’m being told it can take 2-3 days my opinion fraud issue should be taken care ASAP and you talk to someone the same day to start a report most banks you do talk to someone immediately but this bank is making me wait  .  I have field a police report and still haven’t filed a report with the bank except freezing my account to stop anymore money coming out so no access to money at all and they don’t seem concerned when this is your main account and have a family to provide for they expect you to wait for them for god knows how long.. bills don’t freeze nor do day to day expenses.   I just think these issues should be handled right away and not have to wait days for a phone call .   I am not the suspect I am the victim that someone stole a large amount of money from my account it wasn’t just a little .,"{'id': 21436631, 'body': ""We're sorry to hear about your experience and would like to take a look into this for you! Unfortunately we were unable to locate your account by you Apple ID. Please email appreview@varomoney.com and we'll be happy to assist you further! "", 'modified': '2021-03-04T03:20:15Z'}"
